// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Scrapdogs
STATION;type;Civil League
STATION;owner;Timwhilei Jaliszaesiv
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;scrapdogs.png
STATION;filename;sector_85_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-4-1-3-4-2-1-0-1-7-3-2-1-6-7-2-7-90
STATION;interior_seed;5-1-0-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;42950.23
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.09;npc_ship_data_(transport_carrier_1).txt
MERC;3;0.63;npc_ship_data_(excavation_escort_1).txt
MERC;6;1.35;npc_ship_data_(recon_shuttle_1).txt
MERC;5;1.97;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;305x812;127489.00;51813.37
SELLORDER;Selling Items: (1) Items ;320x100;72637.00;44433.44
SELLORDER;Market Supply: (2) Items ;305x497,100x167;45270.00;67648.52
ITEM;2000;26;0.85;18.04342
ITEM;1;2;0.86;18.04342
ITEM;41;30;0.65;18.04342
ITEM;2334;8;0.92;18.04342
ITEM;2115;66;1.19;18.04342
ITEM;641;6;0.70;18.04342
ITEM;1617;0;1.29;18.04342
ITEM;1602;0;1.25;18.04342
ITEM;1612;0;1.21;18.04342
ITEM;1592;0;1.31;18.04342
ITEM;163;83;0.73;18.04342
ITEM;111;25;0.76;18.04342
ITEM;302;10;1.12;18.04342
ITEM;153;48;0.63;18.04342
ITEM;167;166;0.67;18.04342
ITEM;2437;13;0.89;18.04342
ITEM;169;52;0.66;18.04342
ITEM;40;23;0.56;18.04342
ITEM;1530;5;1.07;28884.6
ITEM;1640;13;1.02;28884.6
ITEM;1570;9;0.80;23241.98
ITEM;1650;18;1.09;23241.98
ITEM;620;3;0.51;23241.98
ITEM;1007;5;0.95;23241.98
ITEM;1111;18;1.22;23241.98
ITEM;1540;15;0.83;23241.98
ITEM;60;92;1.08;23241.98
ITEM;1161;14;0.71;23241.98
ITEM;2294;19;0.61;210481.4
ITEM;2113;34;0.98;210481.4
ITEM;2119;35;0.64;25645.77
ITEM;1615;0;1.16;25645.77
ITEM;1600;0;1.05;25645.77
ITEM;1560;11;0.65;25645.77
ITEM;1610;0;1.31;25645.77
ITEM;2131;9;1.00;25645.77
ITEM;1590;0;1.05;25645.77
ITEM;115;42;0.74;23.0446
ITEM;116;41;0.84;23.0446
ITEM;109;44;0.76;3.785419
ITEM;406;14;0.63;3.785419
ITEM;403;17;1.16;1.370535
ITEM;101;51;0.74;1.370535
