// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;44110.39
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;50x232;9050.00;65785.03
BUYORDER;Market Shortage: (1) Items ;50x611;35538.00;74887.03
BUYORDER;Market Low Inventory: (1) Items ;50x92;5170.00;109788.00
BUYORDER;Market Out of Stock: (1) Items ;41x85;8235.00;57409.70
BUYORDER;Market Demands: (1) Items ;50x133;12806.00;80038.16
ITEM;2000;780;0.85;17.42
ITEM;1;5285;1.01;7.45
ITEM;41;0;2.50;161.65
ITEM;51;3;1.05;116.47
ITEM;1522;44;1.20;100336.50
ITEM;1622;49;0.93;118104.80
ITEM;2311;69;0.64;5394524.00
ITEM;1642;38;0.77;82420.63
ITEM;2285;50;0.81;1037048.00
ITEM;622;27;1.09;24529.49
ITEM;1020;63;0.56;52668.19
ITEM;61;47;1.05;349.38
ITEM;1067;61;1.10;108870.50
ITEM;2163;55;0.47;449506.90
ITEM;2115;141;0.91;496084.10
ITEM;641;8;0.74;9729.03
ITEM;2121;130;1.20;537740.90
ITEM;1403;63;0.98;177366.40
ITEM;1602;68;0.81;62222.85
ITEM;737;8;0.73;441116.00
ITEM;76;58;1.05;582.30
ITEM;1592;17;1.07;89936.51
ITEM;310;843;1.09;156.32
ITEM;2407;57;0.86;11739.32
ITEM;2001;131;0.61;184.94
ITEM;163;352;0.65;28.12
ITEM;111;463;0.56;14.19
ITEM;302;53;0.82;39.81
ITEM;2410;37;0.60;11181.69
ITEM;351;910;1.06;6173.73
ITEM;167;719;0.62;43.36
ITEM;40;16;1.05;31.06
ITEM;50;0;2.50;119.73
ITEM;1721;60;0.60;16355.16
ITEM;2029;644;0.76;1530.78
ITEM;1640;65;0.68;18355.16
ITEM;2283;50;0.98;310261.90
ITEM;620;18;0.66;4999.44
ITEM;312;1002;1.03;76.57
ITEM;1171;62;0.76;6839.33
ITEM;2297;5;0.69;223261.90
ITEM;1008;55;1.09;8009.44
ITEM;60;0;2.50;359.19
ITEM;1732;24;0.71;19105.16
ITEM;1730;47;0.61;16605.16
ITEM;2125;83;1.21;48671.94
ITEM;2161;11;0.88;65394.44
ITEM;1009;28;0.61;5579.33
ITEM;1055;42;0.93;6889.44
ITEM;2119;127;0.89;33047.22
ITEM;2258;5;0.87;199628.50
ITEM;1550;39;0.86;22855.16
ITEM;1560;30;1.19;33593.57
ITEM;75;50;1.05;258.80
ITEM;115;692;0.72;21.47
ITEM;664;5;0.92;63958.59
ITEM;665;14;1.18;141800.40
ITEM;311;818;0.63;87.38
ITEM;729;35;1.10;17313.09
ITEM;109;113;0.96;4.54
ITEM;353;835;1.00;4606.62
ITEM;406;1000;0.25;0.33
ITEM;403;69;0.96;1.12
ITEM;205;39;0.62;80.62
ITEM;101;262;0.74;1.43
ITEM;623;9;0.56;23042.56
ITEM;606;20;1.08;228043.50
ITEM;110;481;0.92;15.64
ITEM;605;19;0.57;71716.30
ITEM;603;18;0.81;32421.56
ITEM;325;817;0.77;266.19
ITEM;404;963;1.15;1.32
ITEM;200;628;1.05;81.99
ITEM;300;67;0.59;64.13
ITEM;301;10;0.51;14.27
ITEM;332;725;0.89;2629.28
ITEM;666;9;1.09;230054.10
ITEM;661;9;0.61;8136.53
ITEM;218;286;0.52;182.78
ITEM;2381;7;1.06;3546.52
ITEM;108;511;1.01;14.23
ITEM;2002;401;1.15;368.82
ITEM;2003;214;1.20;422.55
ITEM;660;10;1.09;8009.44
ITEM;112;253;1.22;42.41
ITEM;2004;758;1.12;435.16
ITEM;7;5004;0.56;86.76
ITEM;1477;60;0.62;126413.70
ITEM;643;1;0.68;27544.48
ITEM;11;3673;1.02;151.73
ITEM;24;4716;1.11;204.19
ITEM;738;23;1.02;1087634.00
ITEM;322;13;1.12;776.53
ITEM;204;544;0.93;106.99
ITEM;343;20;0.69;4628.35
ITEM;341;36;1.03;5717.45
ITEM;2421;8;1.03;34943.96
ITEM;324;981;0.61;1658.52
ITEM;2154;63;0.62;8090.48
