// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25283.74
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;52x724;92898;108306.80
SELLORDER;Market Inventory: (1) Items ;60x648;38074;78899.03
BUYORDER;Market Demands: (1) Items ;407x366;1936;69351.95
SELLORDER;Market Stock: (2) Items ;62x90,52x202;29714.00;90740.16
SELLORDER;Market Production: (2) Items ;50x243,61x489;56085.00;80214.52
SELLORDER;Market Surplus: (3) Items ;42x325,75x253,61x379;84553.00;54947.52
BUYORDER;Market Demands: (2) Items ;408x173,406x161;2278.00;67605.54
BUYORDER;Market Needs Goods: (3) Items ;407x100,408x109,407x117;3981.00;65574.54
ITEM;1451;0;1.34;46268.94
ITEM;1;231;0.92;7.13
ITEM;41;48;0.84;47.48
ITEM;51;61;0.71;68.27
ITEM;1522;31;0.97;85525.00
ITEM;1752;17;0.89;158250.00
ITEM;2285;30;1.08;1414875.00
ITEM;622;4;0.76;18416.58
ITEM;1019;32;0.55;61222.82
ITEM;1632;26;0.94;103906.30
ITEM;1020;3;1.05;98532.10
ITEM;2103;13;1.03;484085.50
ITEM;1542;36;1.00;101113.80
ITEM;61;163;1.23;336.00
ITEM;1067;11;0.72;77258.07
ITEM;2127;121;0.72;386290.40
ITEM;2151;30;0.54;723354.90
ITEM;1103;32;1.24;114824.60
ITEM;1021;14;1.19;132644.50
ITEM;2115;137;0.58;349377.70
ITEM;641;3;0.66;9298.52
ITEM;1065;36;1.13;105392.10
ITEM;2121;23;1.02;479798.00
ITEM;1562;18;0.96;114378.80
ITEM;737;6;1.02;629472.60
ITEM;76;51;0.76;361.52
ITEM;310;4;0.82;125.56
ITEM;2355;29;0.69;314.84
ITEM;302;33;0.63;33.20
ITEM;2345;31;0.76;125.42
ITEM;167;364;1.02;71.97
