// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Legistron
STATION;type;Reclamation Center
STATION;owner;Akno Vakjanco
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;9
STATION;icon;legistron.png
STATION;filename;sector_40_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-9-1-1-3-1-0-1-2-6-2-7-1-3-0-2-7-0
STATION;interior_seed;3-6-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;56512.57
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.69;npc_ship_data_(battle_utility_1).txt
MERC;2;1.15;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;322x66;53111.00;57384.95
ITEM;9;266;0.93;395.18
ITEM;408;1;1.16;15.22
ITEM;26;472;1.21;662.82
ITEM;100;683;1.20;1.95
ITEM;662;9;0.78;18814.52
ITEM;663;39;0.71;30298.86
ITEM;624;8;1.18;83878.64
ITEM;2022;560;0.57;644.12
ITEM;22;511;0.56;39.91
ITEM;333;85;0.96;7983.75
ITEM;5;792;0.60;36.19
ITEM;2021;498;0.61;620.64
ITEM;2019;609;0.71;867.66
ITEM;124;101;0.63;50.21
ITEM;2477;64;1.14;1584160.00
ITEM;754;47;1.03;281906.30
ITEM;734;73;1.07;291906.30
ITEM;749;110;0.87;241906.30
ITEM;744;171;0.91;251906.30
ITEM;647;30;0.58;238426.40
ITEM;202;92;0.74;75.25
ITEM;162;152;0.79;32.22
ITEM;645;12;0.63;83598.29
ITEM;640;5;0.63;5093.38
ITEM;340;6;0.64;1090.51
ITEM;642;12;1.12;26103.45
ITEM;625;7;0.68;89342.89
ITEM;2400;20;1.06;11306.52
ITEM;156;835;0.94;20.22
ITEM;152;320;0.86;12.75
ITEM;117;1092;1.04;54.51
ITEM;1450;69;0.92;10685.06
ITEM;323;1;1.07;2623.38
ITEM;608;35;0.90;614284.60
ITEM;626;39;0.97;214656.70
ITEM;710;56;0.84;7501.00
ITEM;725;67;0.99;16314.38
ITEM;755;165;0.78;5265.75
ITEM;2466;76;0.92;40705.00
ITEM;723;148;1.08;7065.75
ITEM;720;2;0.73;4965.75
ITEM;722;83;1.02;6705.75
ITEM;119;1032;0.93;85.10
ITEM;113;523;1.02;7.21
ITEM;21;706;0.63;25.98
ITEM;114;1031;1.01;2.87
ITEM;207;754;0.74;121.20
ITEM;726;142;0.77;13014.38
ITEM;2431;57;1.11;65681.52
ITEM;3;520;0.70;15.20
ITEM;2328;44;1.13;184143700.00
ITEM;1594;33;0.64;236040.00
ITEM;1075;30;0.96;1333163.00
ITEM;1554;43;0.79;355050.00
ITEM;2117;149;0.76;5405289.00
ITEM;62;202;0.57;380.23
ITEM;1004;12;0.25;365158.50
ITEM;2147;62;1.08;6803618.00
ITEM;2111;61;1.10;6919166.00
ITEM;1005;50;0.75;980476.90
ITEM;2217;12;1.11;5101008.00
ITEM;1514;67;0.87;340604.00
ITEM;1574;43;0.55;269412.00
ITEM;2287;59;0.75;4068600.00
ITEM;1777;58;0.58;643384.60
ITEM;1754;62;0.54;408080.00
ITEM;600;40;0.69;5513.38
ITEM;1074;6;0.51;218836.10
ITEM;1503;7;0.72;137361.00
ITEM;1613;82;0.72;111197.00
ITEM;1070;35;0.93;308416.00
ITEM;1027;79;0.80;323279.70
ITEM;1164;46;0.71;266627.70
ITEM;2128;5;0.69;1300123.00
ITEM;1026;50;0.63;219855.00
ITEM;1025;53;0.77;285771.30
ITEM;1533;32;0.81;181525.00
ITEM;2207;14;1.17;7922656.00
ITEM;170;707;1.02;75.44
ITEM;118;1243;0.54;3.42
ITEM;6;285;0.80;76.85
ITEM;607;13;1.03;396761.60
ITEM;330;83;1.10;1824.58
ITEM;103;429;0.75;1.83
ITEM;407;68;0.86;5.27
ITEM;206;772;1.02;147.01
ITEM;644;3;0.95;68778.68
ITEM;107;1120;0.55;7.22
ITEM;342;32;0.65;2980.33
ITEM;303;6;1.14;1131.04
ITEM;601;19;1.07;14303.41
ITEM;106;483;0.83;8.62
ITEM;121;1243;0.80;35.84
ITEM;321;27;1.05;3667.24
ITEM;212;705;0.93;184.65
ITEM;25;261;1.06;345.17
ITEM;2201;5;1.05;1836200.00
ITEM;2015;647;0.90;732.05
ITEM;2373;55;1.02;1659.67
ITEM;161;852;0.82;30.28
ITEM;23;86;0.89;101.89
ITEM;214;351;1.20;282.13
ITEM;711;142;0.75;20343.00
ITEM;1461;30;0.97;226870.30
ITEM;670;113;0.90;20950.13
ITEM;678;42;0.83;25045.88
ITEM;750;111;0.71;12114.38
ITEM;674;127;1.15;22457.25
ITEM;745;87;0.92;15264.38
ITEM;672;0;1.10;28743.00
ITEM;680;31;0.74;22615.88
ITEM;352;15;0.57;6000.75
ITEM;320;17;1.05;2036.86
ITEM;350;28;0.66;4940.57
ITEM;203;708;0.58;66.97
ITEM;2048;824;0.57;3301.01
ITEM;104;214;0.87;3.61
ITEM;155;771;1.18;22.64
ITEM;4;264;0.69;24.76
ITEM;2350;51;0.63;171.72
ITEM;2182;40;1.21;163453.10
ITEM;690;174;0.59;4813.38
ITEM;700;67;1.24;12038.63
ITEM;692;171;0.69;4725.75
ITEM;701;10;0.84;8438.63
ITEM;2047;516;0.84;4214.54
ITEM;712;22;0.62;51669.00
ITEM;758;37;1.10;119762.50
ITEM;752;100;0.81;90762.50
ITEM;211;372;0.59;112.32
ITEM;2046;126;0.58;2768.97
ITEM;733;4;0.91;100762.50
ITEM;2013;460;0.61;429.13
ITEM;677;170;1.03;50743.13
ITEM;2012;439;1.19;709.88
ITEM;747;129;0.65;74762.50
ITEM;742;78;0.70;79762.50
ITEM;304;20;1.03;850.91
ITEM;219;609;0.70;201.90
ITEM;20;391;0.73;17.38
ITEM;2392;54;1.02;5091.90
ITEM;2010;598;0.72;372.53
ITEM;2009;876;1.13;732.72
ITEM;105;1190;1.14;9.58
ITEM;2045;84;0.81;3371.65
ITEM;305;21;0.52;144.03
ITEM;1561;25;0.74;45231.75
ITEM;2120;-99;0.84;114859.10
ITEM;2120;274;0.94;127109.10
ITEM;751;32;0.62;32293.13
