// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Medicore University
STATION;type;Academic University
STATION;owner;Horebac Lockigalewhi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;9
STATION;icon;ad_image_8.png
STATION;filename;sector_20_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-0-1-1-1-0-1-2-8-2-2-0-3-3-3-7-90
STATION;interior_seed;4-1-0-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;55466.3
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.86;npc_ship_data_(pirate_shuttle_1).txt
MERC;7;1.45;npc_ship_data_(pirate_carrier_1).txt
MERC;9;1.59;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;406x226,406x281;614;117123.80
BUYORDER;Market Demands: (2) Items ;406x258,406x470;845;69150.84
BUYORDER;Market Shortage: (4) Items ;406x489,407x742,406x623,406x517;8044.00;108850.00
BUYORDER;Market Demands: (2) Items ;408x551,406x264;11913.00;74744.04
BUYORDER;Market Out of Stock: (3) Items ;408x698,408x282,407x514;20853.00;61751.04
BUYORDER;Market Demands: (2) Items ;408x322,407x341;8212.00;99083.97
BUYORDER;Market Needs Goods: (3) Items ;407x416,407x361,406x379;6692.00;56649.97
BUYORDER;Market Out of Stock: (4) Items ;408x170,408x197,407x196,408x135;9263.00;75720.39
ITEM;9;491;1.12;442.78
ITEM;2174;34;0.81;12869310.00
ITEM;408;0;2.50;38.29
ITEM;26;14;1.19;619.12
ITEM;100;904;0.78;1.22
ITEM;662;37;1.05;23183.05
ITEM;663;25;0.53;21061.48
ITEM;624;6;0.74;50643.95
ITEM;2022;333;0.79;792.48
ITEM;22;435;1.13;70.49
ITEM;333;2;0.84;6577.98
ITEM;2185;79;1.00;72198.00
ITEM;5;288;1.15;61.29
ITEM;124;746;1.12;79.46
ITEM;754;132;1.20;307850.00
ITEM;749;51;1.19;305350.00
ITEM;744;119;0.95;245350.00
ITEM;647;41;0.57;211606.20
ITEM;2365;75;0.85;791.50
ITEM;202;546;0.65;61.22
ITEM;2354;86;0.56;214.68
ITEM;162;229;0.70;26.55
ITEM;645;16;0.67;80585.25
ITEM;640;2;1.25;8969.80
ITEM;340;5;0.87;1332.63
ITEM;642;12;1.00;22111.15
