// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Communications Hub
STATION;type;Base
STATION;owner;Mastei Gorebira
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;xellon.png
STATION;filename;sector_66_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-0-1-5-2-7-1-1-3-2-6-0-5-5-2-7-90
STATION;interior_seed;5-1-45-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;57427.79
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.83;npc_ship_data_(recon_escort_1).txt
MERC;1;1.83;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.58;npc_ship_data_(battle_cruiser_1).txt
MERC;8;0.50;npc_ship_data_(transport_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (2) Items ;51x338,62x860;252063.00;65675.26
ITEM;1;90;1.10;8.08
ITEM;41;8;1.08;57.36
ITEM;51;47;0.67;61.11
ITEM;2220;7;0.58;609456.00
ITEM;2250;4;1.10;1552119.00
ITEM;61;21;1.18;312.14
ITEM;2115;22;0.78;429530.30
ITEM;2121;39;1.02;460841.90
ITEM;76;51;0.83;374.27
ITEM;302;3;0.83;40.30
ITEM;153;58;1.03;15.88
ITEM;40;37;0.73;17.64
ITEM;50;38;0.75;30.01
ITEM;1520;7;1.09;22897.00
ITEM;1620;5;0.85;27145.50
ITEM;70;43;0.99;130.61
ITEM;1750;2;1.00;42194.00
ITEM;1640;3;0.51;14121.25
ITEM;1580;3;0.71;21415.80
ITEM;1510;8;0.52;12646.70
ITEM;620;3;0.84;6263.95
ITEM;1630;4;1.15;30121.25
ITEM;60;15;0.88;105.17
ITEM;2304;6;0.62;202455.00
ITEM;2294;6;0.84;268455.00
ITEM;1615;3;0.72;14722.15
ITEM;1560;6;0.71;20650.95
ITEM;1610;5;0.70;12832.45
ITEM;75;42;0.80;159.84
ITEM;2339;1;0.56;9222.75
ITEM;1590;7;0.58;12697.00
ITEM;2253;9;0.58;152364.00
ITEM;2200;6;0.50;887760.00
ITEM;406;9;0.64;0.76
ITEM;403;7;0.84;0.98
ITEM;101;9;1.00;1.90
ITEM;168;47;0.64;18.02
ITEM;404;5;1.20;1.38
ITEM;300;8;1.22;126.91
ITEM;1779;0;1.23;880202.90
ITEM;1780;0;1.34;924767.50
ITEM;2324;6;0.95;6391485.00
ITEM;1480;0;1.26;2050315.00
ITEM;1778;0;1.27;947444.30
ITEM;1781;0;1.27;843600.90
ITEM;301;9;0.86;23.15
ITEM;2385;3;1.05;3722.24
ITEM;660;3;1.10;8083.95
ITEM;151;60;0.93;11.92
ITEM;735;15;0.83;6636375.00
ITEM;1001;6;1.23;2826.67
ITEM;1170;2;0.91;2315.64
ITEM;1002;1;0.87;1849.70
ITEM;1052;2;1.09;2518.67
ITEM;1200;4;1.03;4339.40
ITEM;2160;2;0.82;17497.00
ITEM;1160;9;0.61;1462.67
ITEM;1100;2;0.96;2029.70
ITEM;1003;7;0.92;2339.64
ITEM;1050;9;0.77;1649.70
ITEM;2118;27;1.19;12448.50
ITEM;1400;4;0.82;3499.40
ITEM;405;8;0.71;0.84
ITEM;679;14;0.69;60332.85
ITEM;2426;9;0.71;25829.75
ITEM;2279;5;1.14;716910.00
ITEM;2269;2;1.17;558531.60
ITEM;2264;4;0.92;397738.80
ITEM;20;59;0.93;20.68
ITEM;742;7;0.95;100485.00
ITEM;747;4;1.19;124485.00
ITEM;677;15;0.70;33968.25
ITEM;2428;6;0.60;26759.14
ITEM;712;2;0.77;59389.20
ITEM;1460;4;0.70;18871.25
ITEM;158;32;0.97;24.17
ITEM;155;68;1.05;19.58
ITEM;732;14;0.64;10422.75
ITEM;157;8;0.88;20.04
ITEM;728;10;0.83;13272.75
ITEM;150;12;0.85;9.95
ITEM;407;6;0.71;4.21
ITEM;103;35;0.62;1.46
ITEM;2128;11;0.69;1229515.00
ITEM;2180;7;0.73;2355531.00
ITEM;600;3;0.51;3953.95
ITEM;42;49;0.64;79.32
ITEM;52;21;0.70;143.30
