// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Tella's
STATION;type;Entertainment Hub
STATION;owner;Jidzangee Akleinortis
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;tellas.png
STATION;filename;sector_78_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-3-0-2-1-0-2-0-5-3-2-6-90
STATION;interior_seed;3-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;81687.44
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.40;npc_ship_data_(battle_carrier_1).txt
MERC;1;1.77;npc_ship_data_(recon_carrier_1).txt
MERC;2;0.67;npc_ship_data_(transport_escort_1).txt
MERC;3;0.55;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;2003x913;124920.00;89339.30
SELLORDER;Market Stock: (1) Items ;2004x777;102074.00;111098.20
ITEM;408;15;0.74;10.08
ITEM;100;47;0.78;1.31
ITEM;333;5;1.05;10784.98
ITEM;754;2;0.69;195742.20
ITEM;749;32;1.24;333242.20
ITEM;162;5;0.60;25.15
ITEM;640;0;0.92;7090.78
ITEM;156;83;0.92;19.74
ITEM;152;116;0.97;14.15
ITEM;710;33;0.88;7783.75
ITEM;159;61;0.61;33.97
ITEM;722;0;1.24;7997.81
ITEM;721;21;0.56;3917.81
ITEM;21;0;0.58;24.02
ITEM;114;275;0.86;2.47
ITEM;154;36;0.81;39.66
ITEM;164;0;1.03;18.09
ITEM;726;0;0.73;12344.53
ITEM;62;50;0.69;445.92
ITEM;1584;0;2.50;1452063.00
ITEM;1574;0;2.50;1348344.00
ITEM;52;0;1.12;230.27
ITEM;42;0;1.17;143.86
ITEM;600;6;0.73;5760.78
ITEM;2122;58;0.67;1144930.00
ITEM;1583;22;1.05;320031.20
ITEM;1573;0;2.50;674171.90
ITEM;330;0;2.50;4937.99
ITEM;103;290;1.02;2.40
ITEM;407;19;0.78;4.80
ITEM;303;1;0.59;624.15
ITEM;150;37;0.72;8.94
ITEM;601;1;0.86;11673.87
ITEM;728;3;0.66;11294.53
ITEM;161;98;1.19;42.34
ITEM;160;0;0.87;28.89
ITEM;157;98;0.70;17.00
ITEM;711;17;0.87;23111.25
ITEM;674;0;0.53;11213.44
ITEM;672;16;0.82;21911.25
