// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Acrondia Hub
STATION;type;Organization Center
STATION;owner;Bidbruei Lowtibem
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;2
STATION;icon;acrondia.png
STATION;filename;sector_95_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-7-4-3-3-0-3-0-2-0-0
STATION;interior_seed;3-1-0-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;25990.69
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.68;npc_ship_data_(excavation_escort_1).txt
MERC;7;0.99;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (2) Items ;111x843,110x522;44131;75352.16
BUYORDER;Market Out of Stock: (1) Items ;101x694;1341;101969.60
BUYORDER;Market Low Inventory: (2) Items ;111x762,104x124;33443;51828.58
BUYORDER;Want to acquire (1) Items ;1110x4;11409.00;36254.33
BUYORDER;Market Shortage: (2) Items ;107x289,119x90;16343.00;86519.50
BUYORDER;Market Shortage: (2) Items ;118x152,115x260;16752.00;87222.50
ITEM;2000;6;1.06;0
ITEM;1;1014;1.13;0
ITEM;2285;10;0.59;814702.8
ITEM;2127;19;0.65;814702.8
ITEM;641;8;0.64;8993.692
ITEM;2121;88;0.72;8993.692
ITEM;2240;1;0.82;8993.692
ITEM;2406;14;1.01;8993.692
ITEM;76;10;0.55;8993.692
ITEM;111;0;2.50;74.92208
ITEM;302;18;1.07;74.92208
ITEM;153;42;0.69;74.92208
ITEM;2345;5;0.88;74.92208
ITEM;167;148;0.91;74.92208
ITEM;169;105;0.95;74.92208
ITEM;40;20;0.50;74.92208
ITEM;2330;13;0.85;74.92208
ITEM;1620;9;0.61;74.92208
ITEM;1750;11;1.09;74.92208
ITEM;1640;7;1.07;74.92208
ITEM;1580;4;0.93;74.92208
ITEM;1510;13;1.02;74.92208
ITEM;620;8;1.07;74.92208
ITEM;1007;4;0.65;74.92208
ITEM;1111;9;0.83;74.92208
ITEM;1630;8;1.10;74.92208
ITEM;2101;12;1.20;74.92208
ITEM;1057;1;1.03;74.92208
ITEM;1201;11;0.97;74.92208
ITEM;1161;11;0.53;74.92208
ITEM;1009;2;1.06;74.92208
ITEM;2113;47;0.54;74.92208
