// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Holosynth Industries
STATION;type;Scientific Analysis Facility
STATION;owner;Enolindo Yelbo
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;5
STATION;icon;ad_image_5.png
STATION;filename;sector_17_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-4-6-3-5-0-2-5-3-4-0-4-9-2-2-1-7-5-2-2-90
STATION;interior_seed;3-1-30-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;60654.45
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.52;npc_ship_data_(recon_escort_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;4;1.80;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.16;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (4) Items ;2x1151,5x217,4x413,331x331;215361;113196.60

BUYORDER;Market Needs Goods: (1) Items ;4x285;17178.00;126439.10
BUYORDER;Market Shortage: (1) Items ;331x381;140279.00;84962.41
ITEM;2000;85;0.75;15.05
ITEM;1;448;1.09;9.81
ITEM;41;127;1.01;52.72
ITEM;51;153;0.90;78.58
ITEM;1622;4;0.59;74550.00
ITEM;1776;38;0.83;467274.60
ITEM;1572;26;1.00;107250.00
ITEM;622;22;0.82;18249.10
ITEM;1113;46;1.15;111421.40
ITEM;61;191;0.64;169.91
ITEM;2115;38;1.20;633478.10
ITEM;641;15;0.91;11530.31
ITEM;737;91;0.62;366328.10
ITEM;2406;41;0.74;9003.57
ITEM;2210;46;0.60;636300.00
ITEM;76;235;0.74;325.38
ITEM;2327;30;0.67;21037500.00
ITEM;2435;39;0.53;28718.04
ITEM;310;11;1.02;143.62
ITEM;2001;395;1.18;337.26
ITEM;153;232;0.85;12.90
ITEM;50;94;0.63;24.80
ITEM;2333;43;0.83;8612.50
ITEM;1520;14;1.16;23825.00
ITEM;1620;6;1.18;36337.50
ITEM;1530;26;1.16;29781.25
ITEM;2223;36;1.07;330375.00
ITEM;1765;36;1.15;413478.80
ITEM;1775;26;1.07;341421.70
ITEM;620;16;0.74;5398.75
ITEM;1007;1;0.51;4167.63
ITEM;1630;15;1.16;29781.25
ITEM;1008;38;0.91;6588.75
ITEM;60;1;1.08;125.02
ITEM;1731;10;0.80;20781.25
ITEM;2303;2;1.22;375375.00
ITEM;1732;14;0.96;24781.25
ITEM;2125;55;0.67;26998.13
ITEM;1161;28;0.79;6323.63
ITEM;1701;35;1.17;30031.25
ITEM;1009;37;0.92;7990.50
ITEM;2119;105;0.62;22793.75
ITEM;1401;7;0.85;12337.50
ITEM;201;176;0.71;60.55
ITEM;1550;37;0.98;25281.25
ITEM;736;72;0.85;220312.50
ITEM;75;92;1.14;219.61
ITEM;1059;20;0.93;8074.50
ITEM;2131;232;1.18;50872.50
ITEM;2253;39;1.07;264300.00
ITEM;2326;41;0.98;6067500.00
ITEM;2438;41;0.66;47077.58
ITEM;8;0;1.18;352.24
ITEM;664;20;1.13;76238.38
ITEM;311;25;1.07;140.64
ITEM;729;51;0.71;11118.75
ITEM;109;523;1.11;5.11
ITEM;406;29;0.72;0.83
ITEM;403;10;1.12;1.27
ITEM;101;624;0.70;1.32
ITEM;623;4;0.95;36812.57
ITEM;110;254;1.09;18.00
ITEM;603;24;0.84;32685.81
ITEM;325;40;0.54;184.49
ITEM;404;12;1.07;1.21
ITEM;300;37;1.10;112.62
ITEM;1480;35;0.79;1022760.00
ITEM;1778;4;1.09;639176.40
ITEM;301;26;0.99;25.84
ITEM;332;38;1.05;3763.63
ITEM;2441;11;0.70;66285.62
ITEM;661;6;1.09;13735.31
ITEM;218;2;0.59;197.76
ITEM;108;408;1.11;15.26
ITEM;2002;407;0.54;174.96
ITEM;2003;25;0.67;236.26
ITEM;660;4;1.08;7778.75
ITEM;2004;149;0.87;334.00
ITEM;2386;2;0.91;3488.27
ITEM;7;0;1.30;235.55
ITEM;643;3;0.54;21431.02
ITEM;24;195;0.63;115.98
ITEM;2005;298;0.72;306.25
ITEM;702;83;1.03;10612.50
ITEM;322;34;1.02;695.21
ITEM;151;296;0.87;10.91
ITEM;204;207;0.53;61.01
ITEM;1001;28;0.61;1410.75
ITEM;1170;48;0.93;2307.00
ITEM;1200;40;0.60;2525.00
ITEM;2118;226;0.97;10012.50
ITEM;1400;44;1.22;5005.00
ITEM;1054;47;0.82;2043.00
ITEM;2130;102;0.55;6975.00
ITEM;2006;185;0.78;363.79
ITEM;313;21;1.22;367.91
ITEM;2;323;1.05;15.61
