// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;ValueStar
STATION;type;Trade Floor Facility
STATION;owner;Binofesiv Sedkeesed
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_56_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-7-1-3-9-3-8-0-7-7-3-6-0-6-7-1-5-1-6-5-1-0-0
STATION;interior_seed;5-0-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;37566.63
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.60;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.84;npc_ship_data_(pirate_escort_1).txt
MERC;3;1.34;npc_ship_data_(pirate_shuttle_1).txt
MERC;6;0.72;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;310x103;23950;49125.37
ITEM;2023;232;1.18;1310.79
ITEM;2000;745;0.70;14.54
ITEM;1;599;0.93;6.90
ITEM;41;133;0.79;42.79
ITEM;51;284;1.18;104.22
ITEM;1532;12;0.25;30512.19
ITEM;2307;71;0.60;1257834.00
ITEM;1771;7;1.12;678701.10
ITEM;1766;39;0.80;523814.30
ITEM;1761;52;0.77;534320.10
ITEM;1642;39;0.72;77512.19
ITEM;1652;35;1.22;127512.20
ITEM;622;2;1.09;24549.12
ITEM;2145;4;0.70;356134.30
ITEM;1542;29;0.77;75911.21
ITEM;61;125;1.07;284.80
ITEM;1067;71;0.55;57078.12
ITEM;2127;17;1.09;540068.10
ITEM;2115;86;0.80;439960.20
ITEM;641;36;1.22;15620.24
ITEM;1065;5;0.84;76756.70
ITEM;2121;370;1.08;486683.50
ITEM;1602;29;1.04;78848.77
ITEM;1552;55;1.23;128512.20
ITEM;1562;13;0.74;85873.16
ITEM;2024;189;1.11;1360.15
ITEM;1612;72;0.57;42508.29
ITEM;2210;34;0.85;912362.90
ITEM;1069;25;0.58;65354.04
ITEM;401;24;0.57;3000.59
ITEM;667;37;0.98;364213.80
ITEM;310;0;2.50;436.35
ITEM;111;66;1.13;27.39
ITEM;2026;249;0.85;1278.52
ITEM;2027;218;1.15;1872.52
ITEM;302;50;0.93;44.86
ITEM;2028;686;1.04;1871.76
ITEM;2410;11;0.54;10171.82
ITEM;351;76;0.71;4239.48
ITEM;167;120;0.69;47.92
ITEM;169;109;0.87;65.44
ITEM;40;263;0.54;13.39
ITEM;1520;59;0.95;20102.44
ITEM;2300;1;0.53;175536.50
ITEM;1720;41;1.02;26878.05
ITEM;2299;36;1.01;319536.60
ITEM;1530;30;0.78;20878.05
ITEM;1760;30;0.64;257220.80
