// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;CoraVault
STATION;type;Banking Facility
STATION;owner;Nexa Mapei
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;3
STATION;icon;coravault.png
STATION;filename;sector_58_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-6-4-3-2-1-6-4-1-3-1-6-5-0-5-0-5-5-1-4-0
STATION;interior_seed;5-1-45-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;64559.52
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.06;npc_ship_data_(support_utility_1).txt
MERC;3;1.54;npc_ship_data_(recon_cruiser_1).txt
MERC;5;1.85;npc_ship_data_(support_escort_1).txt
MERC;3;1.62;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling Items: (1) Items ;1620x13;325684;71211.53
SELLORDER;Selling Items: (1) Items ;2346x684;154349;89384.73
ITEM;408;5;0.99;12.61
ITEM;2444;28;0.99;80014.20
ITEM;2082;150;0.25;2321.78
ITEM;100;33;0.76;1.22
ITEM;662;13;1.11;24921.74
ITEM;22;93;1.18;74.80
ITEM;1300;27;0.79;11795.04
ITEM;2453;27;0.83;1129604.00
ITEM;734;12;0.94;248125.80
ITEM;2081;35;0.68;5111.02
ITEM;202;30;0.63;61.32
ITEM;162;154;0.69;26.95
ITEM;640;7;1.18;8627.52
ITEM;642;1;0.60;13988.36
ITEM;156;208;1.06;21.68
ITEM;2344;17;0.83;117.37
ITEM;152;140;0.64;9.22
ITEM;1450;28;0.92;10211.28
ITEM;323;0;2.50;5713.78
ITEM;2080;28;0.82;5534.42
ITEM;159;8;1.10;55.69
ITEM;755;15;1.16;7275.02
ITEM;723;40;0.75;4815.02
ITEM;703;39;0.90;6667.52
ITEM;693;41;0.67;3612.52
ITEM;2454;18;0.56;24500.13
ITEM;721;53;1.02;6435.02
ITEM;113;412;0.59;4.14
ITEM;21;18;0.57;22.22
ITEM;114;54;0.66;1.85
ITEM;154;257;0.61;29.10
ITEM;207;236;0.70;108.88
ITEM;3;298;1.07;21.39
ITEM;2257;29;1.09;4387212.00
ITEM;77;114;1.23;1217.38
ITEM;2117;26;0.77;5183929.00
ITEM;1165;0;2.50;3686711.00
ITEM;62;5;0.96;576.65
ITEM;1175;0;1.47;2403558.00
ITEM;2111;20;0.88;5387449.00
ITEM;2315;2;0.87;11866880.00
ITEM;52;79;0.91;182.72
ITEM;600;11;0.71;5337.52
ITEM;2122;100;0.93;1474369.00
ITEM;2140;15;0.74;1189250.00
