// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;81185.49
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;408x820,408x616;19221.00;89619.44
BUYORDER;Market Out of Stock: (2) Items ;406x544,406x666;2113.00;115648.80
ITEM;10;1334;0.56;371.22
ITEM;9;4560;0.71;282.66
ITEM;408;0;2.50;38.19
ITEM;26;4297;0.67;352.30
ITEM;100;471;0.71;1.10
ITEM;662;11;1.09;23904.04
ITEM;663;5;0.58;22698.35
ITEM;122;324;0.96;140.95
ITEM;22;2789;0.87;54.32
ITEM;333;1097;1.01;7813.19
ITEM;5;1038;1.02;54.22
ITEM;1212;11;0.68;1541380.00
ITEM;2021;614;1.04;934.12
ITEM;124;1222;0.93;65.91
ITEM;760;120;1.10;281257.80
ITEM;2453;38;0.99;1299240.00
ITEM;734;30;1.02;261257.80
ITEM;749;41;1.00;256257.80
ITEM;647;21;0.96;346589.20
ITEM;162;881;1.06;39.39
ITEM;645;49;0.64;76406.77
ITEM;640;47;0.82;5915.22
ITEM;340;852;0.65;997.97
ITEM;642;37;0.91;20045.20
ITEM;625;34;0.60;71811.09
ITEM;609;24;0.58;651956.30
ITEM;2018;493;0.78;786.25
ITEM;152;448;0.81;11.11
ITEM;117;641;0.95;46.72
ITEM;2186;8;0.99;53289.14
ITEM;1450;68;0.65;7087.83
ITEM;323;1197;0.83;1531.19
ITEM;608;5;1.01;637317.40
ITEM;710;188;0.67;5560.25
ITEM;755;55;0.78;4830.19
ITEM;723;84;0.81;5010.19
ITEM;217;694;0.87;259.00
ITEM;720;126;0.76;4710.19
ITEM;2017;822;0.53;492.80
ITEM;703;13;0.93;6685.22
ITEM;693;115;1.01;5175.16
ITEM;722;75;0.97;5970.19
ITEM;119;367;1.05;89.02
ITEM;113;1080;0.89;5.90
ITEM;2058;153;1.02;8611.77
ITEM;2050;547;0.81;3210.14
ITEM;21;2941;0.95;34.81
ITEM;114;243;0.65;1.75
ITEM;154;16;0.56;25.69
ITEM;164;310;0.90;14.90
ITEM;2370;68;1.03;1526.63
ITEM;3;8499;1.18;22.97
ITEM;402;438;0.99;14616.45
ITEM;1594;79;1.02;334410.00
ITEM;1075;69;0.48;636604.50
ITEM;77;266;1.01;982.47
ITEM;2272;57;0.82;3082674.00
ITEM;2123;489;0.59;3230260.00
ITEM;2117;253;1.04;6712493.00
ITEM;1210;87;0.74;1607235.00
ITEM;2129;179;1.02;6037570.00
ITEM;62;3035;0.72;424.32
ITEM;2111;167;0.61;3668834.00
ITEM;1584;55;1.02;468174.00
ITEM;1644;46;0.95;390012.50
ITEM;1762;102;0.86;1002951.00
ITEM;1772;45;0.87;904631.40
ITEM;1754;67;0.93;611220.00
ITEM;2335;64;0.98;251257.80
ITEM;42;1490;1.01;117.90
ITEM;600;3;0.73;5285.22
ITEM;120;1458;0.65;80.50
ITEM;2376;81;0.65;1334.54
ITEM;1074;14;0.98;361962.00
ITEM;1503;30;1.02;175565.30
ITEM;1553;14;0.73;151006.30
ITEM;1618;45;1.02;158844.80
ITEM;1070;11;0.84;259617.50
ITEM;2116;79;0.66;1233570.00
ITEM;2128;85;0.65;1114266.00
ITEM;1114;41;1.05;354908.70
ITEM;1025;78;1.09;368114.20
ITEM;1533;11;1.02;209006.30
ITEM;2221;72;1.13;2217660.00
ITEM;1523;23;0.73;120805.00
ITEM;170;749;0.86;59.74
ITEM;118;1120;0.77;4.27
ITEM;165;560;1.08;58.73
ITEM;6;4648;0.68;60.36
ITEM;607;35;0.96;346589.20
ITEM;330;1144;0.49;784.65
ITEM;103;302;1.15;2.54
ITEM;407;0;2.50;17.36
ITEM;206;167;0.91;122.99
ITEM;644;23;0.80;54164.95
ITEM;107;399;1.10;12.54
ITEM;342;859;1.05;4285.50
ITEM;303;791;1.02;955.03
ITEM;601;22;0.61;7779.13
ITEM;106;953;1.07;10.17
ITEM;121;197;1.07;43.72
ITEM;321;843;0.84;2211.37
ITEM;212;813;0.91;168.02
ITEM;25;1874;0.77;237.05
ITEM;2015;698;0.64;487.99
ITEM;728;152;1.00;15375.47
ITEM;2439;12;0.75;58061.46
ITEM;2057;520;0.97;7454.30
ITEM;161;442;1.01;34.16
ITEM;23;4563;0.66;70.67
ITEM;214;753;0.70;157.64
ITEM;711;126;1.02;25080.75
ITEM;670;158;1.07;22995.66
ITEM;756;93;0.53;8325.47
ITEM;750;113;0.99;15225.47
ITEM;732;196;0.91;14025.47
ITEM;2461;74;0.90;74002.50
ITEM;745;75;0.88;13575.47
ITEM;672;9;0.54;13560.75
ITEM;680;19;0.56;15795.84
ITEM;352;954;0.79;7325.67
ITEM;320;997;0.94;1370.23
ITEM;350;745;0.62;4206.33
ITEM;2359;59;0.57;348.09
ITEM;166;331;0.74;44.72
ITEM;2048;629;0.95;4820.96
ITEM;104;881;0.82;3.15
ITEM;4;4444;1.03;33.17
ITEM;690;25;0.85;6125.22
ITEM;700;83;1.06;9765.28
ITEM;692;120;0.89;5490.19
ITEM;691;38;0.79;6520.25
ITEM;701;98;0.77;7155.28
ITEM;712;64;1.01;74522.25
ITEM;752;179;1.06;108503.10
ITEM;2014;977;0.98;670.44
ITEM;2046;793;0.89;3739.08
ITEM;733;181;0.91;93503.13
ITEM;677;60;1.00;46126.41
ITEM;2394;99;0.65;3721.45
ITEM;2012;269;0.97;548.57
ITEM;304;859;0.91;705.57
ITEM;20;783;0.78;16.91
ITEM;2010;115;1.08;503.49
ITEM;2009;105;1.00;611.80
ITEM;105;709;0.54;4.37
ITEM;2045;121;1.13;4290.71
ITEM;305;770;1.01;241.37
ITEM;2209;88;0.97;501495.80
ITEM;1551;76;0.68;35251.56
ITEM;1601;27;1.03;37981.13
ITEM;757;66;0.78;36226.41
ITEM;751;185;0.89;41176.41
ITEM;2114;66;0.96;144799.60
ITEM;2138;78;0.81;102291.30
ITEM;2126;374;0.96;132733.00
ITEM;1062;104;0.66;18461.59
ITEM;730;171;0.67;31276.41
ITEM;1541;98;0.64;30591.44
ITEM;1014;88;1.03;25848.27
ITEM;1172;74;0.63;19257.92
ITEM;1112;62;1.06;29241.59
ITEM;2108;8;0.98;135428.00
ITEM;621;36;0.53;6799.13
ITEM;2249;32;0.79;547701.00
ITEM;1581;47;1.08;61881.75
ITEM;746;115;0.93;42976.41
ITEM;741;201;1.02;47026.41
ITEM;646;19;1.02;210114.00
ITEM;331;855;0.62;139.07
ITEM;627;3;0.96;346589.20
ITEM;102;446;0.86;2.75
ITEM;29;4565;0.92;2353.46
ITEM;671;147;0.94;60796.97
ITEM;753;138;1.00;169130.20
ITEM;731;63;0.65;111380.10
ITEM;675;84;0.84;46711.69
ITEM;748;159;1.00;169130.20
ITEM;681;51;0.59;49817.53
ITEM;602;15;1.09;23904.04
ITEM;648;41;1.03;649632.30
ITEM;405;792;0.87;0.98
ITEM;604;40;0.94;63356.23
ITEM;2041;421;1.08;2803.75
ITEM;2;6099;0.63;7.57
ITEM;313;890;1.09;327.85
ITEM;123;601;1.04;105.83
ITEM;2006;163;0.90;414.81
ITEM;2130;185;1.08;13260.38
ITEM;1400;63;0.57;2380.13
ITEM;2112;379;0.58;7260.38
ITEM;1160;29;1.02;2299.07
ITEM;2124;128;0.86;9735.34
ITEM;735;114;0.56;4387735.00
ITEM;324;1112;0.82;2110.04
ITEM;669;41;1.04;1147633.00
ITEM;341;13;0.99;5352.67
ITEM;343;1055;0.94;6001.70
ITEM;2038;317;0.66;2007.16
ITEM;2367;64;0.99;1103.34
ITEM;151;631;0.97;12.04
ITEM;322;1169;0.99;671.26
ITEM;27;985;0.91;805.73
ITEM;702;142;0.74;7650.31
ITEM;738;5;0.25;278469.10
ITEM;2387;2;1.03;4301.36
ITEM;2005;779;0.94;393.40
