// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Xellon
STATION;type;Market Center
STATION;owner;Dornoa Xaqi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;xellon.png
STATION;filename;sector_66_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-0-5-1-0-2-0-1-7-1-7-0
STATION;interior_seed;5-2-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;82341.36
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.83;npc_ship_data_(support_escort_1).txt
MERC;5;0.75;npc_ship_data_(support_frigate_1).txt
MERC;3;1.30;npc_ship_data_(support_escort_1).txt
MERC;6;1.82;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;75x1110;430244.00;123792.80
BUYORDER;Need (1) Items ;1201x15;206768.00;98831.75
BUYORDER;Market Shortage: (2) Items ;51x223,40x199;35405.00;111550.50
ITEM;408;1000;0.25;3.56
ITEM;100;214;0.78;1.24
ITEM;749;36;0.54;145960.90
ITEM;2443;3;0.70;51901.70
ITEM;162;28;0.89;33.90
ITEM;640;9;0.97;7096.91
ITEM;152;194;0.93;12.96
ITEM;1450;17;0.95;10435.36
ITEM;159;86;1.06;53.34
ITEM;693;15;0.44;2419.22
ITEM;21;39;0.81;30.48
ITEM;114;26;1.16;3.12
ITEM;164;173;0.59;10.21
ITEM;77;0;1.47;1802.02
ITEM;2117;15;0.70;4688168.00
ITEM;62;0;1.47;1081.21
ITEM;2111;62;0.62;3835295.00
ITEM;52;0;1.48;362.77
ITEM;42;0;2.50;362.21
ITEM;600;9;0.83;6116.91
ITEM;2211;18;1.18;2467269.00
ITEM;2116;60;1.04;1951732.00
ITEM;2128;21;1.18;2020184.00
ITEM;165;16;0.89;49.63
ITEM;2171;1;0.74;7882948.00
ITEM;103;244;0.55;1.28
ITEM;407;38;1.17;6.68
ITEM;303;18;0.72;698.06
ITEM;601;5;1.11;14134.59
ITEM;670;7;0.68;15200.72
ITEM;756;38;0.93;14607.66
ITEM;750;3;0.73;11607.66
ITEM;676;25;0.25;4407.66
ITEM;674;25;0.25;5289.19
ITEM;672;25;0.25;7052.25
ITEM;680;13;0.78;22243.78
ITEM;166;46;0.83;51.08
ITEM;104;237;0.50;2.03
ITEM;155;3;0.77;14.42
ITEM;158;7;0.79;19.66
ITEM;690;25;0.32;2558.40
ITEM;700;18;0.76;7234.59
ITEM;692;25;0.25;1763.06
ITEM;691;44;0.77;6510.75
ITEM;712;23;0.76;57876.75
ITEM;2396;6;0.75;5295.73
ITEM;677;25;0.46;22819.35
ITEM;304;13;0.65;523.57
ITEM;20;45;0.73;16.25
