// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Valuestar Hub
STATION;type;Market Center
STATION;owner;Bosadjan Wagen
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_62_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-0-5-0-3-5-1-6-5-3-9-1-4-7-3-2-90
STATION;interior_seed;5-0-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;34752.5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.56;npc_ship_data_(battle_cruiser_1).txt
MERC;3;0.50;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;60x981;131701;114074.00

BUYORDER;Market Items Req: (2) Items ;41x501,61x389;164094;90689.18
BUYORDER;Market Shortage: (2) Items ;61x368,62x68;153100.00;94544.54
SELLORDER;Market Stock: (1) Items ;406x54;59.00;57765.64
ITEM;2000;990;1.03;20.93
ITEM;1;628;0.68;5.16
ITEM;41;0;2.50;161.81
ITEM;2331;19;0.81;34670.50
ITEM;51;0;2.50;269.67
ITEM;1622;26;1.04;131611.50
ITEM;1761;71;0.86;593663.30
ITEM;1642;25;1.13;118676.30
ITEM;622;18;0.73;16866.62
ITEM;1019;23;0.96;95906.12
ITEM;1113;66;0.68;69495.13
ITEM;1542;19;1.02;99062.15
ITEM;61;5;1.05;350.19
ITEM;1067;58;0.56;58176.13
ITEM;2127;359;0.54;281448.10
ITEM;2115;152;0.70;389354.30
ITEM;641;28;1.15;14782.84
ITEM;1602;50;0.87;66726.90
ITEM;2024;738;0.84;1046.87
ITEM;1502;74;0.59;54328.05
ITEM;76;0;2.50;1348.31
ITEM;1069;48;0.66;73754.87
ITEM;2446;68;0.57;541522.80
ITEM;667;14;0.92;343679.80
ITEM;310;32;0.99;143.01
ITEM;2025;437;0.72;997.46
ITEM;2001;389;1.11;324.87
ITEM;111;617;0.55;14.02
ITEM;2026;114;1.16;1718.73
ITEM;302;11;1.27;60.42
ITEM;2028;760;0.91;1652.37
ITEM;351;31;0.68;4082.34
ITEM;153;305;0.84;13.13
ITEM;167;458;0.79;54.46
ITEM;40;0;2.50;71.91
ITEM;50;0;2.50;119.85
ITEM;1520;42;1.10;23135.25
ITEM;2029;414;1.17;2306.42
ITEM;1770;70;0.57;206852.30
ITEM;1775;57;1.02;333829.80
ITEM;1760;28;1.26;487250.80
ITEM;620;24;1.24;9077.34
ITEM;312;51;0.70;53.44
ITEM;1171;40;0.83;7448.81
ITEM;2297;8;0.89;284028.80
ITEM;1540;60;0.58;14645.54
ITEM;60;10;1.05;155.64
ITEM;1732;43;0.51;14169.06
ITEM;2304;3;0.90;287028.80
ITEM;2125;375;0.75;31060.36
ITEM;2113;231;0.62;28424.03
ITEM;1615;22;1.00;20078.49
ITEM;736;7;0.55;151690.60
