// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;71354.11
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (2) Items ;41x845,75x473;208275.00;111635.60
BUYORDER;Market Needs Goods: (1) Items ;50x150;6171.00;108416.60
ITEM;2174;40;1.06;16877490.00
ITEM;408;1000;0.25;3.55
ITEM;26;4521;0.64;346.44
ITEM;2444;44;0.89;71644.63
ITEM;100;1100;0.71;1.13
ITEM;662;35;1.11;24727.79
ITEM;663;20;0.97;38020.82
ITEM;2434;54;0.86;42026.07
ITEM;624;30;0.53;37648.55
ITEM;2022;538;0.87;881.29
ITEM;22;4133;1.01;63.93
ITEM;333;730;0.85;6744.48
ITEM;5;4570;1.03;55.69
ITEM;754;23;0.72;190864.10
ITEM;2453;48;1.16;1540424.00
ITEM;2465;52;0.67;913224.00
ITEM;749;82;0.53;143364.10
ITEM;744;39;0.55;148364.10
ITEM;202;577;0.88;82.96
ITEM;2354;69;0.79;302.54
ITEM;162;404;0.63;24.45
ITEM;645;14;0.82;99204.22
ITEM;640;25;0.51;3874.19
ITEM;340;839;0.77;1202.61
ITEM;642;19;0.53;12293.75
ITEM;625;34;0.51;63587.70
ITEM;156;545;0.55;11.57
ITEM;152;579;0.51;7.37
ITEM;117;158;1.07;53.36
ITEM;323;898;1.13;2101.43
ITEM;626;32;0.47;103235.50
ITEM;159;651;1.17;58.63
ITEM;2378;13;0.68;1730.51
ITEM;217;295;0.65;200.67
ITEM;693;49;0.25;1467.28
ITEM;216;555;1.20;327.13
ITEM;2016;305;0.69;592.02
ITEM;113;642;0.73;4.99
ITEM;21;132;0.53;20.47
ITEM;114;329;0.80;2.18
ITEM;3;5292;1.03;20.46
ITEM;77;10;1.05;1297.41
ITEM;1614;64;1.02;289260.10
ITEM;2272;46;0.55;2164929.00
ITEM;1006;62;0.71;949750.40
ITEM;62;232;1.05;778.45
ITEM;2111;169;1.08;6490663.00
ITEM;1762;40;0.98;1159820.00
ITEM;1777;76;1.03;1019215.00
ITEM;2318;4;1.05;13262210.00
ITEM;1772;60;1.05;1105185.00
ITEM;52;776;1.05;259.48
ITEM;42;42;1.10;162.43
ITEM;600;34;0.85;6254.19
ITEM;2241;34;0.85;2315839.00
ITEM;1618;5;0.74;119085.40
ITEM;2116;125;0.56;1086674.00
ITEM;2128;202;0.61;1078652.00
