// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Gemini Mining
STATION;type;Mining Facility
STATION;owner;Biraemi Xoqi
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;2
STATION;icon;gemini_mining.png
STATION;filename;sector_13_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-5-7-1-0-0-7-7-3-5-90
STATION;interior_seed;4-6-30-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;78273.04
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.15;npc_ship_data_(excavation_escort_1).txt
MERC;5;1.85;npc_ship_data_(support_shuttle_1).txt
MERC;8;1.89;npc_ship_data_(transport_shuttle_1).txt
MERC;4;1.95;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (2) Items ;5x219,4x732;35313.00;84845.30
ITEM;10;0;2.50;2055.58
ITEM;1214;12;0.25;1502243.00
ITEM;9;0;1.53;779.82
ITEM;1217;22;0.77;3294664.00
ITEM;408;10;1.09;14.30
ITEM;100;276;0.95;1.56
ITEM;662;31;0.70;16970.86
ITEM;663;7;0.25;12816.40
ITEM;5;0;1.77;120.77
ITEM;1212;12;0.25;746880.40
ITEM;734;16;0.61;175406.30
ITEM;744;35;0.66;187906.30
ITEM;162;114;0.92;36.72
ITEM;640;1;0.83;6451.38
ITEM;156;51;1.05;22.25
ITEM;152;102;0.57;8.81
ITEM;1450;3;0.78;9152.06
ITEM;323;0;2.50;5801.35
ITEM;725;3;0.96;15774.38
ITEM;720;24;0.88;5829.75
ITEM;693;6;0.61;3508.13
ITEM;722;21;0.61;4209.75
ITEM;721;11;0.83;5529.75
ITEM;2432;7;0.60;26588.14
ITEM;21;162;0.96;37.54
ITEM;114;27;0.91;2.59
ITEM;154;108;0.86;41.80
ITEM;2431;18;0.83;50126.26
ITEM;3;0;1.77;44.37
ITEM;1216;35;0.79;1457436.00
ITEM;77;60;0.62;675.49
ITEM;2123;78;1.11;6311161.00
ITEM;1210;12;0.25;717711.40
ITEM;2129;62;1.17;7288920.00
ITEM;52;35;0.81;171.16
ITEM;600;7;1.10;8341.38
ITEM;2256;10;0.87;1846320.00
ITEM;1206;12;0.25;205060.40
ITEM;6;7;1.05;122.17
ITEM;1221;12;0.69;1965159.00
ITEM;103;190;1.16;2.70
ITEM;407;5;0.86;5.23
ITEM;303;17;0.93;933.64
ITEM;601;3;0.90;12147.41
ITEM;321;0;2.50;8281.54
ITEM;2397;15;0.96;7716.82
ITEM;161;41;0.65;24.47
ITEM;157;128;0.68;16.54
ITEM;670;39;1.16;26284.13
ITEM;740;37;0.82;13674.38
ITEM;672;39;0.67;18279.00
ITEM;320;0;2.50;4599.75
ITEM;104;75;0.66;2.80
ITEM;4;0;1.53;63.76
ITEM;1218;12;0.25;649461.30
ITEM;158;12;1.10;28.10
ITEM;1460;13;1.17;31540.62
