// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;PharmaLife
STATION;type;Distribution Warehouse
STATION;owner;Fura Geegacie
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;3
STATION;icon;ad_image_10.png
STATION;filename;sector_23_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-3-0-6-4-0-9-1-4-1-3-1-1-5-4-1-1-1-2-7-3-9-90
STATION;interior_seed;5-0-45-2
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;77482.5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.97;npc_ship_data_(battle_carrier_1).txt
MERC;8;1.89;npc_ship_data_(pirate_utility_1).txt
MERC;4;1.77;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (1) Items ;313x760;351483;115550.80
SELLORDER;Market Surplus: (2) Items ;121x572,110x798;33386.00;128133.10
SELLORDER;Market Stock: (2) Items ;108x812,102x789;10715.00;123979.10
SELLORDER;Market Items: (2) Items ;101x874,113x642;3894.00;132880.40
SELLORDER;Market Inventory: (3) Items ;102x425,112x296,118x344;11551.00;121194.40
BUYORDER;Market Shortage: (1) Items ;312x526;58685.00;111829.00
ITEM;408;0;1.09;13.57
ITEM;100;250;0.25;0.42
ITEM;662;2;0.52;11817.70
ITEM;122;250;0.25;40.24
ITEM;22;195;1.02;63.80
ITEM;1300;16;1.22;17517.50
ITEM;124;0;0.82;58.74
ITEM;744;54;0.92;237812.50
ITEM;2433;24;0.81;35574.78
ITEM;202;193;0.77;71.98
ITEM;162;120;0.83;31.26
ITEM;640;13;1.02;7358.75
ITEM;642;14;0.97;21464.80
ITEM;152;32;0.70;9.73
ITEM;117;32;0.81;40.31
ITEM;1450;3;1.21;13033.13
ITEM;159;206;0.81;40.65
ITEM;721;34;0.66;4147.50
ITEM;119;32;0.69;59.73
ITEM;113;371;1.23;8.14
ITEM;2440;6;0.97;82510.01
ITEM;21;202;0.60;22.54
ITEM;114;392;1.05;2.80
ITEM;154;0;0.82;37.39
ITEM;164;109;0.60;10.17
ITEM;207;264;1.04;155.00
ITEM;3;150;0.74;14.70
ITEM;2123;22;0.74;4050750.00
ITEM;62;54;1.18;689.84
ITEM;1754;0;2.50;2025000.00
ITEM;600;11;1.20;8618.75
ITEM;120;0;0.79;97.93
ITEM;2122;43;1.00;1547520.00
ITEM;2116;15;0.55;1046686.00
ITEM;1753;0;2.50;1012500.00
ITEM;170;233;0.94;65.56
ITEM;118;250;0.25;1.51
ITEM;103;276;0.64;1.45
