// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers Hub
STATION;type;Reclaimed Goods Facility
STATION;owner;Binoak Dalewa
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;transporteers.png
STATION;filename;sector_61_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-1-8-1-7-0-4-4-1-4-0-7-9-0-7-0-7-6-1-3-0
STATION;interior_seed;5-1-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;69708.77
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.92;npc_ship_data_(recon_frigate_1).txt
MERC;2;1.40;npc_ship_data_(battle_shuttle_1).txt
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (2) Items ;9x185,6x415;163111;151618.80

SELLORDER;Sell Order Request for (2) Items ;2010x90,1052x19;121630.00;98631.77
BUYORDER;Market Shortage: (2) Items ;6x237,9x252;125897.00;84156.76
ITEM;10;0;2.50;2017.37
ITEM;9;0;2.50;1222.64
ITEM;408;3;0.95;12.02
ITEM;100;24;0.80;1.27
ITEM;624;32;0.67;46839.83
ITEM;5;0;2.50;164.94
ITEM;2170;8;1.05;9562307.00
ITEM;760;9;0.83;218364.10
ITEM;754;7;0.86;225864.10
ITEM;749;1;1.18;305864.10
ITEM;744;17;1.14;295864.10
ITEM;640;3;1.15;8354.19
ITEM;625;42;0.77;93459.62
ITEM;156;91;0.52;10.98
ITEM;152;95;0.69;9.76
ITEM;626;5;0.60;128758.90
ITEM;755;1;0.97;6080.74
ITEM;164;0;1.19;19.87
ITEM;3;0;1.29;31.76
ITEM;1564;12;0.68;312770.10
ITEM;1554;21;0.75;317382.50
ITEM;2117;36;0.80;5315989.00
ITEM;2111;4;0.93;5624052.00
ITEM;42;36;0.55;67.60
ITEM;600;3;0.78;5764.19
ITEM;1563;18;0.25;63386.55
ITEM;1553;23;0.79;166691.30
ITEM;2122;13;0.97;1520818.00
ITEM;2116;41;1.19;2221147.00
ITEM;6;601;1.05;117.01
ITEM;103;50;1.01;2.28
ITEM;407;779;0.74;4.31
ITEM;303;0;2.50;2905.52
ITEM;150;72;0.62;7.30
ITEM;157;11;0.80;18.08
ITEM;678;5;0.72;20613.32
ITEM;676;3;1.09;17001.84
ITEM;672;10;1.14;28402.95
ITEM;2430;1;0.90;46648.25
ITEM;155;0;0.82;15.30
ITEM;4;1;1.05;42.97
ITEM;158;0;1.05;25.78
ITEM;1460;17;1.03;26836.41
ITEM;700;3;0.74;7051.11
ITEM;691;2;0.62;5307.65
ITEM;758;29;0.51;55345.63
ITEM;2396;1;0.82;5760.12
ITEM;677;8;1.00;46955.53
ITEM;747;13;0.51;55345.63
ITEM;304;0;2.50;2399.12
ITEM;20;4301;0.88;19.39
ITEM;2427;5;0.82;32075.67
ITEM;305;0;2.50;741.42
ITEM;1561;44;0.85;48246.64
ITEM;1551;41;0.73;38672.81
ITEM;2120;36;1.15;146198.40
ITEM;2150;7;0.78;266305.80
ITEM;621;5;0.25;3594.84
