// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Imperium Republica 
STATION;type;Civil Housing Facility
STATION;owner;Fonmi Duemelze
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;6
STATION;icon;ad_image_7.png
STATION;filename;sector_14_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-3-7-0-7-1-0-3-0-2-5-1-2-0-4-9-0-8-0
STATION;interior_seed;3-4-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;55825.48
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.72;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.96;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;2022x371;242980.00;77774.19
ITEM;2023;34;0.84;929.68
ITEM;2000;575;1.16;22.97
ITEM;1;588;0.55;4.08
ITEM;51;150;1.14;98.93
ITEM;2225;26;1.05;1298925.00
ITEM;1766;41;0.85;540546.80
ITEM;2285;45;0.89;1106925.00
ITEM;1582;37;0.61;71953.00
ITEM;2250;21;0.77;1078476.00
ITEM;1512;25;1.03;93494.50
ITEM;1652;39;0.92;95243.75
ITEM;622;26;0.61;13772.58
ITEM;1113;4;0.75;73803.42
ITEM;2280;26;0.80;998925.00
ITEM;61;167;1.07;279.06
ITEM;1067;3;1.05;102100.90
ITEM;2127;78;1.05;510504.60
ITEM;1021;49;1.12;118585.80
ITEM;2115;230;0.82;438579.10
ITEM;641;27;0.92;11667.36
ITEM;1065;44;1.11;97964.02
ITEM;2121;8;0.99;438370.10
ITEM;1403;11;1.06;187353.00
ITEM;1602;26;0.60;45535.50
ITEM;1552;0;1.24;159184.80
ITEM;1562;0;1.33;184259.40
ITEM;737;25;1.09;631371.10
ITEM;2024;42;0.82;997.28
ITEM;2210;16;1.09;1131417.00
ITEM;401;72;0.58;2939.70
ITEM;310;29;1.05;184.85
ITEM;2025;35;0.78;1043.17
ITEM;2001;497;0.66;192.80
ITEM;111;147;1.11;26.40
ITEM;2026;41;0.82;1210.69
ITEM;2027;25;0.71;1154.36
ITEM;302;47;0.76;36.09
ITEM;2194;24;1.08;417164.10
ITEM;2028;27;0.75;1339.25
ITEM;153;280;0.92;13.94
ITEM;169;312;0.93;68.08
ITEM;40;22;1.11;25.70
ITEM;2330;3;0.86;7139.50
ITEM;2333;51;0.62;6524.38
ITEM;1620;45;1.18;36373.13
ITEM;2273;49;0.57;216877.50
ITEM;2300;10;1.10;339731.30
ITEM;70;10;0.63;82.80
ITEM;2029;35;0.74;1453.68
ITEM;1570;35;0.61;16703.38
ITEM;1510;42;1.20;27113.63
ITEM;620;16;0.54;4007.06
ITEM;312;20;1.05;95.55
ITEM;1007;41;0.90;7179.77
ITEM;1712;57;0.87;22560.94
ITEM;2101;56;0.76;27735.31
ITEM;60;40;0.92;107.15
ITEM;2125;134;0.71;28583.84
ITEM;1009;57;0.67;5900.48
ITEM;1055;58;0.52;3867.06
ITEM;2119;126;0.62;22835.31
ITEM;201;303;1.14;95.76
ITEM;1550;46;1.07;34451.18
ITEM;1560;0;1.27;44117.10
ITEM;736;81;0.77;200609.40
ITEM;2339;19;0.72;11286.56
ITEM;1059;59;0.67;5900.48
ITEM;2131;24;0.84;36642.38
ITEM;208;361;0.86;142.04
ITEM;115;774;0.95;27.24
ITEM;664;7;0.60;41520.79
ITEM;665;9;0.89;105980.70
ITEM;311;13;1.16;190.36
ITEM;729;85;0.85;13236.56
ITEM;109;108;1.01;4.67
ITEM;406;50;0.77;0.88
ITEM;403;0;1.05;1.49
ITEM;205;415;0.94;116.28
ITEM;2368;47;0.95;1175.00
ITEM;101;818;0.51;0.98
ITEM;623;21;0.55;21850.73
ITEM;110;270;0.94;15.61
ITEM;605;6;0.95;112874.20
ITEM;603;27;0.81;31604.89
ITEM;325;25;0.68;230.09
ITEM;404;32;1.05;1.49
ITEM;200;249;0.52;41.02
ITEM;300;7;1.12;114.73
ITEM;1778;9;0.85;503039.70
ITEM;301;13;1.15;29.92
ITEM;332;20;0.73;2123.12
ITEM;661;9;0.71;9094.86
ITEM;2381;18;0.62;2076.71
ITEM;108;239;1.20;16.48
ITEM;660;23;1.02;7367.06
ITEM;112;206;0.94;32.36
ITEM;2004;331;1.12;427.09
ITEM;1476;39;0.87;67682.81
ITEM;643;8;1.13;43610.00
ITEM;24;56;0.57;105.66
ITEM;738;26;0.52;559342.90
ITEM;322;27;1.09;742.29
ITEM;2343;56;1.08;134.60
ITEM;2367;11;0.76;861.38
ITEM;343;2;1.20;7664.75
ITEM;341;8;1.18;6393.67
ITEM;324;27;0.94;2428.18
ITEM;735;62;1.19;9168282.00
ITEM;1002;31;1.22;2504.88
ITEM;1052;37;1.19;2689.36
ITEM;1200;48;0.78;3249.75
ITEM;1100;21;1.20;2464.88
ITEM;2112;256;1.23;15149.25
ITEM;2118;276;1.03;10624.38
ITEM;2388;42;1.10;5077.85
ITEM;313;26;1.12;423.56
ITEM;2;153;0.80;9.61
ITEM;604;24;1.12;75659.83
ITEM;405;35;1.05;1.49
ITEM;602;15;1.03;22776.54
ITEM;2007;401;0.59;307.03
ITEM;2008;145;0.61;348.59
ITEM;2390;45;0.86;4842.37
ITEM;748;34;0.77;132402.20
ITEM;731;22;0.84;143952.20
ITEM;1462;33;0.77;1446070.00
ITEM;102;847;1.22;3.90
ITEM;331;34;1.19;263.56
ITEM;1521;34;0.79;32897.50
ITEM;2274;45;0.53;404955.00
ITEM;1581;7;1.24;71256.50
ITEM;621;27;1.25;15709.86
ITEM;1014;10;1.07;27009.72
ITEM;730;116;0.71;33409.69
ITEM;2126;293;0.99;137773.50
ITEM;2114;43;1.15;173818.30
ITEM;751;82;0.75;35209.69
ITEM;2120;103;0.52;67673.59
ITEM;1551;27;1.05;67652.34
ITEM;1561;0;1.33;91862.64
ITEM;1501;47;1.21;52182.38
ITEM;1064;33;0.87;26531.66
ITEM;305;34;0.62;152.15
ITEM;105;740;0.75;6.06
ITEM;2010;62;0.90;424.85
ITEM;2011;94;0.75;392.15
ITEM;20;477;0.74;16.22
ITEM;304;2;1.08;839.45
ITEM;742;75;1.05;108243.80
ITEM;747;99;1.14;117243.80
ITEM;2013;276;0.75;474.50
ITEM;733;11;1.05;108243.80
ITEM;2451;55;0.55;186380.00
ITEM;2428;48;0.99;41779.86
ITEM;211;459;0.86;145.78
ITEM;752;62;1.11;114243.80
ITEM;758;77;0.54;57243.75
ITEM;712;84;0.91;67855.50
ITEM;2429;48;1.02;47306.01
ITEM;701;104;1.03;9561.94
ITEM;690;68;1.04;7507.06
ITEM;1460;42;0.81;21078.56
ITEM;4;112;0.60;19.88
ITEM;104;273;0.67;2.62
ITEM;166;94;0.83;50.42
ITEM;203;401;1.07;108.95
ITEM;320;41;0.76;1125.17
ITEM;680;44;0.92;25715.81
ITEM;672;42;0.52;13258.50
ITEM;740;8;0.62;9786.56
ITEM;745;72;0.92;14286.56
ITEM;676;35;0.82;12786.56
ITEM;2449;8;0.69;57795.00
ITEM;750;67;1.04;16086.56
ITEM;756;42;0.71;11136.56
ITEM;2473;57;1.10;90595.00
ITEM;678;89;1.09;30305.81
ITEM;670;5;0.76;16641.19
ITEM;1461;34;0.70;155242.90
ITEM;214;285;1.03;231.00
ITEM;23;520;1.09;115.80
ITEM;160;372;0.90;27.97
ITEM;161;163;0.65;22.52
ITEM;728;58;0.64;10086.56
ITEM;210;484;0.52;82.04
ITEM;2015;237;0.99;750.25
ITEM;25;205;0.84;260.13
ITEM;212;480;1.04;192.71
ITEM;2375;18;1.03;1909.20
ITEM;321;38;1.05;2767.14
ITEM;106;246;0.89;8.57
ITEM;601;14;0.66;8482.36
