// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lammassu Hub
STATION;type;Enterprise Hub
STATION;owner;Dueemifie Uomi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;5
STATION;icon;lammassu.png
STATION;filename;sector_63_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-5-0-5-3-2-2-0-2-4-2-3-0-7-2-1-0-0-6-8-1-5-0
STATION;interior_seed;5-0-30-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;36719.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;0.54;npc_ship_data_(recon_carrier_1).txt
MERC;7;1.21;npc_ship_data_(pirate_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (3) Items ;407x631,407x806,321x288;257061;91593.44
SELLORDER;Market Inventory: (2) Items ;407x729,406x478;4749;136702.30
BUYORDER;Market Demands: (1) Items ;340x111;206602.00;42808.12
ITEM;2000;248;0.55;11.69
ITEM;1;414;1.06;7.82
ITEM;41;0;1.09;58.06
ITEM;2334;30;0.93;49338.13
ITEM;2307;42;1.06;2144184.00
ITEM;1766;44;0.51;347176.60
ITEM;622;23;0.60;14079.67
ITEM;1173;6;0.58;65522.86
ITEM;1103;43;0.81;74324.88
ITEM;1021;13;0.64;71696.86
ITEM;641;11;0.55;7432.84
ITEM;1065;19;1.09;98334.89
ITEM;1403;18;0.78;143504.80
ITEM;1562;9;0.89;102250.40
ITEM;310;6;0.89;129.35
ITEM;163;223;1.11;46.59
ITEM;302;49;0.74;36.28
ITEM;153;130;0.79;12.40
ITEM;40;137;1.03;24.45
ITEM;50;190;0.82;32.88
ITEM;2333;7;0.53;5867.63
ITEM;1520;30;0.60;13135.25
ITEM;1720;4;0.92;24419.06
ITEM;1750;38;0.67;29070.50
ITEM;1765;33;0.89;331400.00
ITEM;1640;28;0.97;25669.06
ITEM;1510;27;0.96;22368.78
ITEM;312;29;1.14;84.52
ITEM;60;19;1.13;133.51
ITEM;2302;40;0.87;278028.80
ITEM;1161;31;1.11;8984.07
ITEM;1101;28;0.98;7257.34
ITEM;2113;54;0.55;25484.03
ITEM;1615;3;1.17;23308.49
ITEM;1600;19;0.75;14521.72
ITEM;1560;36;0.65;19082.59
ITEM;736;92;0.59;161690.60
ITEM;75;108;0.60;123.14
ITEM;2131;152;0.92;41024.03
ITEM;2326;18;0.91;5800575.00
ITEM;400;289;1.16;1946.82
ITEM;2445;47;1.00;16908.20
ITEM;2438;15;0.73;53582.46
ITEM;664;1;1.19;81852.45
ITEM;727;34;1.04;16451.44
