// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Lacuna Bandits
STATION;type;Entertainment Hub
STATION;owner;Kilekom Anfer
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;4
STATION;icon;lacuna.png
STATION;filename;sector_77_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-1-7-7-3-3-1-1-0-2-6-0-3-3-2-1-90
STATION;interior_seed;5-8-45-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;59527.07
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.03;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.56;npc_ship_data_(transport_escort_1).txt
MERC;7;1.94;npc_ship_data_(recon_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (3) Items ;2009x384,219x622,2004x420;317602.00;85332.85
ITEM;1;319;0.55;4.50
ITEM;41;0;0.54;32.04
ITEM;1622;31;0.84;111928.50
ITEM;1532;13;0.59;68273.75
ITEM;1572;0;1.49;206348.40
ITEM;1582;0;1.52;226421.40
ITEM;1512;6;1.16;110240.90
ITEM;622;19;0.72;17423.47
ITEM;1173;27;0.61;72311.69
ITEM;1020;31;0.84;79982.24
ITEM;61;37;1.03;284.20
ITEM;2127;46;0.89;463483.60
ITEM;1103;3;1.01;94559.74
ITEM;2115;121;1.19;659968.50
ITEM;641;18;1.19;15713.54
ITEM;2121;1;0.83;395623.70
ITEM;2240;23;0.97;1377308.00
ITEM;310;10;1.03;153.39
ITEM;2001;38;0.71;223.51
ITEM;302;21;1.06;52.50
ITEM;153;288;0.50;8.68
ITEM;169;160;0.69;55.37
ITEM;40;171;1.18;28.64
ITEM;1520;18;0.97;21254.75
ITEM;1620;1;1.17;37882.13
ITEM;1721;12;0.25;8568.44
ITEM;1722;12;0.25;8568.44
ITEM;1720;27;0.76;21318.44
ITEM;1530;33;0.84;23318.44
ITEM;70;130;0.72;101.59
ITEM;1570;0;2.50;84263.97
ITEM;1580;0;1.49;55555.34
ITEM;2213;27;1.04;299042.70
ITEM;620;12;1.15;8699.16
ITEM;312;20;0.59;48.21
ITEM;1111;26;0.96;8106.08
ITEM;1171;7;0.51;5063.00
ITEM;1710;27;0.95;26068.44
ITEM;2302;11;0.79;264821.30
ITEM;1057;17;1.19;9877.08
ITEM;2125;115;1.05;43995.39
ITEM;1201;6;1.05;15998.32
ITEM;1615;12;0.57;12592.01
ITEM;75;127;0.71;150.51
ITEM;2131;178;0.80;37494.98
ITEM;2253;4;1.14;295857.00
ITEM;400;300;1.14;1972.38
ITEM;208;76;0.85;150.05
ITEM;311;25;1.06;147.22
ITEM;109;375;1.15;5.57
ITEM;406;39;0.87;1.06
ITEM;403;39;1.23;1.46
ITEM;101;522;0.62;1.28
ITEM;623;16;1.03;42120.62
ITEM;603;1;1.19;48123.18
ITEM;325;5;1.07;375.52
ITEM;404;8;1.03;1.24
ITEM;200;62;0.62;52.92
ITEM;300;33;1.06;114.76
ITEM;2322;28;1.15;8501174.00
ITEM;301;27;0.99;27.39
ITEM;332;0;1.51;5594.69
ITEM;661;7;0.56;7996.04
ITEM;218;129;0.51;191.86
ITEM;2002;27;0.78;267.30
ITEM;2003;44;0.73;277.19
ITEM;660;2;0.75;5899.16
ITEM;2004;150;0.25;127.02
ITEM;643;17;0.74;31240.98
ITEM;2418;35;1.08;28397.84
ITEM;2005;30;0.71;327.24
ITEM;738;42;0.71;812771.70
ITEM;702;48;0.91;10027.38
ITEM;322;6;0.86;630.06
ITEM;151;212;0.64;8.87
ITEM;324;38;1.01;2753.54
ITEM;1110;38;1.12;2668.02
ITEM;1052;25;1.23;2910.02
ITEM;2124;163;0.60;7620.11
ITEM;1200;14;0.87;3850.95
ITEM;1003;13;0.80;2142.57
ITEM;2118;94;0.68;7727.38
ITEM;1054;29;0.95;2502.57
ITEM;2130;22;1.16;15032.85
ITEM;2006;132;0.50;267.74
ITEM;313;16;0.51;177.22
ITEM;2;180;0.75;9.73
ITEM;405;8;1.24;1.47
ITEM;602;7;1.06;24712.38
ITEM;2007;39;0.75;415.70
ITEM;2008;30;0.79;478.97
ITEM;2458;6;1.05;731352.00
ITEM;748;47;0.85;155551.70
ITEM;2464;20;0.82;584152.00
ITEM;731;44;0.81;148951.70
ITEM;753;11;0.88;160501.70
ITEM;759;57;1.21;214951.70
ITEM;671;59;0.60;43642.46
ITEM;102;89;0.58;2.09
ITEM;331;0;1.49;427.78
ITEM;1531;4;0.69;39136.88
ITEM;741;39;1.19;57723.19
ITEM;746;4;1.13;55023.19
ITEM;2306;16;1.02;1068228.00
ITEM;1571;0;2.50;168527.90
ITEM;1581;0;2.50;181491.60
ITEM;1651;1;0.83;46136.88
ITEM;621;6;0.53;7628.53
ITEM;1631;36;0.60;34636.88
ITEM;1062;36;0.92;27293.28
ITEM;1205;14;0.66;36884.14
ITEM;1162;22;0.77;23250.78
ITEM;1102;28;0.95;25547.07
ITEM;2114;10;1.08;172392.40
ITEM;2120;37;0.68;94660.34
ITEM;757;40;0.60;31173.19
ITEM;1616;3;0.92;38484.03
ITEM;1551;11;0.67;38136.88
ITEM;1561;38;0.94;55767.82
ITEM;1501;37;0.80;37494.98
ITEM;1064;10;0.55;18896.48
ITEM;305;17;1.04;264.15
ITEM;105;337;0.92;7.84
ITEM;2009;150;0.25;204.57
ITEM;20;141;1.22;27.57
ITEM;219;150;0.38;119.66
ITEM;304;34;1.09;892.49
ITEM;211;100;1.07;189.93
ITEM;752;37;0.72;81273.75
ITEM;758;6;0.66;75273.75
ITEM;209;72;0.93;138.07
ITEM;2429;16;0.87;43274.09
ITEM;691;72;1.21;10421.90
ITEM;700;61;0.69;7044.64
ITEM;1460;14;1.16;31318.44
ITEM;158;84;1.14;29.07
ITEM;2350;34;0.62;168.21
ITEM;4;134;1.04;35.61
ITEM;155;234;1.13;21.67
ITEM;104;430;1.18;4.75
ITEM;166;262;0.83;53.94
ITEM;203;123;1.21;128.75
ITEM;320;14;1.05;1622.55
ITEM;2455;30;0.91;80219.00
ITEM;674;10;0.87;17329.28
ITEM;756;63;0.97;15941.06
ITEM;678;74;0.96;28423.91
ITEM;670;70;0.97;22317.49
ITEM;711;45;0.69;18785.70
ITEM;214;266;0.89;213.67
ITEM;23;135;0.74;85.91
ITEM;2352;27;0.67;228.82
ITEM;2353;24;1.09;390.30
ITEM;2439;36;1.10;89353.93
ITEM;321;33;0.96;2691.22
ITEM;106;262;0.82;8.48
ITEM;601;19;0.63;8853.53
ITEM;303;18;0.76;779.30
ITEM;107;343;1.00;12.18
ITEM;407;19;1.09;6.51
ITEM;103;85;0.65;1.60
ITEM;330;0;2.50;4937.54
ITEM;165;69;0.59;36.29
ITEM;118;13;0.87;5.17
ITEM;2276;7;0.93;2945484.00
ITEM;1533;13;1.01;220547.50
ITEM;1573;0;2.50;674111.80
ITEM;1583;6;1.07;324767.60
