// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepards Hub
STATION;type;Engineering Facility
STATION;owner;Bemdee Tudoe
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;star_shepards.png
STATION;filename;sector_95_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-1-4-8-0-3-1-5-3-3-8-0
STATION;interior_seed;4-3-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50090.04
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.00;npc_ship_data_(support_frigate_1).txt
MERC;7;1.30;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;121x103,106x236,120x128;43076.00;101531.60
BUYORDER;Looking to Buy (1) Items ;1171x7;60769.00;60102.82
BUYORDER;Market Shortage: (2) Items ;109x317,301x169;6058.00;77174.45
BUYORDER;Market Shortage: (3) Items ;110x167,120x59,121x91;23610.00;78063.76
BUYORDER;Market Out of Stock: (3) Items ;120x196,108x179,118x115;35936.00;59321.76
ITEM;2000;151;1.50;38.2648
ITEM;1;44;0.92;38.2648
ITEM;41;1956;1.08;59.20673
ITEM;61;2270;1.12;59.20673
ITEM;2127;23;1.05;59.20673
ITEM;2115;21;0.98;59.20673
ITEM;2240;7;0.81;1165622
ITEM;2435;4;0.74;1165622
ITEM;111;0;1.40;1165622
ITEM;302;644;1.05;1165622
ITEM;153;246;1.05;16.68082
ITEM;1520;10;0.82;16.68082
ITEM;1620;8;0.83;16.68082
ITEM;1530;27;0.94;25735
ITEM;2329;6;0.79;25735
ITEM;1750;14;1.10;25735
ITEM;1570;13;0.75;25735
ITEM;1580;16;0.69;21823.2
ITEM;1510;6;0.95;21823.2
ITEM;1650;8;1.23;21823.2
ITEM;620;5;0.64;5105.8
ITEM;1711;38;0.66;5105.8
ITEM;1712;12;0.68;5105.8
ITEM;1710;12;0.66;5105.8
ITEM;1540;25;0.58;15396.2
ITEM;60;1699;0.52;68.5575
ITEM;2125;5;0.63;68.5575
ITEM;2119;41;1.16;43729
ITEM;1615;18;0.77;43729
ITEM;1600;19;0.97;43729
ITEM;1550;1;0.56;43729
ITEM;1560;15;1.19;43729
ITEM;1610;5;0.91;43729
ITEM;1500;13;0.76;17837.4
ITEM;75;2076;0.54;17837.4
ITEM;2339;5;0.71;17837.4
ITEM;1590;4;1.03;17837.4
ITEM;2253;5;0.59;17837.4
ITEM;115;219;1.40;51.62632
ITEM;727;12;0.72;51.62632
ITEM;116;0;1.51;51.62632
ITEM;109;0;1.50;51.62632
ITEM;406;586;1.25;1.47334
ITEM;403;1386;0.90;1.08834
ITEM;101;0;1.14;1.08834
ITEM;168;133;1.22;1.08834
ITEM;110;19;1.05;1.08834
ITEM;404;789;0.93;1.12134
ITEM;300;0;1.34;1.12134
ITEM;301;0;1.30;1.12134
ITEM;108;0;1.43;1.12134
ITEM;660;5;1.05;7975.8
ITEM;112;0;1.40;7975.8
ITEM;702;25;0.52;7975.8
ITEM;151;40;0.73;7975.8
ITEM;1001;14;0.94;7975.8
ITEM;1110;1;1.08;7975.8
ITEM;1170;6;0.93;7975.8
ITEM;1002;5;1.20;7975.8
ITEM;1052;1;0.95;7975.8
ITEM;2160;6;0.50;7975.8
ITEM;1160;14;0.69;1714.68
ITEM;1100;10;0.75;1714.68
ITEM;1003;15;0.67;1822.56
ITEM;1050;20;0.96;2098.8
ITEM;1400;9;1.01;2098.8
ITEM;1054;11;0.83;2206.56
ITEM;123;27;1.05;2206.56
ITEM;405;868;0.98;2206.56
ITEM;681;45;0.72;2206.56
ITEM;743;39;0.99;178101
ITEM;675;50;1.00;58827.6
ITEM;759;14;0.98;58827.6
ITEM;679;61;0.66;58827.6
ITEM;671;30;0.75;58827.6
ITEM;2426;7;0.74;28009.67
ITEM;102;0;1.52;28009.67
ITEM;2289;8;0.86;569640
ITEM;2120;10;0.83;569640
ITEM;2264;8;1.00;444475.2
ITEM;105;0;1.53;444475.2
ITEM;20;45;1.13;444475.2
ITEM;747;17;0.70;78940
ITEM;733;20;1.22;78940
ITEM;758;13;0.72;78940
ITEM;712;1;0.72;78940
ITEM;701;36;0.75;78940
ITEM;700;45;0.51;78940
ITEM;1460;2;0.66;78940
ITEM;158;197;0.93;78940
ITEM;155;99;0.51;78940
ITEM;104;0;1.59;78940
ITEM;680;30;0.76;78940
ITEM;678;39;0.67;78940
ITEM;711;61;0.75;78940
ITEM;157;75;0.88;78940
ITEM;121;0;1.54;78940
ITEM;106;135;1.41;78940
ITEM;150;20;1.13;78940
ITEM;107;283;1.05;78940
ITEM;407;6;0.88;78940
ITEM;103;0;1.30;78940
ITEM;118;0;1.44;78940
ITEM;2128;5;0.48;78940
ITEM;2180;7;0.93;78940
ITEM;120;0;1.43;78940
ITEM;600;8;0.56;4545.8
ITEM;42;1325;1.20;146.8756
ITEM;52;10;1.14;146.8756
ITEM;2111;40;1.14;146.8756
ITEM;62;1832;0.52;146.8756
ITEM;2129;18;0.74;146.8756
ITEM;2117;43;0.74;146.8756
ITEM;77;17;0.87;146.8756
ITEM;164;33;0.96;146.8756
ITEM;114;0;1.56;146.8756
ITEM;113;0;1.53;146.8756
ITEM;119;0;1.47;146.8756
ITEM;693;18;0.92;146.8756
ITEM;703;58;0.65;146.8756
ITEM;710;33;0.65;146.8756
ITEM;117;39;1.05;146.8756
ITEM;152;99;0.91;146.8756
ITEM;2344;10;1.05;151.5402
ITEM;156;52;0.68;151.5402
ITEM;640;10;0.81;6295.8
ITEM;749;15;1.23;6295.8
ITEM;124;117;1.05;6295.8
ITEM;122;0;1.56;6295.8
ITEM;100;417;1.05;2.136375
ITEM;408;9;1.11;2.136375
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.15
SKILL;7;1.03
SKILL;56;0.85
SKILL;7;1.34
SKILL;58;1.09
SKILL;233;0.64
SKILL;230;1.61
SKILL;45;0.70
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;20;120;637926;COLLECT#38#120#sector_58_station_0.txt#sector_0_station_1.txt#null#null#null#null;Collect a light shipment of <color='yellow'>Prometheums</color> and return to CoraVault in <color='cyan'>Lins</color>;10;The Missionary Faction's fabrication representative <i>Galefast Siprastwit</i> is running a bit short on some items needed for an upcoming production run at CoraVault Station in <color='cyan'>Lins</color>. Perhaps you can collect <color='yellow'>38</color> <color='yellow'>Prometheums</color> and bring them by the fabricator at CoraVault.;6050;2063
MISSION;100;120;787786;KILL_RECOVER#sector_0_station_0.txt#sector_62.txt#Officer Pastres Veshas#npc_ship_data_(support_carrier_1)#3#344#168#null;Kill and Rob <color='yellow'><i>Officer Pastres Veshas</i></color> in <color='cyan'>Jelumus</color> and return to Biomate University in <color='cyan'>Void Starcross</color> with <color='yellow'>344</color> of <color='yellow'>Carbon Fibers</color>;9;<i>Jancoya Fifie</i> was hijacked for <color='yellow'>344</color> <color='yellow'>Carbon Fibers</color> by a pilot named <color='yellow'><i>Officer Pastres Veshas</i></color>. The Temple has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Officer Pastres Veshas</i></color>. Last seen in the <color='cyan'>Jelumus</color> system, <color='yellow'><i>Officer Pastres Veshas</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Carbon Fibers</color> to Biomate University in <color='cyan'>Void Starcross</color>.;12597;5250
MISSION;21;120;565410;COLLECT#37#165#sector_1_station_0.txt#sector_0_station_3.txt#null#null#null#null;Gather a collection of <color='yellow'>37</color> <color='yellow'>Plastic Caps</color> and dock the light shipment at Quantex in <color='cyan'>Dellis Primeria</color>;10;<i>Hasnostra Kinxanuh</i> has requested an small collection of <color='yellow'>37</color> <color='yellow'>Plastic Caps</color> in preparation for an upcoming exploration run. Backed by the Missionarys after these items have been collected, return to the Quantex Station located in the <color='cyan'>Dellis Primeria</color> Sector.;14920;3610
MISSION;33;45;876592;TRANSPORT#82#21#sector_60_station_0.txt#sector_58_station_0.txt#null#null#null#null;Transport <color='yellow'>82</color> units of <color='yellow'>Scrap Parts</color> from Biomart in <color='cyan'>Veloxi</color> to CoraVault in <color='cyan'>Lins</color>;11;A Transport request has been posted by <i>Padlea Dornlea</i>. <color='yellow'>82</color> <color='yellow'>Scrap Parts</color> needs to be picked up at the storage facility at Biomart in <color='cyan'>Veloxi</color>. Once the medium shipment has been loaded, transport it to CoraVault in <color='cyan'>Lins</color> where <i>Padlea Dornlea</i> will be waiting to receive it.;34368;6030
MISSION;120;45;472770;CHAT_PILOT#sector_0_station_1.txt#sector_3.txt#Entertainer Ilewo Zaya#npc_ship_data_(VVS_Dweller)#17#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Entertainer Ilewo Zaya</i></color> in <color='cyan'>Starfort Ramos</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>;11;<i>Sevtaj Lompadkadd</i> has requested that debt be collected from <color='yellow'><i>Entertainer Ilewo Zaya</i></color>. After 3 payments to the Orthodox faction for transport fines, <color='yellow'><i>Entertainer Ilewo Zaya</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Entertainer Ilewo Zaya</i></color> was in the vicinity of the <color='cyan'>Starfort Ramos</color> system. Have a chat with them, collect the debt, and return to the Lammassu Financial in the <color='cyan'>Void Starcross</color> system to deliver the payment.;7564;1500
