// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Horizons
STATION;type;Headquarters
STATION;owner;Serzokom Qireno
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .40, .19, 1
STATION;level;2
STATION;icon;horizons.png
STATION;filename;sector_14_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-3-0-0-0-1-4-7-1-8-90
STATION;interior_seed;3-4-15-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;54822.54
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.67;npc_ship_data_(transport_escort_1).txt
MERC;8;1.28;npc_ship_data_(recon_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (2) Items ;407x372,407x353;3978;93166.93

BUYORDER;Market Items Req: (3) Items ;407x819,407x1179,406x1174;14148;104260.20
BUYORDER;Market Demands: (2) Items ;408x488,407x759;13428;76560.23
SELLORDER;Market Items: (1) Items ;51x635;33391;135229.40
SELLORDER;Market Items: (3) Items ;41x1108,40x907,41x667;92083;71936.44
BUYORDER;Market Out of Stock: (1) Items ;406x475;896;81315.25

BUYORDER;Market Shortage: (2) Items ;408x567,407x313;16911;81155.05
SELLORDER;Market Items: (1) Items ;50x345;10198;95120.72
BUYORDER;Market Shortage: (3) Items ;407x225,406x144,406x411;2491.00;43264.62
SELLORDER;Market Supply: (2) Items ;60x36,40x228;2375.00;48879.13
BUYORDER;Market Shortage: (1) Items ;406x209;425.00;37224.47
SELLORDER;Market Goods: (2) Items ;52x279,51x236;20433.00;68954.73
SELLORDER;Market Supply: (1) Items ;77x159;57609.00;46431.51
SELLORDER;Market Items: (2) Items ;61x272,42x108;68111.00;32476.51
ITEM;1451;0;1.21;0
ITEM;1;4850;1.25;0
ITEM;41;29;0.79;0
ITEM;51;92;1.17;0
ITEM;2334;9;1.03;52836.35
ITEM;61;31;0.79;52836.35
ITEM;2151;19;1.20;52836.35
ITEM;641;5;0.90;52836.35
ITEM;2270;13;0.85;52836.35
ITEM;76;2;0.76;52836.35
ITEM;163;167;0.97;52836.35
ITEM;302;12;0.81;52836.35
ITEM;153;50;1.10;16.5375
ITEM;169;158;1.09;16.5375
ITEM;2361;3;0.92;16.5375
ITEM;40;36;0.87;20.18449
ITEM;50;77;0.77;20.18449
ITEM;1520;5;1.06;20.18449
ITEM;1620;13;0.97;30111.43
ITEM;1750;13;1.13;30111.43
ITEM;1570;23;0.59;16100.21
ITEM;620;4;0.94;16100.21
ITEM;60;29;0.83;16100.21
ITEM;1009;4;1.16;16100.21
ITEM;2113;99;0.71;31225.73
ITEM;1055;1;1.01;31225.73
ITEM;1401;4;0.79;31225.73
ITEM;1615;10;0.63;12632.4
ITEM;1560;9;0.58;12632.4
ITEM;1500;15;0.90;12632.4
ITEM;75;1326;0.80;12632.4
ITEM;1059;11;1.20;10366.82
ITEM;2131;35;1.10;47664.95
