[s:30][c:yellow]Valuestar Hub[/c][/s]
Market Center
Bosadjan Wagen
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 83403.96
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (981) x Basic Missile 
Fulfill order for [c:lime]26,895 profit.[/c]
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (501) x Advanced 20mm
 (389) x Advanced Missile
Fulfill order for [c:lime]47,184 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (368) x Advanced Missile
 (68) x Prototype Missile 
Fulfill order for [c:lime]27,679 profit.[/c]
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (54) x Candy Cane
Buy items for [c:lime]33 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  990 - z21
Adamyte Ore  628 - z5
Advanced 20mm (Doc)  19 - z34,671
Advanced Armor Exterior  26 - z131,612
Advanced ECM Resistance Field  71 - z593,663
Advanced Energy Armor  25 - z118,676
Advanced Filter  18 - z16,867
Advanced Heavy Cannon  23 - z95,906
Advanced Heavy Laser  66 - z69,495
Advanced Mass Reduction  19 - z99,062
Advanced Missile  5 - z350
Advanced Missile Launcher  58 - z58,176
Advanced Missile Launcher (Doc)  359 - z281,448
Advanced Railgun (Doc)  152 - z389,354
Advanced Regulator  28 - z14,783
Advanced Scan Emitter  50 - z66,727
Advanced Spring Loader  738 - z1,047
Advanced Thruster  74 - z54,328
Advanced Torpedo Launcher  48 - z73,755
Advanced Warp Drive Fuel (Doc)  68 - z541,523
Advanced Waste Unit  14 - z343,680
Aged Wine  32 - z143
AI Interface Drive  437 - z997
Aluminium Plates  389 - z325
Aluminium Shard  617 - z14
Ammunition Loader  114 - z1,719
Anti-Freeze  11 - z60
Armor Plating  760 - z1,652
Assembly Tools  31 - z4,082
Assorted Gaskets  305 - z13
Assorted Springs  458 - z54
Basic Afterburner  42 - z23,135
Basic Computer  414 - z2,306
Basic ECM Energy Coil  70 - z206,852
Basic ECM Range Lock  57 - z333,830
Basic ECM Resistance Field  28 - z487,251
Basic Filter  24 - z9,077
Basic Food Rations  51 - z53
Basic Ion Beam  40 - z7,449
Basic Laser Energy Mod (Doc)  8 - z284,029
Basic Mass Reduction  60 - z14,646
Basic Missile   10 - z156
Basic Missile Explosive Mod  43 - z14,169
Basic Missile Explosive Mod (Doc)  3 - z287,029
Basic Missile Launcher (Doc)  375 - z31,060
Basic Railgun (Doc)  231 - z28,424
Basic Scan Booster  22 - z20,078
Basic Skill Manual  7 - z151,691
Basic Torpedo Launcher  52 - z7,449
Basic Torpedo Launcher (Doc)  44 - z30,524
Basic Warp Drive  30 - z523,381
Basic Warp Drive Fuel  7 - z1,051
Battery Core  666 - z187
Battery Core (Doc)  72 - z1,539
Belasite Ore  457 - z265
Bio Carbon  809 - z17
Bio Converter  2 - z36,553
Bio Disposables  22 - z106,478
Bomber Drone  89 - z14,501
Bomber Drone (Doc)  69 - z181,364
Bottled Whiskey  69 - z117
Burglar Drone  153 - z12,101
Calciate Residue  507 - z62
Calcium  1051 - z5
Calibration Tools  72 - z5,317
Candy Cane  61 - z1
Candy Corn  51 - z1
Carbon  228 - z2
Carbon Fiber  542 - z23
Carbon Filter  16 - z23,138
Cat Food  22 - z262,738
Ceramic  931 - z11
Cheese and Crackers  8 - z89,244
Cheeseburger  26 - z38,520
Childrens Toys  30 - z215
Chocolate Bars  15 - z1
Cleaning Chemicals  20 - z106
Cloak Booster  10 - z344,754
Cloak Field Generator (Doc)  79 - z7,104,766
Colored Dye  56 - z31
Compartment Frame  430 - z1,890
Containment Processor  30 - z168,240
Containment Unit  15 - z9,270
Copperi Cubex  452 - z16
Copperi Plates  368 - z245
Disposables  26 - z5,997
Duct Work  172 - z2,255
Dynex Crystal  659 - z20
Dynex Crystal Resonator  779 - z466
Dynex Ore  29 - z175
Eco Regulator  37 - z23,138
Electron Orb  675 - z182
Electronic Fragment  611 - z119
Elite Skill Manual  62 - z1,069,972
Energy Bomb  54 - z8,068
Engine Component  481 - z764
Entertainment Electronics  73 - z739
Fiber Optic Cables  384 - z94
Fiber Optic Interface  155 - z1,719
Foodservice Equipment  27 - z5,888
Foodservice Products  14 - z4,413
Gaming Devices  11 - z1,890
Generic Missile Launcher  73 - z2,699
Generic Ore Harvester  47 - z4,867
Gourmet Food Rations  27 - z231
Gradeon Extractor (Doc)  59 - z5,443,885
Gradeon Ore  379 - z14
Grilled Steak  17 - z81,852
Gummy Bears  72 - z1
Ham Sandwich  38 - z16,438
Hand Tools  459 - z349
Hardened Glass Panels  289 - z508
Heavy Armor Bomb  42 - z81,548
Heavy Armor Repair  26 - z58,807
Heavy Energy Charge  14 - z54,905
Heavy Salvage Drone  97 - z144,666
Heavy Shield Charge  32 - z44,526
Hydrogen  1082 - z4
Hydrox Filter  21 - z396,458
Hygiene Products  5 - z200
Hyperion Regulator  33 - z160,197
Improved Cargo Expansion  71 - z53,338
Improved Defense Drone  22 - z32,704
Improved Engine Core (Doc)  21 - z462,931
Improved Filter  8 - z13,313
Improved Ion Beam  99 - z21,367
Improved Ion Beam (Doc)  21 - z164,164
Improved Light Turret  18 - z30,546
Improved Light Turret (Doc)  17 - z107,403
Improved Missile Launcher (Doc)  269 - z157,221
Improved Railgun  3 - z29,599
Improved Railgun (Doc)  314 - z99,484
Improved Rocket Launcher (Doc)  341 - z82,903
Improved Salvage Collector  70 - z46,881
Improved Targeting System  10 - z28,450
Improved Turn Thrust (Doc)  14 - z478,446
Interior Lighting  42 - z293
Iron Coring  866 - z7
Iron Coring Beams  685 - z583
Iron Coring Pipes  622 - z445
Junk Part  729 - z18
Kitchen Appliances  56 - z873
Large Defense Drone  91 - z79,676
Large Heatsink  736 - z577
Large Life Support Pack  28 - z35,404
Large Mining Drone  12 - z78,676
Large Processor  286 - z97
Large Repair Drone  81 - z114,676
Large Salvage Drone (Doc)  53 - z248,564
Large Web Field  15 - z76,807
LED Lights  304 - z83
Light Armor Bomb  51 - z11,401
Light Armor Repair  14 - z5,174
Light Energy Charge  9 - z7,241
Light Shield Bomb  68 - z10,051
Light Shield Charge  22 - z5,017
Lokken Ore  60 - z40
Magnetic Quartz  987 - z5
Mechanical Belts  444 - z52
Mechanical Switch  48 - z79
Mechanical Tools  42 - z4,478
Media Recordings  22 - z1,699
Medical Instruments  54 - z6,532
Medium Armor Repair  28 - z21,042
Medium Combat Drone  107 - z9,851
Medium Defense Drone  6 - z14,051
Medium Energy Charge  25 - z5,522
Medium Life Support Pack  40 - z13,901
Medium Repair Drone  109 - z15,701
Medium Shield Charge  25 - z18,622
Metal Fragment  291 - z77
Metal Gears  498 - z24
Micro Leech Drone  5 - z9,851
Micro Processor  745 - z126
Misc Hardware (Doc)  55 - z5,553
Module Fragment  301 - z315
Musical Instruments  54 - z1,526
Neutron Pods  150 - z52
Nitrogen  995 - z5
Noodles  21 - z16,008
Office Furniture  26 - z1,158
Office Supplies  76 - z3,854
