[s:30][c:yellow]Holosynth Industries[/c][/s]
Scientific Analysis Facility
Enolindo Yelbo
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 60654.45
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Cloak Field Generator
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Personal Clothing
Hygiene Products
Communication Device
Transport Units

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Storage
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (285) x Lokken Ore
Fulfill order for [c:lime]8,078 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (381) x Hygiene Products
Fulfill order for [c:lime]56,996 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  85 - z15
Adamyte Ore  448 - z10
Advanced 20mm  127 - z53
Advanced 60mm  153 - z79
Advanced Armor Exterior  4 - z74,550
Advanced ECM Range Lock  38 - z467,275
Advanced Energy Capacitor  26 - z107,250
Advanced Filter  22 - z18,249
Advanced Heavy Laser  46 - z111,421
Advanced Missile  191 - z170
Advanced Railgun (Doc)  38 - z633,478
Advanced Regulator  15 - z11,530
Advanced Skill Manual  91 - z366,328
Advanced Spring Loader (Doc)  41 - z9,004
Advanced Thruster (Doc)  46 - z636,300
Advanced Torpedo   235 - z325
Advanced Warp Drive (Doc)  30 - z21,037,500
Afterburner Assembly (Doc)  39 - z28,718
Aged Wine  11 - z144
Aluminium Plates  395 - z337
Assorted Gaskets  232 - z13
Basic 60mm  94 - z25
Basic 60mm (Doc)  43 - z8,613
Basic Afterburner  14 - z23,825
Basic Armor Exterior  6 - z36,338
Basic Cargo Expansion  26 - z29,781
Basic Cargo Expansion (Doc)  36 - z330,375
Basic ECM Power Boost  36 - z413,479
Basic ECM Range Lock  26 - z341,422
Basic Filter  16 - z5,399
Basic Heavy Cannon  1 - z4,168
Basic Impact Armor  15 - z29,781
Basic Light Turret  38 - z6,589
Basic Missile   1 - z125
Basic Missile Energy Mod  10 - z20,781
