[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 71356.31
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (845) x Advanced 20mm
 (473) x Basic Torpedo 
Fulfill order for [c:lime]86,807 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (150) x Basic 60mm
Fulfill order for [c:lime]842 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Extractor (Doc)  40 - z16,877,490
Wrapped Box  1000 - z4
Weapons Component  4521 - z346
Weapon Systems Package (Doc)  44 - z71,645
Water  1100 - z1
Waste Processor  35 - z24,728
Waste Burner  20 - z38,021
Voltage Regulator (Doc)  54 - z42,026
UV Filter  30 - z37,649
Uranium Core  538 - z881
Undamaged Part  4133 - z64
Transport Units  730 - z6,744
Torim Ore  4570 - z56
Titan Repair Drone  23 - z190,864
Titan Mining Drone (Doc)  48 - z1,540,424
Titan Defense Drone (Doc)  52 - z913,224
Titan Defense Drone  82 - z143,364
Titan Combat Drone  39 - z148,364
Thermal Sensor  577 - z83
Thermal Insulation (Doc)  69 - z303
Thermal Insulation  404 - z24
Thermal Generex  14 - z99,204
Thermal Controller  25 - z3,874
Textile Fabrics  839 - z1,203
Temperature Genie  19 - z12,294
Synth Filter  34 - z63,588
Steelium Pipes  545 - z12
Steelium Beam  579 - z7
Steelium  158 - z53
Sporting Equipment  898 - z2,101
SolarClean Filter  32 - z103,236
Small Storage Tank  651 - z59
Small Pump (Doc)  13 - z1,731
Small Motor  295 - z201
Small Life Support Pack  49 - z1,467
Small Heatsink  555 - z327
Small Electronics  305 - z592
Silicon  642 - z5
Scrap Part  132 - z20
Salt Crystal  329 - z2
Quazor Ore  5292 - z20
Prototype Torpedo   10 - z1,297
