[s:30][c:yellow]Horizons[/c][/s]
Headquarters
Serzokom Qireno
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 54822.54
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (567) x Wrapped Box
 (313) x Ornament
Fulfill order for [c:lime]8,284 profit.[/c]
[c:red]SELL Order[/c] Market Items: (1) Items 
 (345) x Basic 60mm
Buy items for [c:lime]8,515 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (225) x Ornament
 (144) x Candy Cane
 (411) x Candy Cane
Fulfill order for [c:lime]636 profit.[/c]
[c:red]SELL Order[/c] Market Supply: (2) Items 
 (36) x Basic Missile 
 (228) x Basic 20mm
Buy items for [c:lime]8,150 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (209) x Candy Cane
Fulfill order for [c:lime]194 profit.[/c]
[c:red]SELL Order[/c] Market Goods: (2) Items 
 (279) x Prototype 60mm
 (236) x Advanced 60mm
Buy items for [c:lime]64,019 discount.[/c]
[c:red]SELL Order[/c] Market Supply: (1) Items 
 (159) x Prototype Torpedo 
Buy items for [c:lime]125,945 discount.[/c]
[c:red]SELL Order[/c] Market Items: (2) Items 
 (272) x Advanced Missile
 (108) x Prototype 20mm
Buy items for [c:lime]51,619 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  53 - z9
Advanced 20mm  29 - z42
Advanced 60mm  92 - z101
Advanced 60mm (Doc)  9 - z52,048
Advanced Missile  31 - z207
Advanced Plasma Cannon (Doc)  19 - z1,393,334
Advanced Regulator  2 - z11,404
Advanced Scan Booster (Doc)  13 - z803,444
Advanced Torpedo   2 - z334
Aluminium Rivets  79 - z40
Anti-Freeze  12 - z38
Assorted Gaskets  50 - z16
Ball Bearings  158 - z79
Ball Bearings (Doc)  3 - z672
Basic 20mm  36 - z19
Basic 60mm  77 - z30
Basic Afterburner  5 - z21,819
Basic Armor Exterior  13 - z29,129
Basic Drone Command Bay  13 - z46,439
Basic Energy Capacitor  13 - z15,105
Basic Filter  2 - z6,797
Basic Missile   29 - z96
Basic Railgun  4 - z10,004
Basic Railgun (Doc)  97 - z30,281
Basic Rocket Launcher  1 - z7,287
Basic Salvage Collector  4 - z11,494
Basic Scan Booster  1 - z12,368
Basic Shield Generator  9 - z16,496
Basic Thruster  9 - z19,550
Basic Torpedo   25 - z156
Basic Torpedo Launcher  11 - z10,256
Basic Torpedo Launcher (Doc)  35 - z45,821
Basic Turn Thrust  18 - z19,019
Basic Warp Drive Fuel (Doc)  11 - z15,536
Battery Array (Doc)  15 - z63,404
Candy Cane  8 - z1
Candy Corn  12 - z1
Carbon  136 - z1
Carbon Fiber  174 - z16
Chocolate Bars  11 - z1
Cleaning Chemicals  5 - z125
Colored Dye  7 - z21
Containment Unit  3 - z13,732
Disposables  2 - z7,497
Duct Work (Doc)  3 - z15,629
Fasteners  131 - z7
Generic Construction Platform  1 - z5,257,266
Generic Heavy Cannon  15 - z1,212
Generic Ion Beam  15 - z2,210
Generic Light Turret (Doc)  17 - z6,110
Generic Missile Launcher (Doc)  1 - z12,771
Generic Ore Harvester  11 - z4,844
Generic Pulse Laser  14 - z1,142
Generic Torpedo Launcher (Doc)  66 - z7,572
Gradeon Ore  62 - z10
