[s:30][c:yellow]Biomart[/c][/s]
Auction Facility
Leira Kolyitpi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 40138.44
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Active Scanner
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Tractor Beam

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Active Scanner  12 - z7,825
Adamyte Ore  147 - z5
Advanced Regulator  5 - z7,887
Advanced Targeting System (Doc)  16 - z623,319
Aluminium Rivets  163 - z37
Anti-Freeze  18 - z43
Assorted Gaskets  195 - z17
Assorted Springs  86 - z41
Ball Bearings  175 - z52
Basic 20mm  26 - z25
Basic 60mm  29 - z47
Basic Afterburner  16 - z15,277
Basic Armor Exterior  15 - z24,416
Basic Cargo Expansion  3 - z28,847
Basic Drone Command Bay  13 - z30,555
Basic Energy Generator  13 - z32,868
Basic Filter  6 - z9,057
Basic Heavy Cannon  18 - z5,266
Basic Heavy Laser  5 - z6,806
Basic Ion Beam  16 - z9,861
Basic Light Turret (Doc)  1 - z24,636
Basic Mass Reduction  5 - z28,839
Basic Plasma Cannon  16 - z4,496
Basic Railgun  18 - z10,365
Basic Rocket Launcher  7 - z6,187
Basic Rocket Launcher (Doc)  78 - z27,786
Basic Scan Booster  6 - z18,884
Basic Shield Generator  8 - z21,705
Basic Torpedo   88 - z190
Basic Torpedo Launcher  16 - z8,097
Basic Torpedo Launcher (Doc)  3 - z39,643
Bomber Drone  38 - z18,808
Candy Cane  2 - z1
Candy Corn  8 - z1
Carbon  271 - z2
Carbon Fiber  123 - z29
Chocolate Bars  19 - z1
Cleaning Chemicals  1 - z110
Colored Dye  6 - z18
Containment Unit  3 - z8,132
Copperi Cables  150 - z97
Disposables  6 - z7,447
Dynex Crystal Resonator (Doc)  3 - z2,386
ECM Sensors Jammer (Doc)  15 - z1,222,380
Elite Skill Manual  17 - z1,320,170
Fasteners  7 - z14
Generic Missile Launcher  10 - z1,615
Generic Plasma Cannon  12 - z1,879
Generic Pulse Laser  11 - z2,148
Generic Railgun (Doc)  69 - z11,806
Generic Rocket Launcher  2 - z2,448
Generic Rocket Launcher (Doc)  52 - z8,939
Generic Torpedo Launcher  16 - z1,473
Gradeon Ore  44 - z10
Gummy Bears  3 - z1
Heavy Combat Drone  13 - z196,989
Hydraulic Assembly (Doc)  6 - z28,161
Hydrogen  161 - z3
Improved Drone Command Bay  12 - z93,110
Improved Engine Core  15 - z40,650
Improved Explosive Armor  2 - z46,694
Improved Filter  4 - z12,665
Improved Impact Armor  4 - z53,694
Improved Mass Reduction  18 - z55,838
Improved Repair Drone  38 - z43,374
Improved Salvage Drone  2 - z33,474
Improved Shield Booster  12 - z51,194
Improved Shield Generator  15 - z32,069
Improved Targeting System  16 - z25,292
Improved Thruster  13 - z30,403
Improved Turn Thrust  4 - z45,355
Interior Lighting  8 - z138
Ionization Plate (Doc)  19 - z45,836
Junk Part  193 - z26
Kitchen Appliances  1 - z856
Large Defense Drone  34 - z67,387
Large Processor  30 - z122
Large Salvage Drone  5 - z56,387
LED Lights  150 - z41
Light Shield Recharger  9 - z27,597
Liquid Coolant  126 - z27
Lubricant  87 - z14
Magnetic Quartz  243 - z3
Mechanical Belts  16 - z55
Medium Armor Repair  22 - z19,773
Medium Shield Bomb  5 - z24,405
Memory Chip  150 - z66
Metal Gears  7 - z39
Micro Processor  30 - z118
Misc Hardware (Doc)  6 - z9,201
Missile Defense System (Doc)  5 - z1,270,195
Motion Sensor  150 - z55
Noodles  1 - z7,397
Nuts And Bolts  64 - z13
Office Furniture  17 - z963
Ornament  19 - z7
Oxygen  251 - z3
Plasite Extractor (Doc)  5 - z10,900,270
Plastic Caps  82 - z65
Premium Heavy Cannon (Doc)  18 - z2,152,286
Premium Railgun (Doc)  25 - z2,239,903
Pressure Sensor  150 - z60
Protein Bar  2 - z7,517
Prototype ECM Power Boost Field (Doc)  3 - z7,510,799
Prototype Heavy Cannon (Doc)  71 - z6,319,742
Prototype Railgun (Doc)  72 - z7,650,579
Prototype Torpedo   25 - z1,029
Rubber Tubing  67 - z27
Salt Crystal  217 - z3
Scrap Part  187 - z24
Small Heatsink  150 - z109
Small LS Bomb  14 - z4,367
Small Motor  42 - z244
Small Pump  25 - z209
Small Storage Tank  1 - z34
Small Web Field  17 - z6,031
Spotlight  10 - z10,016
Steelium Pipes  37 - z16
Thermal Controller  6 - z4,297
Thermal Insulation  128 - z26
Titan Combat Drone  21 - z273,468
Water  38 - z1
Wrapped Box  4 - z10


<Station University Skills>
Launcher Basic Operation
Miner Maintenance
Laser Basic Operation
Projectile Damage Calibration


<Station Missions>


<Station Ships>
TE-1 Phoebus / Shuttle    (Transport)
TU-1 Jonas / Escort    (Transport)
BCA-1 Drone Piranha / Destroyer    (Support)
RE-1 Integrator / Escort    (Recon)
RF-1 Assimilator / Escort    (Recon)
BCA-1 Drone Piranha / Destroyer    (Support)
SF-1 Redeemer / Frigate    (Support)
