[s:30][c:yellow]CoraVault Hub[/c][/s]
Neural Transceiver Station
Uelas Rastzepea
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 68019.38
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Polymere
Circuit Board
Basic Sensor
Thermal Sensor
Mechanical Switch
Fiber Optic Cables
Capacitors
Optical Interface
Regulator
Battery Core
ECM Magweb
ECM Target Scrambler
ECM Sensors Jammer
ECM Module Disruptor
[c:orange]DEMAND[/c]
Mechanical Tools
Assembly Tools
Medical Instruments
Calibration Tools
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
Ship Hangar
Storage
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Stock: (4) Items 
 (405) x Polymere
 (718) x Polymere
 (1242) x Basic Sensor
 (1064) x Fiber Optic Cables
Buy items for [c:lime]224,341 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (2) Items 
 (69) x Thermal Sensor
 (40) x Circuit Board
Buy items for [c:lime]5,093 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  1 - z10
Water  16 - z1
Voltage Regulator (Doc)  2 - z28,158
Titan Mining Drone  9 - z218,833
Thermal Sensor  46 - z63
Thermal Controller  3 - z6,057
Steelium Pipes  79 - z21
Steelium Beam  33 - z9
Small Web Field  12 - z9,403
Small Tractor Drone  18 - z8,480
Reinforced Rubber  70 - z19
Regulator  150 - z43
Recon Scanner Drone  7 - z18,680
Prototype Rocket Launcher (Doc)  25 - z3,231,836
Prototype Missile Launcher (Doc)  34 - z7,194,785
Prototype Heavy Cannon (Doc)  5 - z6,617,044
Prototype Drone Command Bay (Doc)  5 - z7,644,144
Prototype Drone Command Bay  5 - z876,265
Prototype 60mm  42 - z235
Protein Bar  1 - z8,647
Premium Salvage Collector (Doc)  8 - z2,056,850
Premium Railgun (Doc)  8 - z2,314,560
Premium Missile Launcher (Doc)  10 - z2,105,174
Premium Drone Command Bay  8 - z438,133
Polymere  42 - z56
Oxygen  55 - z2
Ornament  8 - z6
Optical Interface  150 - z39
Nuts And Bolts  58 - z7
Micro Leech Drone  19 - z8,480
Metal Brackets  36 - z13
Medium Repair Drone  4 - z16,880
Medium Armor Repair  11 - z23,648
Medical Instruments  7 - z12,306
Mechanical Switch  44 - z87
Lubricant  4 - z14
Liquid Coolant  80 - z28
Light Shield Recharger  2 - z31,383
Light Shield Charge  16 - z4,097
Light Energy Charge  10 - z3,752
Light Armor Bomb  4 - z8,688
Large Web Field  2 - z63,024
Large Pump (Doc)  7 - z5,639
Large Combat Drone  3 - z58,533
Junk Part  79 - z26
Ionization Plate (Doc)  4 - z29,173
Improved Scan Booster (Doc)  2 - z517,711
Improved Rocket Launcher (Doc)  44 - z98,653
Improved Missile Launcher (Doc)  28 - z155,681
Improved Energy Armor (Doc)  1 - z645,199
Improved Combat Drone  17 - z33,990
Heavy Salvage Drone  13 - z111,430
Gummy Bears  9 - z1
Generic Torpedo Launcher  6 - z2,773
Generic Salvage Collector  9 - z5,101
Generic Rocket Launcher  6 - z2,111
Generic Railgun (Doc)  47 - z6,664
Generic Railgun  2 - z1,741
Generic Pulse Laser  9 - z1,511
Generic Plasma Cannon  8 - z1,574
Generic Ore Harvester  4 - z5,181
Generic Missile Launcher  7 - z2,696
Generic Light Turret  2 - z1,511
Generic Ion Beam  1 - z1,333
Generic Heavy Laser  8 - z2,520
Generic Heavy Cannon  6 - z2,168
Fiber Optic Cables  26 - z89
Fasteners  40 - z7
Energy Bomb  13 - z5,453
ECM Target Scrambler  12 - z22,150
ECM Sensors Jammer  26 - z151,000
ECM Module Disruptor  12 - z368,124
ECM Magweb  12 - z932,029
Disposables  1 - z5,427
Colored Dye  2 - z19
Cleaning Chemicals  2 - z77
Circuit Board  33 - z52
Chocolate Bars  3 - z1
Carbon Fiber  21 - z33
Carbon  81 - z2
Capacitors  33 - z102
Candy Corn  9 - z1
Candy Cane  9 - z1
Battery Core  32 - z123
Basic Turn Thrust  5 - z17,707
Basic Torpedo (Doc)  1 - z8,480
Basic Torpedo   2 - z211
Basic Thruster  4 - z24,682
Basic Targeting System  2 - z12,671
Basic Skill Manual  5 - z148,833
Basic Shield Generator  9 - z20,124
Basic Sensor  47 - z57
Basic Scan Booster  1 - z12,261
Basic Rocket Launcher (Doc)  19 - z34,137
Basic Mass Reduction  6 - z18,063
Basic Impact Armor  2 - z27,383
Basic Filter  3 - z4,307
Basic Engine Core  9 - z14,637
Basic Energy Generator  4 - z33,189
Basic Energy Capacitor  1 - z20,679
Basic Energy Armor  6 - z24,883
Basic ECM Range Lock (Doc)  2 - z2,140,446
Basic Drone Command Bay  4 - z56,983
Basic Cargo Expansion  5 - z17,883
Basic Armor Exterior  8 - z30,460
Basic 60mm  21 - z38
Ball Bearings (Doc)  1 - z697
Assorted Gaskets  18 - z18
Anti-Freeze  8 - z27
Advanced Thruster (Doc)  7 - z1,134,334
Advanced Skill Manual  9 - z604,874
Advanced Missile Launcher (Doc)  16 - z266,624
Advanced Energy Generator (Doc)  4 - z1,512,445
Advanced Afterburner (Doc)  6 - z1,099,518
Adamyte Ore  72 - z6


<Station University Skills>


<Station Missions>


<Station Ships>
BE-1 Gabriel / Escort    (Battle)
SC-1 Bishop / Utility    (Support)
SS-1 Arcane Shuttle / Shuttle    (Support)
TCA-1 Mule / Utility    (Support)
SE-1 Prophet / Frigate    (Assault)
PF-1 Assault Frigate / Frigate    (Assault)
PS-1 Shuttle / Shuttle    (Excavation)
PF-1 Assault Frigate / Frigate    (Assault)
RCA-1 Correlator / Destroyer    (Support)
