[s:30][c:yellow]Rendo Labs[/c][/s]
Beam Research Facility
Bomene Janfonve
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 77777.93
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Market
Storage
Fabricator
Mission Contracts


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  18 - z12
Water  271 - z1
Voltage Regulator  70 - z3,169
Tractor Beam  6 - z11,778
Torim Extractor (Doc)  11 - z8,843,412
Titan Salvage Drone  2 - z215,313
Titan Mining Drone  38 - z190,313
Titan Defense Drone  16 - z277,813
Thruster Casing  150 - z1,189
Thermal Controller  4 - z4,699
Steelium Pipes  96 - z11
Steelium Beam (Doc)  13 - z136
Small Web Field  4 - z6,090
Small Tractor Drone  9 - z15,019
Small Storage Tank  157 - z32
Small Repair Drone  1 - z5,888
Small LS Bomb  25 - z7,569
Small Defense Drone  29 - z4,688
Small Combat Drone  17 - z4,268
Servo Controls (Doc)  19 - z85,806
Servo Controls  150 - z2,318
Sensor Array  150 - z1,081
Salt Crystal  69 - z2
Rubber Tubing  178 - z33
Reinforced Rubber  179 - z19
Prototype Rocket Launcher (Doc)  78 - z3,000,313
Prototype Missile   11 - z416
Prototype Heavy Cannon (Doc)  4 - z5,033,565
Prototype ECM Power Boost Field (Doc)  14 - z13,265,770
Protein Bar  6 - z5,679
Premium Shield Generator (Doc)  4 - z3,035,880
Premium Salvage Collector (Doc)  14 - z1,774,489
Premium Railgun (Doc)  56 - z2,271,196
Plastic Caps  84 - z55
Oxygen  10 - z2
Ornament  17 - z5
Office Furniture  4 - z751
Nuts And Bolts  155 - z8
Noodles  9 - z12,388
Micro Leech Drone  25 - z15,019
Micro Computer  55 - z5,853
Metal Valve  9 - z34
Metal Gears  46 - z19
Metal Brackets  175 - z13
Medium Web Field  19 - z25,950
Medium Mining Drone  29 - z11,269
Mechanical Belts  88 - z50
Magnetic Quartz  87 - z3
Lubricant  119 - z19
Liquid Coolant  16 - z19
Light Shield Charge  4 - z5,469
Large Motor (Doc)  16 - z50,721
Kitchen Appliances  2 - z612
Interior Lighting  19 - z289
Improved Turn Thrust  2 - z22,050
Improved Shield Booster  7 - z46,563
Improved Scan Emitter  6 - z31,365
Improved Scan Booster  10 - z32,728
Improved Salvage Drone  27 - z28,406
Improved Rocket Launcher (Doc)  79 - z127,553
Improved Missile Launcher (Doc)  59 - z153,783
Improved Mass Reduction  6 - z36,398
Improved Filter  4 - z11,408
Improved Explosive Armor  9 - z45,063
Improved Energy Generator  5 - z38,710
Improved Energy Armor  12 - z54,563
Improved Drone Command Bay  18 - z94,500
Improved Combat Drone  3 - z45,506
Improved Afterburner  5 - z30,850
Hydrogen  113 - z3
Hull Chassis  31 - z3,441
