[s:30][c:yellow]Imperium Republica [/c][/s]
Civil Housing Facility
Fonmi Duemelze
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 55826.48
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Light Shield Recharger
Medium Shield Recharger
Heavy Shield Recharger
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (1) Items 
 (371) x Uranium Core
Buy items for [c:lime]252,575 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  34 - z930
Acidic Residue  575 - z23
Adamyte Ore  588 - z4
Advanced 60mm  150 - z99
Advanced Cargo Expansion (Doc)  26 - z1,298,925
Advanced ECM Power Boost Field  41 - z540,547
Advanced Energy Armor (Doc)  45 - z1,106,925
Advanced Energy Generator  37 - z71,953
Advanced Energy Generator (Doc)  21 - z1,078,476
Advanced Engine Core  25 - z93,495
Advanced Explosive Armor  39 - z95,244
Advanced Filter  26 - z13,773
Advanced Heavy Laser  4 - z73,803
Advanced Impact Armor (Doc)  26 - z998,925
Advanced Missile  167 - z279
Advanced Missile Launcher  3 - z102,101
Advanced Missile Launcher (Doc)  78 - z510,505
Advanced Railgun  49 - z118,586
Advanced Railgun (Doc)  230 - z438,579
Advanced Regulator  27 - z11,667
Advanced Rocket Launcher  44 - z97,964
Advanced Rocket Launcher (Doc)  8 - z438,370
Advanced Salvage Collector  11 - z187,353
Advanced Scan Emitter  26 - z45,536
Advanced Skill Manual  25 - z631,371
Advanced Spring Loader  42 - z997
Advanced Thruster (Doc)  16 - z1,131,417
Advanced Warp Drive Fuel  72 - z2,940
Aged Wine  29 - z185
AI Interface Drive  35 - z1,043
Aluminium Plates  497 - z193
Aluminium Shard  147 - z26
