[s:30][c:yellow]Oro Omniplex Center[/c][/s]
Recon Sentry
Hasrastast Belbar
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 59306.96
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Active Scanner
Basic Thruster
Improved Thruster
Advanced Thruster
Premium Thruster
Prototype Thruster
Basic Engine Core
Improved Engine Core
Advanced Engine Core
Premium Engine Core
Prototype Engine Core
Basic Afterburner
Improved Afterburner
Advanced Afterburner
Premium Afterburner
Prototype Afterburner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Inventory: (2) Items 
 (630) x Advanced Torpedo 
 (489) x Advanced 20mm
Buy items for [c:lime]181,425 discount.[/c]
[c:red]SELL Order[/c] Selling: (1) Items 
 (50) x Zai Ore
Buy items for [c:lime]16,861 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  233 - z6
Advanced 20mm  2500 - z17
Advanced 60mm  2500 - z29
Advanced ECM Power Boost Field (Doc)  11 - z9,207,044
Advanced Energy Armor  23 - z97,253
Advanced Energy Generator (Doc)  3 - z1,280,206
Advanced Filter  3 - z21,278
Advanced Impact Armor  8 - z62,253
Advanced Impact Armor (Doc)  28 - z1,455,041
Advanced Missile  10 - z327
Advanced Missile Launcher (Doc)  117 - z293,603
Advanced Plasma Cannon (Doc)  7 - z1,180,045
Advanced Railgun (Doc)  67 - z490,079
Advanced Regulator  2 - z14,364
Advanced Rocket Launcher (Doc)  65 - z365,524
Advanced Shield Generator  5 - z128,794
Advanced Thruster  2 - z119,966
Advanced Torpedo   34 - z339
Advanced Torpedo (Doc)  15 - z57,190
Aged Wine  20 - z85
Anti-Freeze  25 - z35
Artificial Gravity Generator (Doc)  8 - z67,685
Ball Bearings  80 - z72
Basic 20mm  45 - z17
Basic 60mm  2500 - z13
Basic Armor Exterior  25 - z19,576
Basic Charged Cell  28 - z89
Basic ECM Range Lock (Doc)  29 - z3,767,005
Basic Explosive Armor  14 - z24,813
Basic Filter  7 - z4,988
Basic Food Rations  22 - z67
Basic Laser Impact Mod (Doc)  7 - z240,760
Basic Light Turret  16 - z8,698
Basic Missile   46 - z76
