[s:30][c:yellow]Lacuna Bandits[/c][/s]
Entertainment Hub
Kilekom Anfer
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 59527.07
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Keypad
Basic Beam Impact Mod
Basic Beam Energy Mod
Basic Beam Explosive Mod
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Energy Capacitor
Improved Energy Capacitor
Advanced Energy Capacitor
Premium Energy Capacitor
Prototype Energy Capacitor
Basic Energy Generator
Improved Energy Generator
Advanced Energy Generator
Premium Energy Generator
Prototype Energy Generator

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (384) x Iron Coring Beams
 (622) x Keypad
 (420) x Dynex Crystal Resonator
Buy items for [c:lime]366,270 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  319 - z5
Advanced Armor Exterior  31 - z111,929
Advanced Cargo Expansion  13 - z68,274
Advanced Engine Core  6 - z110,241
Advanced Filter  19 - z17,423
Advanced Ion Beam  27 - z72,312
Advanced Light Turret  31 - z79,982
Advanced Missile  37 - z284
Advanced Missile Launcher (Doc)  46 - z463,484
Advanced Pulse Laser  3 - z94,560
Advanced Railgun (Doc)  121 - z659,969
Advanced Regulator  18 - z15,714
Advanced Rocket Launcher (Doc)  1 - z395,624
Advanced Shield Generator (Doc)  23 - z1,377,308
Aged Wine  10 - z153
Aluminium Plates  38 - z224
Anti-Freeze  21 - z53
Assorted Gaskets  288 - z9
Ball Bearings  160 - z55
Basic 20mm  171 - z29
Basic Afterburner  18 - z21,255
Basic Armor Exterior  1 - z37,882
Basic Beam Energy Mod  12 - z8,568
Basic Beam Explosive Mod  12 - z8,568
Basic Beam Impact Mod  27 - z21,318
Basic Cargo Expansion  33 - z23,318
Basic Charged Cell  130 - z102
Basic Engine Core (Doc)  27 - z299,043
Basic Filter  12 - z8,699
Basic Food Rations  20 - z48
Basic Heavy Laser  26 - z8,106
Basic Ion Beam  7 - z5,063
Basic Laser Impact Mod  27 - z26,068
Basic Missile Impact Mod (Doc)  11 - z264,821
Basic Missile Launcher  17 - z9,877
Basic Missile Launcher (Doc)  115 - z43,995
Basic Ore Harvester  6 - z15,998
Basic Scan Booster  12 - z12,592
Basic Torpedo   127 - z151
Basic Torpedo Launcher (Doc)  178 - z37,495
Basic Turn Thrust (Doc)  4 - z295,857
Basic Warp Drive Fuel  300 - z1,972
Battery Core  76 - z150
Bottled Whiskey  25 - z147
Calcium  375 - z6
Candy Cane  39 - z1
Candy Corn  39 - z1
Carbon  522 - z1
Carbon Filter  16 - z42,121
Cheeseburger  1 - z48,123
Childrens Toys  5 - z376
Chocolate Bars  8 - z1
Circuit Board  62 - z53
Cleaning Chemicals  33 - z115
Cloak Field Resistance (Doc)  28 - z8,501,174
Colored Dye  27 - z27
Containment Unit  7 - z7,996
Copperi Cables  129 - z192
Copperi Pipes  27 - z267
Copperi Plates  44 - z277
Disposables  2 - z5,899
Dynex Crystal Resonator  150 - z127
Eco Regulator  17 - z31,241
Electrical Regulator (Doc)  35 - z28,398
Electronic Switch  30 - z327
Elite Skill Manual  42 - z812,772
Energy Bomb  48 - z10,027
Entertainment Electronics  6 - z630
Fasteners  212 - z9
Gaming Devices  38 - z2,754
Generic Heavy Laser  38 - z2,668
Generic Missile Launcher  25 - z2,910
Generic Missile Launcher (Doc)  163 - z7,620
Generic Ore Harvester  14 - z3,851
Generic Railgun  13 - z2,143
Generic Rocket Launcher (Doc)  94 - z7,727
Generic Torpedo Launcher  29 - z2,503
Generic Torpedo Launcher (Doc)  22 - z15,033
Glass Panels  132 - z268
Gourmet Food Rations  16 - z177
Gradeon Ore  180 - z10
Gummy Bears  8 - z1
Ham Sandwich  7 - z24,712
Hand Tools  39 - z416
Hardened Glass Panels  30 - z479
Heavy Combat Drone (Doc)  6 - z731,352
Heavy Defense Drone  47 - z155,552
Heavy Defense Drone (Doc)  20 - z584,152
Heavy Mining Drone  44 - z148,952
Heavy Repair Drone  11 - z160,502
Heavy Salvage Drone  57 - z214,952
Heavy Shield Charge  59 - z43,642
Hydrogen  89 - z2
Improved Cargo Expansion  4 - z39,137
Improved Combat Drone  39 - z57,723
Improved Defense Drone  4 - z55,023
Improved Drone Command Bay (Doc)  16 - z1,068,228
Improved Explosive Armor  1 - z46,137
Improved Filter  6 - z7,629
Improved Impact Armor  36 - z34,637
Improved Missile Launcher  36 - z27,293
Improved Ore Harvester  14 - z36,884
Improved Plasma Cannon  22 - z23,251
Improved Pulse Laser  28 - z25,547
Improved Railgun (Doc)  10 - z172,392
Improved Rocket Launcher (Doc)  37 - z94,660
Improved Salvage Drone  40 - z31,173
Improved Scan Booster  3 - z38,484
Improved Shield Booster  11 - z38,137
Improved Shield Generator  38 - z55,768
Improved Thruster  37 - z37,495
Improved Torpedo Launcher  10 - z18,896
Interior Lighting  17 - z264
Iron Coring  337 - z8
Iron Coring Beams  150 - z205
Junk Part  141 - z28
Keypad  150 - z120
Kitchen Appliances  34 - z892
Large Processor  100 - z190
Large Repair Drone  37 - z81,274
Large Salvage Drone  6 - z75,274
LED Lights  72 - z138
Lidar System (Doc)  16 - z43,274
Light Armor Repair  72 - z10,422
Light Shield Bomb  61 - z7,045
Light Shield Recharger  14 - z31,318
Liquid Coolant  84 - z29
Liquid Coolant (Doc)  34 - z168
Lokken Ore  134 - z36
Lubricant  234 - z22
Magnetic Quartz  430 - z5
Mechanical Belts  262 - z54
Mechanical Switch  123 - z129
Media Recordings  14 - z1,623
Medium Combat Drone (Doc)  30 - z80,219
Medium Energy Charge  10 - z17,329
Medium Salvage Drone  63 - z15,941
Medium Shield Bomb  74 - z28,424
Medium Shield Charge  70 - z22,317
Medium Web Field  45 - z18,786
Memory Chip  266 - z214
Metal Fragment  135 - z86
Metal Gears (Doc)  27 - z229
Metal Valve (Doc)  24 - z390
Micro Computer (Doc)  36 - z89,354
