[s:30][c:yellow]Transporteers[/c][/s]
Auction Facility
Ribres Borxaxon
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 54246.98
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Active Scanner
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Tractor Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (2) Items 
 (541) x Small Pump
 (613) x Micro Processor
Buy items for [c:lime]131,687 discount.[/c]
[c:red]SELL Order[/c] Market Supply: (1) Items 
 (82) x Pressure Sensor
Buy items for [c:lime]9,763 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (3) Items 
 (366) x Small Heatsink
 (270) x Pressure Sensor
 (105) x Motion Sensor
Buy items for [c:lime]141,809 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  200 - z611
Acidic Residue  506 - z17
Active Scanner  12 - z7,880
Active Scanner (Doc)  2 - z151,415
Adamyte Ore  240 - z9
Advanced Armor Exterior  7 - z106,325
Advanced Cargo Expansion  38 - z86,604
Advanced ECM Energy Coil  7 - z477,085
Advanced ECM Range Lock (Doc)  75 - z7,852,086
Advanced Filter  31 - z21,996
Advanced Heavy Laser  31 - z95,838
Advanced Ion Beam  14 - z131,304
Advanced Missile  394 - z320
Advanced Railgun  41 - z106,608
Advanced Railgun (Doc)  6 - z574,201
Advanced Regulator  28 - z13,671
Advanced Rocket Launcher (Doc)  92 - z512,801
Advanced Salvage Collector  60 - z174,250
Advanced Shield Booster  77 - z107,604
Advanced Spring Loader (Doc)  52 - z8,826
Advanced Warp Drive Fuel  582 - z3,965
Advanced Waste Unit  23 - z413,796
Aged Wine  69 - z131
Aluminium Rivets  24 - z48
Aluminium Shard  772 - z29
Anti-Freeze  14 - z42
Armor Plating  130 - z1,668
Assembly Tools  3 - z3,524
Assorted Gaskets  788 - z19
Assorted Springs  386 - z45
Basic Afterburner  23 - z18,921
Basic ECM Range Lock  40 - z175,489
Basic Energy Generator  56 - z31,249
Basic Filter  24 - z8,862
Basic Food Rations  21 - z45
Basic Ion Beam  23 - z9,543
Basic Laser Impact Mod  22 - z25,151
Basic Missile   79 - z93
Basic Missile Impact Mod  17 - z24,401
Basic Missile Launcher (Doc)  310 - z41,427
Basic Plasma Cannon  58 - z4,512
Basic Pulse Laser  38 - z6,482
Basic Rocket Launcher  1 - z5,502
Basic Rocket Launcher (Doc)  341 - z27,861
Basic Salvage Collector  5 - z17,165
Basic Scan Booster  64 - z22,155
Basic Targeting System  12 - z14,043
Basic Torpedo Launcher (Doc)  345 - z54,434
Beam Defense System (Doc)  55 - z889,660
Belasite Ore  116 - z155
Bio Carbon  655 - z20
Bio Converter  17 - z37,818
Bomber Drone (Doc)  9 - z267,532
Bottled Whiskey  44 - z112
Calciate Residue  519 - z69
Calcium  476 - z3
Calibration Tools  41 - z3,347
Candy Cane  28 - z1
Carbon  291 - z2
Carbon Fiber  315 - z24
Carbon Filter  36 - z37,367
Cat Food  8 - z248,518
Ceramic  514 - z9
Cheese and Crackers  9 - z101,799
Cheeseburger  4 - z45,246
Chocolate Bars  60 - z1
Cloak Energy Core (Doc)  18 - z4,427,241
Colored Dye  50 - z15
Communication Device  14 - z3,850
Compartment Frame  30 - z926
Connection Harness  523 - z1,664
Containment Unit  10 - z11,466
Cooling Unit  216 - z1,867
Copperi Cables  48 - z97
Copperi Cubex  1108 - z16
Copperi Plates  133 - z268
Disposables  27 - z7,322
Dynex Crystal  475 - z25
Dynex Crystal Resonator  432 - z314
Dynex Ore  286 - z135
ECM Sensors Jammer  52 - z169,882
Eco Regulator  31 - z36,617
Electron Orb  163 - z118
Electronic Fragment  614 - z182
Elite Skill Manual  150 - z1,170,488
Engine Component  713 - z919
Fasteners  440 - z15
Foodservice Equipment  63 - z6,506
Foodservice Products  41 - z4,092
Fuel Injector  157 - z3,275
Gaming Devices  23 - z2,237
Generic Missile Launcher (Doc)  109 - z13,376
Generic Railgun (Doc)  276 - z11,352
Generic Rocket Launcher (Doc)  29 - z12,560
Generic Salvage Collector  57 - z2,944
Generic Torpedo Launcher (Doc)  198 - z14,712
Glass Panels  317 - z545
Gourmet Food Rations  50 - z358
Gradeon Ore  171 - z15
Ham Sandwich  35 - z14,064
Heavy Energy Charge  145 - z61,886
Heavy Repair Drone (Doc)  1 - z451,864
Heavy Salvage Drone  71 - z121,446
Heavy Shield Bomb  16 - z66,909
Hydrogen  475 - z4
Hydrox Filter  14 - z406,759
Hyperion Regulator  23 - z246,507
Improved Cargo Expansion  50 - z59,302
Improved Combat Drone  133 - z38,522
Improved Defense Drone  96 - z46,172
Improved Energy Capacitor  20 - z39,314
Improved Engine Core  79 - z43,386
Improved Explosive Armor  28 - z36,302
Improved Filter  9 - z11,099
Improved Heavy Laser  34 - z34,120
Improved Mass Reduction  15 - z39,378
Improved Mining Drone  59 - z28,622
Improved Missile Launcher (Doc)  419 - z123,436
Improved Ore Harvester  27 - z48,316
Improved Railgun  14 - z36,928
Improved Repair Drone  71 - z34,022
Improved Rocket Launcher (Doc)  364 - z155,090
Improved Shield Booster  43 - z40,302
Improved Thruster  53 - z28,394
Improved Torpedo Launcher  3 - z37,222
Improved Torpedo Launcher (Doc)  28 - z112,608
Interior Lighting  57 - z295
Iron Coring  1163 - z6
Iron Coring Beams  676 - z654
Junk Part  258 - z19
Keypad (Doc)  15 - z1,660
Kitchen Appliances  78 - z812
Large Combat Drone  22 - z71,604
Large Defense Drone  117 - z84,604
Large Microchip  12 - z640
Large Mining Drone  5 - z103,604
Large Motor (Doc)  26 - z37,023
Large Processor  170 - z159
Large Pump  175 - z738
Large Repair Drone  5 - z118,604
Large Web Field  130 - z91,155
LED Lights  135 - z71
Light Armor Bomb  6 - z11,034
Light Shield Charge  141 - z6,132
Lubricant  227 - z12
Magnetic Quartz  391 - z3
Mechanical Tools  44 - z7,473
Media Recordings  23 - z818
Medical Instruments  43 - z5,178
Medium Armor Bomb  147 - z23,113
Medium Armor Repair  72 - z22,705
Medium Combat Drone  98 - z18,541
Medium Energy Charge  158 - z22,969
Medium Repair Drone  83 - z15,241
Medium Salvage Drone  102 - z13,891
Medium Shield Bomb  5 - z22,303
Memory Chip  41 - z175
Micro Leech Drone  80 - z15,391
Micro Processor  37 - z109
Misc Hardware  614 - z503
Module Fragment  118 - z196
Motion Sensor  43 - z130
Musical Instruments  36 - z3,083
Neutron Pods  966 - z30
Nitrogen  814 - z5
Noodles  6 - z15,509
Nuts And Bolts  29 - z6
Office Furniture  68 - z791
Oil  996 - z11
OmniCon Regulator  35 - z84,431
Optical Interface  657 - z140
Ornament  55 - z3
Oxygen  224 - z3
Personal Clothing  16 - z2,106
Pizza  15 - z392,685
Plasite Ore  739 - z48
Plastix Strands  235 - z4
Polymere  76 - z65
Predator Torpedo Guardian (Doc)  48 - z5,850,235
Premium Armor Exterior  60 - z179,049
