[s:30][c:yellow]Gemini Mining[/c][/s]
Mining Facility
Biraemi Xoqi
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 78275.04
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Disposables
Containment Unit
Waste Processor
Waste Burner
Bio Converter
Bio Disposables
Containment Processor
Advanced Waste Unit
Biowaste Processor
Fusion Biomax
Generic Ore Harvester
Basic Ore Harvester
Advanced Ore Harvester
Gradeon Extractor
Improved Ore Harvester
Premium Ore Harvester
Dynex Extractor
Prototype Ore Harvester
Torim Extractor
Belasite Extractor
Zai Extractor
Quazor Extractor
Xenox Extractor
Lokken Extractor
Adamyte Extractor
Plasite Extractor
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Fabricator
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (219) x Torim Ore
 (732) x Lokken Ore
Fulfill order for [c:lime]10,458 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Extractor  12 - z1,502,243
Xenox Extractor  22 - z3,294,664
Wrapped Box  10 - z14
Water  276 - z2
Waste Processor  31 - z16,971
Waste Burner  7 - z12,816
Torim Extractor  12 - z746,880
Titan Mining Drone  16 - z175,406
Titan Combat Drone  35 - z187,906
Thermal Insulation  114 - z37
Thermal Controller  1 - z6,451
Steelium Pipes  51 - z22
Steelium Beam  102 - z9
Spotlight  3 - z9,152
Small Tractor Drone  3 - z15,774
Small Mining Drone  24 - z5,830
Small Life Support Pack  6 - z3,508
Small Defense Drone  21 - z4,210
Small Combat Drone  11 - z5,530
Sensor Array (Doc)  7 - z26,588
Scrap Part  162 - z38
Salt Crystal  27 - z3
Rubber Tubing  108 - z42
Radar System (Doc)  18 - z50,126
Quazor Extractor  35 - z1,457,436
Prototype Torpedo   60 - z675
Prototype Rocket Launcher (Doc)  78 - z6,311,161
Prototype Ore Harvester  12 - z717,711
Prototype Missile Launcher (Doc)  62 - z7,288,920
Prototype 60mm  35 - z171
Protein Bar  7 - z8,341
Premium Turn Thrust (Doc)  10 - z1,846,320
Premium Ore Harvester  12 - z205,060
Plasite Ore  7 - z122
Plasite Extractor  12 - z1,965,159
Oxygen  190 - z3
Ornament  5 - z5
Office Furniture  17 - z934
Noodles  3 - z12,147
Misc Hardware (Doc)  15 - z7,717
Metal Valve  41 - z24
Metal Brackets  128 - z17
Medium Shield Charge  39 - z26,284
Medium Combat Drone  37 - z13,674
Medium Armor Repair  39 - z18,279
Magnetic Quartz  75 - z3
Lokken Extractor  12 - z649,461
Liquid Coolant  12 - z28
Light Shield Recharger  13 - z31,541
Light Energy Charge  15 - z5,170
Large Salvage Drone  39 - z90,163
Kitchen Appliances  1 - z975
Junk Part  54 - z22
Interior Lighting  4 - z208
Improved Turn Thrust  19 - z39,265
Improved Thruster  7 - z36,188
Improved Targeting System  12 - z34,735
Improved Shield Generator  11 - z71,368
Improved Shield Booster  19 - z40,581
Improved Scan Booster (Doc)  17 - z415,701
Improved Rocket Launcher (Doc)  19 - z123,924
