[s:30][c:yellow]Fellacore Research Center[/c][/s]
Mass Research Lab
Jacelor King
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 28641.79
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Warp Drive Fuel
Advanced Warp Drive Fuel
Prototype Warp Drive Fuel
Basic Thruster
Improved Thruster
Advanced Thruster
Premium Thruster
Prototype Thruster
Basic Engine Core
Improved Engine Core
Advanced Engine Core
Premium Engine Core
Prototype Engine Core
Basic Afterburner
Improved Afterburner
Advanced Afterburner
Premium Afterburner
Prototype Afterburner
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
ECM Magweb
ECM Target Scrambler
ECM Sensors Jammer
ECM Module Disruptor

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  77 - z5
Advanced 20mm  25 - z42
Advanced Afterburner  30 - z66,687
Advanced Afterburner (Doc)  9 - z617,838
Advanced Engine Core  44 - z81,275
Advanced Missile  39 - z307
Advanced Rocket Launcher (Doc)  9 - z563,198
Advanced Thruster  36 - z71,701
Advanced Warp Drive Fuel  25 - z4,433
Afterburner Assembly (Doc)  7 - z49,816
Anti-Freeze  5 - z48
Assorted Gaskets  38 - z10
Ball Bearings (Doc)  6 - z603
Basic 60mm  13 - z35
Basic Afterburner  9 - z19,872
Basic Charged Cell  5 - z150
Basic Charged Cell (Doc)  4 - z18,054
Basic Drone Command Bay  7 - z53,343
Basic Energy Armor  9 - z16,340
Basic Energy Capacitor  1 - z22,453
Basic Engine Core  12 - z7,559
Basic Explosive Armor  9 - z17,340
Basic Filter  1 - z8,005
Basic Impact Armor  6 - z17,590
Basic Mass Reduction  3 - z21,932
Basic Scan Emitter  2 - z18,424
Basic Shield Booster  4 - z30,090
Basic Shield Generator  2 - z20,347
Basic Targeting System  6 - z22,161
Basic Thruster  34 - z18,345
Basic Torpedo   17 - z199
Basic Warp Drive Fuel  150 - z550
Bomber Drone  4 - z18,354
Candy Cane  1 - z1
Candy Corn  1 - z1
Carbon  144 - z2
Carbon Fiber  77 - z34
Chocolate Bars  6 - z1
Cleaning Chemicals  6 - z89
Cloak Energy Core (Doc)  5 - z7,719,149
Colored Dye  7 - z26
Disposables  1 - z4,435
Dynex Crystal Resonator (Doc)  8 - z4,794
ECM Sensors Jammer (Doc)  9 - z1,128,357
Energy Bomb  18 - z12,236
Fasteners  41 - z7
Generic Construction Platform  16 - z8,426,859
Generic Heavy Cannon  8 - z2,582
Generic Heavy Laser  5 - z2,868
Generic Ion Beam  2 - z1,713
Generic Light Turret  2 - z1,247
Generic Light Turret (Doc)  1 - z11,036
Generic Missile Launcher  4 - z1,636
Generic Ore Harvester  6 - z3,614
Generic Plasma Cannon  8 - z1,482
Generic Pulse Laser  8 - z1,207
Generic Railgun  2 - z2,721
Generic Rocket Launcher  9 - z1,227
Generic Salvage Collector  5 - z3,694
Generic Torpedo Launcher  7 - z1,689
Generic Torpedo Launcher (Doc)  18 - z14,203
Gummy Bears  3 - z1
Heavy Energy Charge  17 - z39,073
Heavy Shield Charge  2 - z58,816
Improved Afterburner  26 - z35,743
Improved Defense Drone  3 - z58,211
Improved Engine Core  27 - z37,118
Improved Impact Armor (Doc)  8 - z782,149
Improved Missile Launcher (Doc)  46 - z132,538
Improved Plasma Cannon (Doc)  3 - z331,026
Improved Targeting System (Doc)  7 - z507,381
Improved Thruster  27 - z35,850
Ionization Plate (Doc)  2 - z27,251
Junk Part  96 - z24
Large Salvage Drone  19 - z96,358
Light Armor Bomb  5 - z8,582
Light Shield Recharger  1 - z30,340
Liquid Coolant  44 - z23
Lubricant  53 - z13
Medium Armor Bomb  1 - z34,387
Medium Defense Drone  19 - z12,804
Metal Brackets  93 - z20
Nuts And Bolts  2 - z12
Ornament  4 - z5
Oxygen  52 - z2
Premium Afterburner  34 - z136,573
Premium Engine Core  28 - z137,910
Premium Railgun (Doc)  48 - z1,483,064
Premium Thruster  35 - z148,442
Protein Bar  3 - z8,635
Prototype Afterburner  12 - z109,946
Prototype Drone Command Bay (Doc)  2 - z7,093,104
Prototype Engine Core  12 - z120,941
Prototype Missile Launcher (Doc)  39 - z6,606,933
Prototype Thruster  35 - z296,883
Prototype Warp Drive Fuel  33 - z12,436
Reinforced Rubber  10 - z19
Small Salvage Drone  18 - z3,921
Small Web Field  19 - z8,669
Steelium Beam  96 - z9
Steelium Beam (Doc)  9 - z131
Steelium Pipes  91 - z23
Thermal Controller  1 - z5,765
Water  120 - z2
Wrapped Box  3 - z15


<Station University Skills>
Storage Manager
Fleet Defensive Flight
Projectile Damage Calibration
Launcher Energy Optimization
Miner Maintenance
Salvager Maintenance


<Station Missions>


<Station Ships>
RU-1 Curator / Escort    (Recon)
TU-3 Jacelor / Escort    (Transport)
EE-1 Mining Shuttle / Shuttle    (Excavation)
BE-1 Gabriel / Escort    (Battle)
