[s:30][c:yellow]Medicore University[/c][/s]
Academic University
Horebac Lockigalewhi
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 55467.3
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (4) Items 
 (489) x Candy Cane
 (742) x Ornament
 (623) x Candy Cane
 (517) x Candy Cane
Fulfill order for [c:lime]2,111 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (551) x Wrapped Box
 (264) x Candy Cane
Fulfill order for [c:lime]4,867 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (698) x Wrapped Box
 (282) x Wrapped Box
 (514) x Ornament
Fulfill order for [c:lime]6,013 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (322) x Wrapped Box
 (341) x Ornament
Fulfill order for [c:lime]2,379 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (416) x Ornament
 (361) x Ornament
 (379) x Candy Cane
Fulfill order for [c:lime]1,952 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (4) Items 
 (170) x Wrapped Box
 (197) x Wrapped Box
 (196) x Ornament
 (135) x Wrapped Box
Fulfill order for [c:lime]2,042 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Ore  491 - z443
Xenox Extractor (Doc)  34 - z12,869,310
Weapons Component  14 - z619
Water  904 - z1
Waste Processor  37 - z23,183
Waste Burner  25 - z21,061
UV Filter  6 - z50,644
Uranium Core  333 - z792
Undamaged Part  435 - z70
Transport Units  2 - z6,578
Tractor Beam (Doc)  79 - z72,198
Torim Ore  288 - z61
Titanyte  746 - z79
Titan Repair Drone  132 - z307,850
Titan Defense Drone  51 - z305,350
Titan Combat Drone  119 - z245,350
Thermex Controller  41 - z211,606
Thermal Sensor (Doc)  75 - z792
Thermal Sensor  546 - z61
Thermal Insulation (Doc)  86 - z215
Thermal Insulation  229 - z27
Thermal Generex  16 - z80,585
Thermal Controller  2 - z8,970
Textile Fabrics  5 - z1,333
Temperature Genie  12 - z22,111
Synth Filter  28 - z143,776
Steelium  946 - z48
Sporting Equipment  68 - z1,954
Spaghetti  40 - z628,924
SolarClean Filter  35 - z124,939
Small Tractor Drone  98 - z17,421
Small Salvage Drone  57 - z3,908
Small Repair Drone (Doc)  34 - z42,456
Small Repair Drone  165 - z7,028
Small Pump  675 - z144
Small Motor  525 - z345
Small Mining Drone  27 - z6,848
Small Life Support Pack  104 - z5,007
Small Heatsink  701 - z227
Small Electronics  404 - z550
Small Defense Drone  28 - z5,708
Silveryte  886 - z101
Silicon  238 - z4
Servo Controls (Doc)  29 - z72,634
Scrap Part  241 - z46
Salt Crystal  79 - z3
Rubber Tubing  264 - z46
Recon Scanner Drone  178 - z15,471
Quazor Ore  525 - z11
Prototype Torpedo   383 - z742
Prototype Rocket Launcher (Doc)  152 - z5,522,151
Prototype Railgun (Doc)  189 - z7,130,790
Prototype Plasma Cannon  63 - z822,009
Prototype Impact Armor  7 - z260,560
Prototype Heavy Laser  40 - z1,133,989
Prototype Heavy Cannon (Doc)  313 - z5,207,754
Prototype Heavy Cannon  9 - z891,338
Prototype Explosive Armor  31 - z480,560
Prototype Engine Core  7 - z229,293
Prototype Drone Command Bay  74 - z724,096
Prototype Armor Exterior  69 - z389,472
Prototype Afterburner  74 - z211,648
Prototype 60mm  166 - z129
Prototype 20mm  344 - z81
Protein Bar  16 - z4,070
Premium Turn Thrust  1 - z142,624
Premium Scan Emitter (Doc)  52 - z1,937,779
Premium Rocket Launcher (Doc)  421 - z962,501
Premium Missile Launcher (Doc)  375 - z1,240,327
Premium Missile Launcher  41 - z228,257
Premium Mass Reduction  63 - z162,178
Premium Light Turret  10 - z174,493
Premium Ion Beam  62 - z216,594
Premium Impact Armor (Doc)  49 - z1,491,360
Premium Heavy Laser  13 - z307,491
Premium Energy Capacitor (Doc)  63 - z2,499,495
Premium Armor Exterior  46 - z285,936
Plastix Strands  220 - z4
Plasite Ore  759 - z48
Pizza  2 - z366,423
Personal Clothing  8 - z1,160
Oxygen  231 - z1
Ornament  19 - z7
OmniCon Regulator  26 - z75,592
Oil  868 - z6
Office Supplies  11 - z2,756
Office Furniture  57 - z623
Nuts And Bolts  133 - z9
Noodles  35 - z13,737
Nitrogen  694 - z9
Neutron Pods  999 - z41
Musical Instruments  74 - z1,537
Motion Sensor  807 - z110
Module Fragment  108 - z260
Misc Hardware  550 - z933
Micro Leech Drone  1 - z16,371
Metal Gears  556 - z26
Metal Fragment  204 - z98
Metal Brackets  192 - z16
Memory Chip  228 - z250
Medium Web Field  51 - z17,794
Medium Shield Charge  75 - z26,489
Medium Shield Bomb  14 - z28,928
Medium Salvage Drone (Doc)  17 - z89,712
Medium Salvage Drone  94 - z16,071
Medium Repair Drone  25 - z8,571
Medium Energy Charge  4 - z23,245
Medium Combat Drone  139 - z15,321
Medium Armor Bomb  101 - z27,848
Medical Instruments  41 - z6,304
Media Recordings  5 - z1,550
Mechanical Tools  60 - z4,770
Mechanical Switch  409 - z93
Magnetic Regulator (Doc)  44 - z49,019
Magnetic Regulator  259 - z3,023
Lubricant (Doc)  18 - z112
Lokken Ore  678 - z17
Liquid Coolant (Doc)  89 - z125
Light Shield Recharger  9 - z24,285
Light Shield Bomb  105 - z6,043
Light Energy Charge  58 - z7,028
Light Armor Bomb  66 - z6,673
Lidar System (Doc)  53 - z56,699
Lidar System  555 - z5,220
LED Lights (Doc)  1 - z1,257
LED Lights  456 - z89
Large Salvage Drone  119 - z119,140
Large Repair Drone  120 - z125,140
Large Pump  137 - z788
Large Mining Drone  75 - z107,140
Large Life Support Pack  57 - z31,563
Large Combat Drone (Doc)  87 - z259,648
Kitchen Appliances  30 - z642
Keypad  43 - z248
