[s:30][c:yellow]Star Shepards Hub[/c][/s]
Engineering Facility
Bemdee Tudoe
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 26984.29
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Bomb
Heavy Shield Bomb
Medium Armor Bomb
Heavy Armor Bomb
Light Shield Bomb
Light Armor Bomb
Energy Bomb
Small LS Bomb
Small Web Field
Medium Web Field
Large Web Field
Basic Laser Impact Mod
Basic Laser Energy Mod
Basic Laser Explosive Mod
[c:orange]DEMAND[/c]
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Cleaning Chemicals
Colored Dye
Anti-Freeze
Acidic Residue

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Storage
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (366) x Bio Carbon
 (329) x Ceramic
Fulfill order for [c:lime]17,762 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (93) x Neutron Pods
 (191) x Carbon
Fulfill order for [c:lime]5,250 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  44 - z7
Advanced 20mm  41 - z60
Advanced Missile  30 - z324
Advanced Missile Launcher (Doc)  19 - z560,874
Advanced Railgun (Doc)  21 - z560,413
Advanced Shield Generator (Doc)  6 - z1,191,332
Afterburner Assembly (Doc)  3 - z43,454
Anti-Freeze  2 - z66
Assorted Gaskets  97 - z17
Basic Afterburner  1 - z18,985
Basic Armor Exterior  8 - z28,177
Basic Cargo Expansion  9 - z26,981
Basic Charged Cell (Doc)  6 - z13,489
Basic Drone Command Bay  5 - z49,570
Basic Energy Capacitor  4 - z23,640
Basic Energy Generator  8 - z22,379
Basic Engine Core  6 - z23,303
Basic Explosive Armor  8 - z33,481
Basic Filter  2 - z5,245
Basic Laser Energy Mod  42 - z20,668
Basic Laser Explosive Mod  42 - z20,492
Basic Laser Impact Mod  37 - z21,174
Basic Mass Reduction  5 - z15,852
Basic Missile   34 - z71
Basic Missile Launcher (Doc)  3 - z30,386
Basic Rocket Launcher (Doc)  37 - z45,123
Basic Scan Booster  9 - z16,706
Basic Scan Emitter  8 - z20,146
Basic Shield Booster  1 - z16,731
Basic Shield Generator  6 - z35,889
Basic Targeting System  5 - z17,327
Basic Thruster  2 - z18,254
Basic Torpedo   27 - z131
Basic Torpedo (Doc)  5 - z12,289
Basic Turn Thrust  4 - z22,785
Basic Turn Thrust (Doc)  5 - z175,017
Bomber Drone  1 - z12,739
Candy Cane  5 - z2
Candy Corn  8 - z1
Carbon  111 - z3
Carbon Fiber  57 - z34
Chocolate Bars  4 - z1
Disposables  3 - z8,255
Energy Bomb  29 - z8,177
Fasteners  40 - z10
Generic Heavy Cannon  3 - z2,418
Generic Heavy Laser  1 - z2,616
Generic Ion Beam  6 - z2,494
Generic Light Turret  5 - z2,618
Generic Missile Launcher  1 - z2,330
Generic Ore Harvester (Doc)  4 - z12,585
Generic Plasma Cannon  8 - z1,758
Generic Pulse Laser  2 - z1,778
Generic Railgun  9 - z1,870
Generic Rocket Launcher  9 - z2,138
Generic Salvage Collector  9 - z4,477
Generic Torpedo Launcher  5 - z2,254
Gummy Bears  9 - z1
Heavy Armor Bomb  44 - z65,604
Heavy Combat Drone  15 - z183,024
Heavy Energy Charge  4 - z62,059
Heavy Salvage Drone  14 - z179,724
Heavy Shield Bomb  37 - z70,268
Heavy Shield Charge  13 - z54,762
Hydraulic Assembly (Doc)  6 - z28,680
Improved Explosive Armor (Doc)  6 - z581,543
Improved Rocket Launcher (Doc)  8 - z121,182
Improved Targeting System (Doc)  5 - z452,569
Junk Part  45 - z26
Large Defense Drone  8 - z85,924
Large Mining Drone  8 - z134,924
Large Salvage Drone  13 - z82,924
Large Web Field  1 - z59,705
Light Armor Bomb  40 - z7,729
Light Shield Bomb  41 - z7,590
Light Shield Recharger  2 - z19,231
Liquid Coolant  83 - z25
Lubricant  99 - z11
Medium Armor Bomb  33 - z21,511
Medium Shield Bomb  29 - z23,394
Medium Web Field  27 - z19,123
Metal Brackets  75 - z22
Nuts And Bolts  20 - z14
Ornament  6 - z5
Oxygen  66 - z3
Premium Missile Launcher (Doc)  3 - z1,005,661
Premium Salvage Collector (Doc)  7 - z3,239,062
Protein Bar  4 - z4,685
Prototype 20mm  45 - z150
Prototype 60mm  10 - z237
Prototype Heavy Cannon (Doc)  38 - z7,390,674
Prototype Missile   36 - z381
Prototype Missile Launcher (Doc)  18 - z4,906,390
Prototype Railgun (Doc)  43 - z5,352,426
Prototype Torpedo   17 - z977
Reinforced Rubber  33 - z17
Small Life Support Pack  18 - z5,396
Small LS Bomb  38 - z5,487
Small Web Field  42 - z6,336
Steelium Beam  99 - z14
Steelium Beam (Doc)  8 - z154
Steelium Pipes  52 - z15
Thermal Controller  2 - z6,645
Titan Defense Drone  15 - z347,309
Water  22 - z2
Wrapped Box  9 - z15


<Station University Skills>
Passive Scanner Systems
Projectile Maintenance
Passive Scanner Focal Range
Projectile Maintenance
Ship Cargo Stacker
University Discount
Module Mechanic
Miner Cycle Mechanics


<Station Missions>
[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>7</color> <color='yellow'>Micro Processors</color> at the Medicore University fabricator in <color='cyan'>Cliffs of Drameria</color>

[c:lime]TRANSPORT[/c]
Transport <color='yellow'>16</color> units of <color='yellow'>Basic Engine Cores</color> from Imperium Republica  in <color='cyan'>Gate of Alpharis</color> to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color> and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color> with minimum of <color='yellow'>116</color>

[c:lime]SCAN[/c]
Recon <color='yellow'><i>Sir Dieas Feiqo</i></color> in <color='cyan'>Bitcola</color> and return to Biomate University in <color='cyan'>Void Starcross</color>



<Station Ships>
