[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 56897.28
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (456) x Wrapped Box
 (363) x Candy Cane
 (907) x Wrapped Box
Fulfill order for [c:lime]420 profit.[/c]
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (325) x Candy Cane
 (163) x Ornament
Fulfill order for [c:lime]2,043 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (137) x Wrapped Box
Fulfill order for [c:lime]2,085 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (858) x Ornament
 (154) x Ornament
Fulfill order for [c:lime]7,102 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (113) x Ornament
Fulfill order for [c:lime]103 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (4) Items 
 (222) x Wrapped Box
 (347) x Wrapped Box
 (202) x Ornament
 (314) x Wrapped Box
Fulfill order for [c:lime]3,686 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (2) Items 
 (78) x Wrapped Box
 (114) x Wrapped Box
Fulfill order for [c:lime]3,058 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Ore  3615 - z329
Xenox Ore  4471 - z268
Weapons Component  5549 - z313
Water  615 - z1
Waste Processor  16 - z21,827
Waste Burner  7 - z19,439
Uranium  473 - z177
Undamaged Part  4276 - z48
Transport Units  896 - z8,818
Torim Ore  5900 - z62
Torim Extractor  19 - z1,460,748
Titanyte Plates  529 - z954
Titanyte  1500 - z65
Titan Salvage Drone  140 - z324,538
Titan Mining Drone (Doc)  37 - z1,213,632
Titan Mining Drone  19 - z269,538
Titan Defense Drone  62 - z249,538
Thermex Controller  21 - z330,094
Thermal Insulation  827 - z46
Thermal Generex  48 - z74,467
Thermal Controller  47 - z5,727
Textile Fabrics  1071 - z943
Temperature Genie  41 - z19,255
Synth Filter  33 - z64,127
Surf-n-Turf  30 - z579,888
Steelium Plates  540 - z731
Steelium Beam  567 - z11
Steelium  446 - z53
Spotlight (Doc)  9 - z49,253
Spotlight  86 - z6,281
Sporting Equipment  855 - z1,501
Spaghetti  4 - z713,127
Small Web Field  172 - z6,225
Small Salvage Drone  58 - z4,789
Small Repair Drone  93 - z4,729
Small Motor  779 - z217
Small Mining Drone  125 - z4,789
Small Microchip  969 - z478
Small LS Bomb  52 - z6,637
Small Life Support Pack  106 - z5,741
Small Defense Drone  96 - z6,169
Silveryte  581 - z99
Silicon  1215 - z7
Servo Controls  168 - z8,473
Sensor Array  850 - z2,569
Scrap Part  3961 - z38
Salt Crystal  260 - z2
Rubber Tubing  187 - z25
Reinforced Rubber  312 - z15
Regulator (Doc)  68 - z1,575
Quazor Ore  3702 - z24
Prototype Warp Drive Fuel  478 - z17,541
Prototype Turn Thrust  105 - z325,808
Prototype Torpedo Launcher  68 - z766,588
Prototype Torpedo   2325 - z1,023
Prototype Scan Booster (Doc)  58 - z2,619,811
Prototype Rocket Launcher (Doc)  488 - z3,089,075
Prototype Railgun (Doc)  251 - z6,858,201
Prototype Ore Harvester  93 - z1,655,805
Prototype Missile Launcher (Doc)  177 - z6,979,973
Prototype Missile   2497 - z398
Prototype Heavy Cannon (Doc)  166 - z3,340,207
Prototype Energy Generator  61 - z509,891
Prototype Energy Armor  48 - z451,260
Prototype ECM Resistance Field  102 - z1,006,485
Prototype ECM Energy Coil  52 - z816,818
Prototype Drone Command Bay  72 - z702,816
Prototype 60mm (Doc)  67 - z277,038
Prototype 20mm  164 - z127
Protein Bar  4 - z4,957
Prometheum  1396 - z75
Pressure Sensor (Doc)  81 - z1,202
Premium Torpedo Launcher  26 - z406,303
Premium Thruster  22 - z182,809
Premium Shield Booster  16 - z125,630
Premium Scan Booster  52 - z154,759
Premium Rocket Launcher  11 - z239,545
Premium Railgun (Doc)  84 - z1,077,119
Premium Missile Launcher (Doc)  85 - z987,359
Premium Heavy Laser  39 - z402,158
Premium Heavy Cannon  97 - z402,158
Premium Cargo Expansion  26 - z189,630
Premium Afterburner (Doc)  75 - z2,358,048
Premium Afterburner  19 - z129,304
Polymere  946 - z51
Plastix Strands  1143 - z4
Plastic Caps  575 - z65
Plasite Ore  604 - z58
Pizza  33 - z358,242
Personal Clothing  62 - z820
Oxygen  472 - z3
Optical Interface  417 - z114
OmniCon Regulator  21 - z58,965
Oil  575 - z14
Office Supplies  40 - z4,099
Office Furniture  695 - z967
Noodles  27 - z7,695
Nitrogen  1002 - z11
Neutron Pods  401 - z43
Musical Instruments  26 - z2,168
Motion Sensor  815 - z165
Module Fragment  4232 - z211
Misc Hardware  837 - z432
Micro Leech Drone  146 - z17,972
Micro Computer (Doc)  14 - z50,804
Micro Computer  714 - z7,553
Metal Valve  559 - z38
Metal Fragment  4731 - z58
Memory Chip  749 - z167
Medium Web Field  160 - z24,196
Medium Shield Charge  100 - z26,841
Medium Salvage Drone  91 - z8,822
Medium Repair Drone  140 - z16,622
Medium Mining Drone  208 - z12,272
Medium Defense Drone (Doc)  77 - z71,852
Medium Defense Drone  101 - z13,022
Medium Armor Repair  29 - z13,876
Medium Armor Bomb  30 - z15,610
Medical Instruments  97 - z6,814
Media Recordings  928 - z1,346
Mechanical Tools  964 - z4,488
Mechanical Belts (Doc)  60 - z297
Mechanical Belts  259 - z48
Magnetic Regulator  871 - z4,540
Magnetic Quartz  1371 - z3
Lokken Ore  5288 - z31
Light Shield Charge  31 - z5,587
Light Shield Bomb  113 - z8,983
Light Energy Charge  118 - z5,449
Light Armor Repair  75 - z6,385
Light Armor Bomb  138 - z6,463
Large Web Field  76 - z84,827
Large Repair Drone  188 - z96,815
Large Pump  959 - z693
Large Motor  821 - z3,793
Large Mining Drone  192 - z88,815
Large Life Support Pack  90 - z50,317
Large Heatsink (Doc)  101 - z3,573
Large Heatsink  394 - z639
Kitchen Appliances  806 - z700
Junk Part  5300 - z15
Iron Coring Pipes  222 - z491
Iron Coring Beams  105 - z590
Iron Coring  885 - z4
Ionization Plate  271 - z4,562
Interior Lighting  928 - z282
Improved Thruster (Doc)  85 - z523,228
Improved Shield Booster  67 - z35,408
Improved Scan Emitter  40 - z34,133
Improved Salvage Drone  59 - z35,017
Improved Repair Drone  191 - z39,967
Improved Railgun (Doc)  67 - z136,438
Improved Pulse Laser (Doc)  82 - z107,573
Improved Missile Launcher (Doc)  376 - z127,763
Improved Missile Launcher  106 - z18,546
Improved Mining Drone  173 - z32,317
Improved Mass Reduction  109 - z33,495
Improved Light Turret  105 - z27,395
Improved Ion Beam  82 - z17,586
Improved Heavy Laser  64 - z31,482
Improved Heavy Cannon (Doc)  11 - z137,196
Improved Filter  38 - z7,327
Improved Energy Generator (Doc)  32 - z529,637
Improved Energy Generator  62 - z60,376
Improved Defense Drone  123 - z43,117
Improved Combat Drone  199 - z53,917
Hyperion Regulator  26 - z182,593
Hygiene Products  849 - z133
Hydrox Filter  6 - z365,279
Hydrogen  438 - z3
Hull Chassis  4847 - z2,137
Heavy Shield Charge  152 - z62,253
Heavy Repair Drone  146 - z169,645
Heavy Mining Drone  69 - z108,595
Heavy Energy Charge  67 - z49,580
Heavy Defense Drone  161 - z169,645
Heavy Armor Bomb  40 - z50,070
Ham Sandwich  12 - z26,758
Habitax Regulator  46 - z706,970
Gummy Bears  814 - z1
