[s:30][c:yellow]Biomart[/c][/s]
Auction Facility
Leira Kolyitpi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 31911.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Active Scanner
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Tractor Beam

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (447) x Memory Chip
 (333) x Copperi Cables
 (426) x Micro Processor
Buy items for [c:lime]159,181 discount.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (1) Items 
 (143) x Hygiene Products
Fulfill order for [c:lime]23,812 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Active Scanner  39 - z18,481
Adamyte Ore  147 - z5
Advanced Regulator  5 - z7,930
Advanced Targeting System (Doc)  16 - z626,127
Aluminium Rivets  163 - z37
Anti-Freeze  18 - z43
Assorted Gaskets  195 - z17
Assorted Springs  86 - z42
Ball Bearings  175 - z52
Basic 20mm  26 - z26
Basic 60mm  29 - z48
Basic Afterburner  16 - z15,346
Basic Armor Exterior  15 - z24,519
Basic Cargo Expansion  3 - z28,933
Basic Drone Command Bay  13 - z30,693
Basic Energy Generator  13 - z32,965
Basic Filter  6 - z9,081
Basic Heavy Cannon  18 - z5,292
Basic Heavy Laser  5 - z6,832
Basic Ion Beam  16 - z9,889
Basic Light Turret (Doc)  1 - z24,756
Basic Mass Reduction  5 - z28,918
Basic Plasma Cannon  16 - z4,522
Basic Railgun  18 - z10,393
Basic Rocket Launcher  7 - z6,211
Basic Rocket Launcher (Doc)  78 - z27,906
Basic Scan Booster  6 - z18,949
Basic Shield Generator  8 - z21,797
Basic Torpedo   88 - z191
Basic Torpedo Launcher  16 - z8,125
Basic Torpedo Launcher (Doc)  3 - z39,787
Bomber Drone  38 - z18,860
Candy Cane  2 - z1
Candy Corn  8 - z1
Carbon  271 - z2
Carbon Fiber  123 - z30
Chocolate Bars  19 - z1
Cleaning Chemicals  1 - z110
Colored Dye  6 - z18
Containment Unit  3 - z8,175
Copperi Cables  33 - z271
Disposables  6 - z7,471
Dynex Crystal Resonator (Doc)  3 - z2,399
ECM Sensors Jammer (Doc)  15 - z1,225,606
Elite Skill Manual  17 - z1,323,654
Fasteners  7 - z14
Generic Missile Launcher  10 - z1,622
Generic Plasma Cannon  12 - z1,886
Generic Pulse Laser  11 - z2,155
Generic Railgun (Doc)  69 - z11,848
Generic Rocket Launcher  2 - z2,455
Generic Rocket Launcher (Doc)  52 - z8,973
Generic Torpedo Launcher  16 - z1,482
