[s:30][c:yellow]StarGypsy Warehouse[/c][/s]
Tavern Station
Pinratus Flake
Pirate
[c:lime]Dock fee 25[/c]
Timestamp: 56963.38
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay
Fusion Chamber
Gravitational Emitter
Gyroscope Drive
Heating Unit
Hydraulic Assembly
Ionization Plate
Large Motor
Lidar System
Magnetic Regulator
Radar System
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Armor Exterior
Improved Armor Exterior
Advanced Armor Exterior
Premium Armor Exterior
Prototype Armor Exterior
Basic Impact Armor
Improved Impact Armor
Advanced Impact Armor
Premium Impact Armor
Prototype Impact Armor
Basic Energy Armor
Improved Energy Armor
Advanced Energy Armor
Premium Energy Armor
Prototype Energy Armor
Basic Explosive Armor
Improved Explosive Armor
Advanced Explosive Armor
Premium Explosive Armor
Prototype Explosive Armor

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  757 - z12
Weapons Component  587 - z456
Water  464 - z1
Waste Processor  17 - z14,138
Waste Burner  15 - z38,246
UV Filter  9 - z49,204
Uranium Core  379 - z887
Undamaged Part  4063 - z35
Transport Units  961 - z5,431
Torim Ore  3598 - z66
Titanyte Pipes  246 - z454
Titan Salvage Drone  110 - z169,867
Titan Defense Drone  17 - z204,867
Titan Combat Drone  47 - z167,367
Thermal Sensor  486 - z88
Thermal Generex  36 - z87,257
Thermal Controller  20 - z8,606
Textile Fabrics  1019 - z1,404
Temperature Genie  35 - z22,499
Synth Filter  30 - z63,130
Steelium Beam  642 - z9
Steelium  378 - z29
Sporting Equipment  22 - z2,202
SolarClean Filter  6 - z249,208
Small Web Field  38 - z7,836
Small Tractor Drone  92 - z10,192
Small Storage Tank  731 - z47
Small Repair Drone  50 - z7,017
Small Mining Drone  50 - z7,617
Small Microchip  238 - z879
Small Heatsink  4 - z179
Small Electronics  390 - z807
Small Combat Drone  127 - z7,377
Silicon  501 - z8
Scrap Part  4444 - z38
Salt Crystal  311 - z1
Regulator  639 - z123
Radar System  150 - z1,846
Quazor Ore  376 - z22
Prototype Torpedo   2049 - z588
Prototype Shield Generator (Doc)  54 - z3,729,726
Prototype Shield Booster  23 - z331,788
Prototype Scan Booster  57 - z395,039
Prototype Rocket Launcher (Doc)  110 - z4,934,267
