[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 52108.76
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (232) x Basic 60mm
Fulfill order for [c:lime]1,232 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (611) x Basic 60mm
Fulfill order for [c:lime]16,090 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (1) Items 
 (92) x Basic 60mm
Fulfill order for [c:lime]2,224 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (85) x Advanced 20mm
Fulfill order for [c:lime]4,734 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (133) x Basic 60mm
Fulfill order for [c:lime]9,067 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  780 - z17
Adamyte Ore  5285 - z7
Advanced 60mm  64 - z118
Advanced Afterburner  44 - z100,337
Advanced Armor Exterior  49 - z118,105
Advanced ECM Resistance Field (Doc)  69 - z5,394,524
Advanced Energy Armor  38 - z82,421
Advanced Energy Armor (Doc)  50 - z1,037,048
Advanced Filter  27 - z24,529
Advanced Light Turret  63 - z52,668
Advanced Missile  59 - z349
Advanced Missile Launcher  61 - z108,871
Advanced Ore Harvester (Doc)  55 - z449,507
Advanced Railgun (Doc)  141 - z496,084
Advanced Regulator  8 - z9,729
Advanced Rocket Launcher (Doc)  130 - z537,741
Advanced Salvage Collector  63 - z177,366
Advanced Scan Emitter  68 - z62,223
Advanced Skill Manual  8 - z441,116
Advanced Torpedo   24 - z582
Advanced Turn Thrust  17 - z89,937
Aged Wine  843 - z156
AI Interface Drive (Doc)  57 - z11,739
Aluminium Plates  131 - z185
Aluminium Rivets  352 - z28
Aluminium Shard  463 - z14
Anti-Freeze  53 - z40
Armor Plating (Doc)  37 - z11,182
Assembly Tools  910 - z6,174
Assorted Springs  719 - z43
Basic 20mm  53 - z31
Basic 60mm  44 - z52
Basic Beam Energy Mod  60 - z16,355
Basic Computer  644 - z1,531
Basic Energy Armor  65 - z18,355
Basic Energy Armor (Doc)  50 - z310,262
Basic Filter  18 - z4,999
Basic Food Rations  1002 - z77
Basic Ion Beam  62 - z6,839
Basic Laser Energy Mod (Doc)  5 - z223,262
Basic Light Turret  55 - z8,009
Basic Missile Explosive Mod  24 - z19,105
Basic Missile Impact Mod  47 - z16,605
Basic Missile Launcher (Doc)  83 - z48,672
Basic Ore Harvester (Doc)  11 - z65,394
Basic Railgun  28 - z5,579
Basic Rocket Launcher  42 - z6,889
Basic Rocket Launcher (Doc)  127 - z33,047
Basic Scan Emitter (Doc)  5 - z199,629
Basic Shield Booster  39 - z22,855
Basic Shield Generator  30 - z33,594
Basic Torpedo   39 - z270
Bio Carbon  692 - z21
Bio Converter  5 - z63,959
Bio Disposables  14 - z141,800
Bottled Whiskey  818 - z87
Burglar Drone  35 - z17,313
Calcium  113 - z5
Calibration Tools  835 - z4,607
Candy Cane  1000 - z0
Candy Corn  69 - z1
Capacitors  39 - z81
Carbon  262 - z1
Carbon Filter  9 - z23,043
Cat Food  20 - z228,044
Ceramic  481 - z16
Cheese and Crackers  19 - z71,716
Cheeseburger  18 - z32,422
Childrens Toys  817 - z266
Chocolate Bars  963 - z1
Circuit Board  628 - z82
Cleaning Chemicals  67 - z64
Colored Dye  10 - z14
Communication Device  725 - z2,629
Containment Processor  9 - z230,054
Containment Unit  9 - z8,137
Copperi Cables  286 - z183
Copperi Cables (Doc)  7 - z3,547
Copperi Cubex  511 - z14
Copperi Pipes  401 - z369
Copperi Plates  214 - z423
Disposables  10 - z8,009
Dynex Crystal  253 - z42
Dynex Crystal Resonator  758 - z435
Dynex Ore  5004 - z87
ECM Sensors Jammer  60 - z126,414
Eco Regulator  1 - z27,544
Electron Orb  3673 - z152
Electronic Fragment  4716 - z204
Elite Skill Manual  23 - z1,087,634
Entertainment Electronics  13 - z777
Fiber Optic Cables  544 - z107
Foodservice Equipment  20 - z4,628
Foodservice Products  36 - z5,717
Fuel Injector (Doc)  8 - z34,944
Gaming Devices  981 - z1,659
Generic Ion Beam (Doc)  63 - z8,090
Generic Plasma Cannon  65 - z2,099
Generic Railgun (Doc)  260 - z12,170
Generic Rocket Launcher  35 - z1,488
Generic Torpedo Launcher (Doc)  229 - z9,050
Gourmet Food Rations  933 - z225
Gradeon Ore  3714 - z8
Grilled Steak  8 - z63,302
Gummy Bears  952 - z1
Ham Sandwich  35 - z20,242
Hand Tools  304 - z347
Heavy Armor Repair  25 - z21,903
Heavy Combat Drone  72 - z132,694
Heavy Defense Drone  121 - z137,644
Heavy Energy Charge  25 - z16,427
Heavy Mining Drone  120 - z101,344
Heavy Salvage Drone  92 - z139,294
Heavy Shield Charge  25 - z19,165
Hydrogen  1270 - z3
Hygiene Products  812 - z160
Hyperion Regulator  8 - z149,630
Improved Afterburner  20 - z43,368
Improved Combat Drone  30 - z47,889
Improved Energy Armor  61 - z59,210
Improved Energy Capacitor  36 - z63,659
Improved Energy Capacitor (Doc)  43 - z320,865
Improved Filter  20 - z13,159
Improved Impact Armor  68 - z45,710
Improved Mining Drone  76 - z33,939
Improved Missile Launcher (Doc)  291 - z111,062
Improved Railgun (Doc)  180 - z110,868
Improved Repair Drone  107 - z50,589
Improved Salvage Drone  82 - z50,139
Improved Scan Emitter  52 - z32,191
Improved Targeting System (Doc)  64 - z491,316
Interior Lighting  907 - z258
Iron Coring  739 - z5
Iron Coring Pipes  164 - z417
Iron Coring Plates  814 - z478
Junk Part  4631 - z25
Kitchen Appliances  775 - z599
Large Defense Drone  69 - z105,421
Large Life Support Pack  25 - z13,689
Large Mining Drone (Doc)  49 - z398,146
Large Processor  447 - z115
Large Processor (Doc)  26 - z1,494
Large Pump  597 - z450
Large Repair Drone  22 - z81,421
Large Web Field  40 - z80,943
LED Lights  541 - z125
Light Armor Repair  25 - z2,434
Light Energy Charge  25 - z1,825
Light Shield Charge  25 - z2,129
Liquid Coolant  536 - z19
Lokken Ore  409 - z23
Magnetic Quartz  180 - z2
Mechanical Belts  735 - z58
Mechanical Switch  615 - z60
Mechanical Tools  10 - z5,375
Media Recordings  828 - z1,653
Medical Instruments  772 - z8,487
Medium Armor Bomb  126 - z21,714
Medium Armor Repair  25 - z7,301
Medium Combat Drone  139 - z14,313
Medium Energy Charge  25 - z5,476
Medium Life Support Pack  25 - z4,563
Medium Salvage Drone  107 - z8,313
Medium Shield Bomb  65 - z25,224
Medium Shield Charge  25 - z6,388
Medium Shield Recharger  56 - z160,269
Medium Web Field  101 - z26,501
Memory Chip  685 - z227
Metal Brackets  194 - z25
Metal Fragment  4010 - z103
Metal Valve  690 - z36
Micro Leech Drone  148 - z19,263
Module Fragment  4332 - z231
Musical Instruments  1036 - z2,797
Neutron Pods  1203 - z27
Nitrogen  960 - z5
Noodles  6 - z7,279
Office Furniture  872 - z945
Office Supplies  727 - z3,764
Oil  815 - z11
OmniCon Regulator  10 - z41,637
Optical Interface  768 - z122
Ornament  1000 - z2
Oxygen  641 - z2
Personal Clothing  987 - z1,332
Plasite Extractor (Doc)  41 - z5,674,101
Plasite Ore  4240 - z48
Plastic Caps  232 - z53
Plastix Strands  578 - z3
Predator Laser Guardian (Doc)  21 - z7,463,789
Premium Afterburner  48 - z93,473
Premium Energy Capacitor  34 - z242,155
Premium Heavy Laser  73 - z245,691
Premium Ion Beam  53 - z455,304
Premium Missile Launcher (Doc)  202 - z1,046,877
Premium Railgun (Doc)  127 - z1,034,002
Premium Scan Booster  15 - z119,199
Premium Shield Generator (Doc)  34 - z2,343,703
Protein Bar  37 - z6,259
Prototype 20mm  54 - z157
Prototype 60mm  28 - z262
Prototype ECM Energy Coil  60 - z1,146,372
Prototype ECM Energy Coil (Doc)  4 - z13,513,880
Prototype ECM Range Lock  67 - z1,067,400
Prototype ECM Resistance Field  31 - z1,217,331
Prototype Heavy Cannon (Doc)  169 - z6,321,674
Prototype Missile   34 - z786
Prototype Railgun  63 - z950,696
Prototype Scan Booster (Doc)  46 - z2,094,704
Prototype Targeting System  55 - z303,064
Prototype Torpedo   60 - z1,310
Quazor Ore  5520 - z21
Salt Crystal  364 - z2
Scrap Part  4070 - z19
Silicon  648 - z5
Small Electronics  273 - z585
Small Heatsink  443 - z335
Small Life Support Pack  25 - z1,521
Small Motor  296 - z201
Small Pump (Doc)  13 - z1,780
Small Storage Tank  659 - z58
SolarClean Filter  30 - z109,418
Sporting Equipment  18 - z2,192
Steelium  361 - z53
Steelium Beam  563 - z8
Steelium Pipes  556 - z12
Synth Filter  34 - z64,823
Temperature Genie  22 - z11,667
Textile Fabrics  57 - z1,263
Thermal Controller  28 - z3,669
Thermal Generex  11 - z102,737
Thermal Insulation  540 - z23
Thermal Insulation (Doc)  71 - z296
Thermal Sensor  598 - z81
Titan Combat Drone  39 - z148,552
Titan Defense Drone  69 - z153,552
Titan Defense Drone (Doc)  50 - z990,984
Titan Mining Drone (Doc)  48 - z1,528,584
Titan Repair Drone  12 - z196,052
Torim Ore  4241 - z57
Transport Units  885 - z6,901
Undamaged Part  4875 - z66
Uranium Core  539 - z872
UV Filter  30 - z40,980
Voltage Regulator (Doc)  52 - z43,456
Waste Burner  21 - z38,049
Waste Processor  34 - z25,387
Water  1129 - z1
Weapon Systems Package (Doc)  44 - z70,935
Weapons Component  4211 - z337
Wrapped Box  1000 - z4
