[s:30][c:yellow]Rendo Labs[/c][/s]
Beam Research Facility
Bomene Janfonve
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 7286.313
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Market
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (69) x Undamaged Part
 (243) x Anti-Freeze
 (159) x Scrap Part
Fulfill order for [c:lime]12,001 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (107) x Metal Fragment
 (58) x Electronic Fragment
 (256) x Scrap Part
Fulfill order for [c:lime]6,729 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  157 - z5
Advanced 20mm  62 - z53
Advanced 60mm  78 - z92
Advanced ECM Range Lock (Doc)  1 - z7,820,916
Advanced Energy Armor (Doc)  11 - z637,500
Advanced Energy Generator (Doc)  14 - z915,600
Advanced Railgun (Doc)  74 - z551,158
Advanced Regulator  6 - z11,898
Advanced Shield Generator (Doc)  7 - z1,466,100
Advanced Thruster (Doc)  1 - z747,180
Advanced Torpedo   30 - z334
Afterburner Assembly  66 - z3,588
Aluminium Rivets  75 - z49
Artificial Gravity Generator  92 - z3,054
Assorted Gaskets  45 - z12
Assorted Gaskets (Doc)  18 - z136
Assorted Springs  49 - z57
Auxiliary System Mount  92 - z3,519
Ball Bearings  130 - z68
Basic 20mm (Doc)  10 - z7,690
Basic 60mm  95 - z21
Basic Afterburner  11 - z19,625
Basic Beam Impact Mod (Doc)  11 - z312,375
Basic Charged Cell  88 - z126
Basic Drone Command Bay  18 - z27,650
Basic Energy Armor  15 - z21,031
Basic Energy Generator  15 - z17,115
Basic Explosive Armor  17 - z19,281
Basic Filter  6 - z8,899
Basic Heavy Cannon  9 - z7,094
Basic Heavy Laser  10 - z6,093
Basic Impact Armor  19 - z25,031
Basic Light Turret  6 - z7,219
