[s:30][c:yellow]Nostra[/c][/s]
Civil Housing Facility
Yitwo Yanlespea
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 49755.54
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Light Shield Recharger
Medium Shield Recharger
Heavy Shield Recharger
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
Storage
Fabricator
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (266) x Advanced Spring Loader
Buy items for [c:lime]153,146 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  238 - z1,148
Acidic Residue  631 - z19
Adamyte Ore  286 - z4
Advanced 20mm  383 - z27
Advanced 60mm  205 - z90
Advanced Armor Exterior  23 - z106,968
Advanced Armor Exterior (Doc)  5 - z1,614,816
Advanced Drone Command Bay  56 - z133,024
Advanced ECM Energy Coil  19 - z358,895
Advanced ECM Power Boost Field  64 - z760,433
Advanced ECM Resistance Field (Doc)  41 - z8,170,198
Advanced Energy Generator  2 - z75,197
Advanced Filter  9 - z14,608
Advanced Mass Reduction  15 - z49,809
Advanced Missile  379 - z246
Advanced Missile Launcher (Doc)  123 - z514,732
Advanced Plasma Cannon  76 - z120,868
Advanced Railgun  16 - z58,797
Advanced Railgun (Doc)  339 - z484,350
Advanced Regulator  25 - z12,635
Advanced Skill Manual  153 - z490,163
Advanced Spring Loader  34 - z982
Advanced Thruster  16 - z98,398
Advanced Waste Unit  9 - z250,310
Aged Wine  55 - z185
AI Interface Drive  43 - z1,080
Aluminium Plates  203 - z176
Aluminium Rivets (Doc)  5 - z463
Aluminium Shard  474 - z17
Ammunition Loader  150 - z920
Antenna Array  291 - z1,976
Anti-Freeze  48 - z30
Armor Plating  150 - z1,795
Assembly Tools  63 - z3,277
Assorted Springs  284 - z60
Assorted Springs (Doc)  54 - z522
Ball Bearings (Doc)  1 - z757
Basic 20mm  327 - z14
Basic 60mm  344 - z39
Basic Beam Explosive Mod  69 - z19,785
Basic Computer  150 - z1,523
Basic ECM Resistance Field (Doc)  16 - z5,379,154
Basic Energy Armor  25 - z14,535
Basic Engine Core  57 - z11,691
Basic Filter  18 - z5,470
Basic Food Rations  43 - z109
Basic Heavy Laser  36 - z6,710
Basic Laser Impact Mod  63 - z16,035
Basic Missile (Doc)  15 - z6,977
Basic Missile Launcher (Doc)  375 - z28,159
Basic Ore Harvester  51 - z7,720
Basic Pulse Laser  4 - z8,480
Basic Railgun  36 - z5,052
Basic Railgun (Doc)  207 - z34,919
Basic Rocket Launcher (Doc)  178 - z22,099
Basic Targeting System  35 - z21,444
Basic Torpedo Launcher (Doc)  227 - z34,079
Basic Warp Drive Fuel  238 - z1,234
Battery Array (Doc)  49 - z46,407
Belasite Ore  755 - z268
Bio Carbon  703 - z24
Bio Disposables  23 - z97,819
Bomber Drone  4 - z8,421
Bottled Whiskey  47 - z173
Calciate Residue  204 - z64
Calcium  89 - z5
Calibration Tools  22 - z3,939
Candy Cane  46 - z1
Candy Corn  35 - z1
Capacitors  628 - z127
Carbon  1043 - z1
Carbon Filter  37 - z25,939
Cat Food  7 - z134,992
Ceramic  842 - z13
Cheese and Crackers  23 - z120,797
Cheeseburger  11 - z32,316
Childrens Toys  38 - z372
Chocolate Bars  47 - z1
Circuit Board  325 - z83
Cleaning Chemicals  46 - z104
Cloak Booster  14 - z666,337
Colored Dye  65 - z24
Comm Device  32 - z1,615
Communication Device  17 - z2,928
Compartment Frame  761 - z859
Containment Processor  6 - z149,066
Containment Unit  35 - z14,105
Copperi Cables  656 - z217
Copperi Cubex  1189 - z13
Copperi Plates  48 - z364
Disposables  17 - z4,700
Dynex Crystal  1107 - z37
Dynex Ore  579 - z122
ECM Module Disruptor  34 - z310,031
Electrical Interface  520 - z2,755
Electron Orb  393 - z91
Electronic Fragment  720 - z107
Engine Component  188 - z837
Entertainment Electronics  55 - z477
Foodservice Products  67 - z3,435
Fuel Injector  506 - z3,904
Fusion Chamber (Doc)  16 - z13,641
Gaming Devices  48 - z1,602
Generic Construction Platform  51 - z5,935,500
Generic Pulse Laser  70 - z1,223
Generic Rocket Launcher (Doc)  274 - z7,614
Glass Panels  307 - z382
Gourmet Food Rations  43 - z404
Gradeon Ore  150 - z9
Gravitational Emitter (Doc)  12 - z20,588
Grilled Steak  10 - z69,683
Gummy Bears  41 - z2
Ham Sandwich  14 - z15,465
Hand Tools  721 - z316
Heavy Armor Bomb  107 - z69,773
Heavy Armor Repair  11 - z90,821
Heavy Energy Charge  26 - z38,956
Heavy Repair Drone  18 - z102,531
Heavy Salvage Drone  54 - z180,081
Heavy Shield Recharger  36 - z1,230,779
Hydrogen  867 - z3
Hydrox Filter  14 - z289,015
Hygiene Products  34 - z173
Hyperion Regulator  12 - z181,236
Improved Afterburner  60 - z33,256
Improved Cargo Expansion (Doc)  9 - z642,840
Improved Combat Drone  134 - z26,613
Improved Energy Armor  26 - z29,570
Improved Energy Capacitor  32 - z29,713
Improved Explosive Armor (Doc)  11 - z516,840
Improved Filter  10 - z9,940
Improved Ion Beam  42 - z36,497
Improved Mass Reduction  78 - z58,484
Improved Mining Drone  20 - z41,463
