[s:30][c:yellow]Astrox Security Patrol[/c][/s]
Training Post
Bidres Oisedar
Law
[c:lime]Dock fee 100[/c]
Timestamp: 46535.18
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Light Shield Recharger
Medium Shield Recharger
Heavy Shield Recharger

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage


<Station Market Orders>
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (578) x Basic Torpedo 
Buy items for [c:lime]37,674 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (534) x Ornament
Fulfill order for [c:lime]2,231 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  139 - z22
Active Scanner (Doc)  12 - z151,619
Adamyte Ore  100 - z7
Advanced 20mm  37 - z44
Advanced 60mm  331 - z88
Advanced Armor Exterior  23 - z135,315
Advanced Cargo Expansion (Doc)  76 - z1,569,150
Advanced ECM Power Boost Field  30 - z494,720
Advanced ECM Resistance Field  73 - z717,259
Advanced Filter  7 - z18,815
Advanced Heavy Laser (Doc)  60 - z423,342
Advanced Mass Reduction  74 - z103,742
Advanced Missile  224 - z255
Advanced Regulator  24 - z11,363
Advanced Skill Manual  127 - z628,664
Advanced Spring Loader  110 - z1,293
Advanced Torpedo   37 - z377
Advanced Turn Thrust  32 - z57,410
Advanced Waste Unit  38 - z277,131
Aged Wine  33 - z157
AI Interface Drive  185 - z819
Aluminium Plates  167 - z191
Aluminium Shard  241 - z16
Antenna Array  744 - z2,047
Anti-Beam Pod (Doc)  78 - z490,359
Anti-Freeze  62 - z41
Assembly Tools  10 - z6,137
Assorted Gaskets  652 - z9
Basic 20mm  39 - z17
Basic 60mm  37 - z32
Basic Beam Energy Mod (Doc)  79 - z269,288
Basic Beam Impact Mod  30 - z26,191
Basic ECM Range Lock  49 - z265,890
Basic ECM Resistance Field  29 - z354,357
Basic Energy Capacitor  71 - z25,678
Basic Engine Core  23 - z15,128
Basic Explosive Armor  29 - z19,441
Basic Filter  39 - z8,173
Basic Food Rations  30 - z51
Basic Heavy Laser  5 - z6,142
Basic Ion Beam  22 - z10,648
Basic Mass Reduction  63 - z25,935
Basic Missile   119 - z118
Basic Missile Launcher (Doc)  5 - z43,799
Basic Projectile Impact Mod  15 - z16,191
Basic Pulse Laser (Doc)  19 - z26,517
Basic Railgun  67 - z10,816
Basic Sensor  216 - z108
Basic Sensor (Doc)  67 - z1,003
Basic Thruster  30 - z24,310
