[s:30][c:yellow]Legistron[/c][/s]
Reclamation Center
Akno Vakjanco
Law
[c:lime]Dock fee 100[/c]
Timestamp: 56513.57
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Heavy Cannon
Generic Light Turret
Prototype Light Turret
Prototype Heavy Cannon
Basic Heavy Cannon
Basic Light Turret
Improved Heavy Cannon
Improved Light Turret
Advanced Heavy Cannon
Advanced Light Turret
Premium Heavy Cannon
Premium Light Turret
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Basic Projectile Impact Mod
Basic Projectile Energy Mod
Basic Projectile Explosive Mod

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
Storage
Fabricator
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Items Req: (1) Items 
 (66) x Entertainment Electronics
Fulfill order for [c:lime]25,248 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Ore  266 - z395
Wrapped Box  1 - z15
Weapons Component  472 - z663
Water  683 - z2
Waste Processor  9 - z18,815
Waste Burner  39 - z30,299
UV Filter  8 - z83,879
Uranium Core  560 - z644
Undamaged Part  511 - z40
Transport Units  85 - z7,984
Torim Ore  792 - z36
Titanyte Plates  498 - z621
Titanyte Beams  609 - z868
Titanyte  101 - z50
Titan Salvage Drone (Doc)  64 - z1,584,160
Titan Repair Drone  47 - z281,906
Titan Mining Drone  73 - z291,906
Titan Defense Drone  110 - z241,906
Titan Combat Drone  171 - z251,906
Thermex Controller  30 - z238,426
Thermal Sensor  92 - z75
Thermal Insulation  152 - z32
Thermal Generex  12 - z83,598
Thermal Controller  5 - z5,093
Textile Fabrics  6 - z1,091
Temperature Genie  12 - z26,103
Synth Filter  7 - z89,343
Steelium Plates (Doc)  20 - z11,307
Steelium Pipes  835 - z20
Steelium Beam  320 - z13
Steelium  1092 - z55
Spotlight  69 - z10,685
Sporting Equipment  1 - z2,623
Spaghetti  35 - z614,285
SolarClean Filter  39 - z214,657
Small Web Field  56 - z7,501
Small Tractor Drone  67 - z16,314
Small Salvage Drone  165 - z5,266
Small Repair Drone (Doc)  76 - z40,705
Small Repair Drone  148 - z7,066
Small Mining Drone  2 - z4,966
Small Defense Drone  83 - z6,706
Silveryte  1032 - z85
Silicon  523 - z7
Scrap Part  706 - z26
Salt Crystal  1031 - z3
Regulator  754 - z121
Recon Scanner Drone  142 - z13,014
Radar System (Doc)  57 - z65,682
Quazor Ore  520 - z15
Prototype Warp Drive (Doc)  44 - z184,143,700
Prototype Turn Thrust  33 - z236,040
Prototype Torpedo Launcher  30 - z1,333,163
Prototype Shield Booster  43 - z355,050
Prototype Railgun (Doc)  149 - z5,405,289
Prototype Missile   202 - z380
Prototype Light Turret  12 - z365,159
Prototype Heavy Laser (Doc)  62 - z6,803,618
Prototype Heavy Cannon (Doc)  61 - z6,919,166
Prototype Heavy Cannon  50 - z980,477
Prototype Engine Core (Doc)  12 - z5,101,008
Prototype Engine Core  67 - z340,604
Prototype Energy Capacitor  43 - z269,412
Prototype Energy Armor (Doc)  59 - z4,068,600
Prototype ECM Range Lock  58 - z643,385
Prototype Drone Command Bay  62 - z408,080
Protein Bar  40 - z5,513
Premium Torpedo Launcher  6 - z218,836
Premium Thruster  7 - z137,361
Premium Targeting System  82 - z111,197
Premium Rocket Launcher  35 - z308,416
Premium Railgun  79 - z323,280
Premium Plasma Cannon  46 - z266,628
Premium Missile Launcher (Doc)  5 - z1,300,123
Premium Light Turret  50 - z219,855
Premium Heavy Cannon  53 - z285,771
Premium Cargo Expansion  32 - z181,525
Predator Torpedo Guardian (Doc)  14 - z7,922,656
Polymere  707 - z75
Plastix Strands  1243 - z3
Plasite Ore  285 - z77
Pizza  13 - z396,762
Personal Clothing  83 - z1,825
Oxygen  429 - z2
Ornament  68 - z5
Optical Interface  772 - z147
OmniCon Regulator  3 - z68,779
Oil  1120 - z7
Office Supplies  32 - z2,980
Office Furniture  6 - z1,131
Noodles  19 - z14,303
Nitrogen  483 - z9
Neutron Pods  1243 - z36
Musical Instruments  27 - z3,667
Motion Sensor  705 - z185
Module Fragment  261 - z345
Missile Defense System (Doc)  5 - z1,836,200
Misc Hardware  647 - z732
Micro Processor (Doc)  55 - z1,660
Metal Valve  852 - z30
Metal Fragment  86 - z102
Memory Chip  351 - z282
Medium Web Field  142 - z20,343
Medium Shield Recharger  30 - z226,870
Medium Shield Charge  113 - z20,950
Medium Shield Bomb  42 - z25,046
Medium Repair Drone  111 - z12,114
Medium Energy Charge  127 - z22,457
Medium Defense Drone  87 - z15,264
Medium Armor Bomb  31 - z22,616
Medical Instruments  15 - z6,001
Media Recordings  17 - z2,037
Mechanical Tools  28 - z4,941
Mechanical Switch  708 - z67
Magnetic Regulator  824 - z3,301
Magnetic Quartz  214 - z4
Lubricant  771 - z23
Lokken Ore  264 - z25
Liquid Coolant (Doc)  51 - z172
Light Shield Recharger (Doc)  40 - z163,453
Light Shield Charge  174 - z4,813
Light Shield Bomb  67 - z12,039
Light Energy Charge  171 - z4,726
Light Armor Bomb  10 - z8,439
Lidar System  516 - z4,215
Large Web Field  22 - z51,669
Large Salvage Drone  37 - z119,763
Large Repair Drone  100 - z90,763
Large Processor  372 - z112
Large Motor  126 - z2,769
Large Mining Drone  4 - z100,763
Large Microchip  460 - z429
Large Life Support Pack  170 - z50,743
Large Heatsink  439 - z710
Large Defense Drone  129 - z74,763
Large Combat Drone  78 - z79,763
Kitchen Appliances  20 - z851
Keypad  609 - z202
Junk Part  391 - z17
Iron Coring Pipes (Doc)  54 - z5,092
Iron Coring Pipes  598 - z373
Iron Coring Beams  876 - z733
Iron Coring  1190 - z10
Ionization Plate  84 - z3,372
Interior Lighting  21 - z144
Improved Shield Generator  25 - z45,232
Improved Rocket Launcher (Doc)  274 - z127,109
Improved Repair Drone  32 - z32,293
Improved Missile Launcher (Doc)  32 - z88,615
Improved Mining Drone  105 - z56,593
Improved Light Turret  54 - z18,992
Improved Impact Armor  65 - z60,881
Improved Heavy Cannon  64 - z22,201
Improved Filter  35 - z15,038
Improved Energy Armor  35 - z58,881
Improved Defense Drone  176 - z34,543
Improved Afterburner  62 - z32,705
Hyperion Regulator  36 - z186,508
Hygiene Products  30 - z245
Hydrox Filter  14 - z358,058
Hydrogen  629 - z3
Hydraulic Assembly  112 - z3,842
Heavy Shield Bomb  68 - z87,288
Heavy Mining Drone  96 - z136,558
Heavy Energy Charge  22 - z35,512
Heavy Defense Drone  74 - z139,858
Heavy Combat Drone  97 - z116,758
Heavy Armor Bomb  27 - z50,838
Heating Unit  322 - z3,800
Ham Sandwich  13 - z21,816
Habitax Regulator  14 - z774,379
Gummy Bears  32 - z1
Grilled Steak  37 - z48,427
Gradeon Ore  791 - z12
Gourmet Food Rations  24 - z358
Goldyte  403 - z127
Generic Torpedo Launcher (Doc)  81 - z12,812
Generic Rocket Launcher  26 - z2,095
Generic Railgun (Doc)  40 - z11,132
Generic Missile Launcher (Doc)  446 - z12,074
Generic Light Turret  55 - z1,683
Generic Ion Beam  13 - z2,130
Generic Heavy Cannon  50 - z1,643
