[s:30][c:yellow]Temple of the Void[/c][/s]
Worship Center
Gobaz Jaliswen
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 37004.22
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Basic Warp Drive
Advanced Warp Drive
Prototype Warp Drive
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic ECM Resistance Field
Advanced ECM Resistance Field
Prototype ECM Resistance Field
Basic ECM Power Boost
Advanced ECM Power Boost Field
Prototype ECM Power Boost Field
Basic ECM Energy Coil
Advanced ECM Energy Coil
Prototype ECM Energy Coil
Basic ECM Range Lock
Advanced ECM Range Lock
Prototype ECM Range Lock

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Storage
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (2) Items 
 (58) x Gourmet Food Rations
 (110) x Basic Food Rations
Fulfill order for [c:lime]38,870 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Ore  589 - z261
Wrapped Box  74 - z8
Weapons Component  566 - z460
Water  481 - z2
Waste Processor  3 - z29,120
Waste Burner  12 - z43,455
UV Filter  33 - z54,381
Uranium Core  474 - z722
Undamaged Part  844 - z72
Transport Units  80 - z6,630
Tractor Beam (Doc)  34 - z57,982
Torim Ore  747 - z36
Titanyte Plates  416 - z884
Titanyte Beams (Doc)  64 - z7,072
Titanyte Beams  836 - z825
Titanyte  947 - z87
Titan Salvage Drone  126 - z239,580
Titan Mining Drone  72 - z229,580
Titan Defense Drone  28 - z322,080
Titan Combat Drone  35 - z189,580
Thermex Controller  14 - z470,896
Thermal Sensor  483 - z70
Thermal Generex  14 - z71,040
Thermal Controller  42 - z5,588
Textile Fabrics  5 - z1,949
Temperature Genie  25 - z20,116
Synth Filter  9 - z141,124
Steelium Plates  331 - z604
Steelium Beam  898 - z14
Steelium  1279 - z65
Spotlight (Doc)  22 - z52,937
Sporting Equipment  59 - z1,698
Spaghetti  41 - z670,129
SolarClean Filter  38 - z132,362
Small Web Field  70 - z10,627
Small Salvage Drone  142 - z8,030
Small Pump (Doc)  77 - z2,771
Small Mining Drone  170 - z7,910
Small Microchip  811 - z940
Small LS Bomb  165 - z9,228
Small Life Support Pack  35 - z4,264
Small Heatsink (Doc)  73 - z2,363
Small Combat Drone  159 - z4,910
Silveryte  254 - z68
Silicon  1263 - z8
