[s:30][c:yellow]Mass Market[/c][/s]
Market Center
Bidjag Zofiejalis
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 27529.72
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (370) x Prototype 20mm
Fulfill order for [c:lime]52,706 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (293) x Advanced 20mm
 (254) x Basic Missile 
Fulfill order for [c:lime]74,793 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (27) x Prototype Missile 
Fulfill order for [c:lime]6,600 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (76) x Prototype 20mm
 (68) x Basic Torpedo 
Fulfill order for [c:lime]17,790 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  532 - z12
Adamyte Ore  280 - z6
Advanced 20mm  3 - z70
Advanced Afterburner  46 - z60,835
Advanced Cargo Expansion  9 - z64,044
Advanced ECM Energy Coil (Doc)  51 - z6,587,194
Advanced Energy Armor  70 - z64,044
Advanced Energy Capacitor  30 - z119,646
Advanced Filter  12 - z19,518
Advanced Mass Reduction  86 - z68,120
Advanced Missile Launcher (Doc)  54 - z585,021
Advanced Regulator  27 - z8,948
Advanced Rocket Launcher  22 - z51,488
Advanced Rocket Launcher (Doc)  248 - z261,725
Advanced Shield Generator  21 - z99,407
Advanced Shield Generator (Doc)  64 - z1,568,727
Advanced Torpedo   93 - z586
Advanced Waste Unit  28 - z376,640
Aged Wine  46 - z115
Aluminium Plates  721 - z359
Aluminium Rivets  226 - z32
Aluminium Shard  955 - z18
Ammunition Loader  563 - z1,738
Anti-Freeze  71 - z43
Armor Plating  599 - z2,000
Assembly Tools  75 - z3,936
Assorted Gaskets  334 - z9
Basic Armor Exterior  80 - z22,813
Basic Beam Impact Mod  59 - z31,761
Basic Charged Cell  76 - z136
Basic ECM Range Lock  11 - z378,373
Basic Energy Generator  22 - z36,412
Basic Filter  12 - z6,303
Basic Food Rations  88 - z60
Basic Heavy Cannon  28 - z7,780
Basic Mass Reduction  43 - z15,190
Basic Missile Launcher  53 - z5,778
Basic Missile Launcher (Doc)  197 - z24,657
Basic Ore Harvester  10 - z16,666
Basic Plasma Cannon  47 - z7,780
Basic Projectile Explosive Mod  83 - z21,261
Basic Projectile Impact Mod  78 - z23,011
Basic Railgun  78 - z8,824
Basic Railgun (Doc)  183 - z37,398
Basic Rocket Launcher (Doc)  268 - z24,515
Basic Salvage Collector  41 - z13,726
Basic Salvage Collector (Doc)  33 - z44,831
Basic Sensor  100 - z82
Basic Torpedo Launcher (Doc)  104 - z51,258
Basic Warp Drive Fuel  707 - z1,905
Battery Core  663 - z185
Belasite Ore  404 - z191
Bio Carbon  134 - z18
Bio Converter  6 - z85,376
Bio Disposables  24 - z122,985
Biowaste Processor  11 - z733,008
Bomber Drone  131 - z18,307
Bottled Whiskey  76 - z165
Burglar Drone  35 - z16,657
Burglar Drone (Doc)  8 - z206,470
Calciate Residue  553 - z63
Calcium  125 - z5
Calibration Tools  20 - z2,711
Candy Cane  1000 - z0
Candy Corn  7 - z1
Capacitors  797 - z74
Carbon  841 - z2
Carbon Fiber  76 - z21
Carbon Filter  5 - z30,404
Cat Food  2 - z235,328
Ceramic  391 - z15
Cheese and Crackers  5 - z96,560
Cheeseburger  19 - z25,152
Childrens Toys  85 - z388
Chocolate Bars  21 - z1
Circuit Board  214 - z66
Cleaning Chemicals  32 - z85
Cloak Range Extender  15 - z500,073
Colored Dye  16 - z22
Communication Device  19 - z2,340
Compartment Frame  320 - z1,474
Computer Component  193 - z1,700
Connection Harness  410 - z960
Containment Processor  18 - z144,851
Containment Unit  12 - z7,355
Cooling Unit  502 - z1,293
Copperi Cubex  393 - z9
Copperi Plates  9 - z192
Crystaline Filter  19 - z443,607
Disposables  34 - z4,063
Dynex Crystal  432 - z26
Dynex Ore  188 - z127
Eco Regulator  40 - z44,285
Electrical Interface  749 - z2,334
Electrical Regulator  841 - z1,987
Electrical Regulator (Doc)  88 - z14,540
Electron Orb  531 - z100
Electronic Fragment  778 - z216
Elite Skill Manual  110 - z800,318
