[s:30][c:yellow]Imperium Republica [/c][/s]
Civil Housing Facility
Fonmi Duemelze
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 6812.827
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Light Shield Recharger
Medium Shield Recharger
Heavy Shield Recharger
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  27 - z914
Acidic Residue  575 - z23
Adamyte Ore  588 - z4
Advanced 60mm  150 - z99
Advanced Cargo Expansion (Doc)  26 - z1,297,500
Advanced ECM Power Boost Field  41 - z539,819
Advanced Energy Armor (Doc)  45 - z1,105,500
Advanced Energy Generator  37 - z71,820
Advanced Energy Generator (Doc)  21 - z1,076,880
Advanced Engine Core  25 - z93,390
Advanced Explosive Armor  39 - z95,125
Advanced Filter  26 - z13,747
Advanced Heavy Laser  4 - z73,691
Advanced Impact Armor (Doc)  26 - z997,500
Advanced Missile  167 - z279
Advanced Missile Launcher  3 - z101,989
Advanced Missile Launcher (Doc)  78 - z509,945
Advanced Railgun  49 - z118,464
Advanced Railgun (Doc)  230 - z437,968
Advanced Regulator  27 - z11,653
Advanced Rocket Launcher  44 - z97,862
Advanced Rocket Launcher (Doc)  8 - z437,861
Advanced Salvage Collector  11 - z187,149
Advanced Scan Emitter  26 - z45,450
Advanced Skill Manual  25 - z630,703
Advanced Spring Loader  42 - z959
Advanced Thruster (Doc)  16 - z1,130,220
Advanced Warp Drive Fuel  72 - z2,934
Aged Wine  1 - z185
AI Interface Drive  28 - z965
Aluminium Plates  497 - z192
Aluminium Shard  147 - z26
Ammunition Loader  34 - z1,104
Antenna Array  29 - z1,152
Anti-Freeze  47 - z36
Anti-Gun Pod (Doc)  24 - z416,719
