[s:30][c:yellow]Horizons[/c][/s]
Headquarters
Serzokom Qireno
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 9938.575
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (98) x Wrapped Box
Fulfill order for [c:lime]870 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  53 - z9
Advanced 20mm  30 - z41
Advanced 60mm  2171 - z101
Advanced 60mm (Doc)  9 - z52,055
Advanced Missile  2500 - z89
Advanced Plasma Cannon (Doc)  21 - z1,393,486
Advanced Regulator  2 - z11,406
Advanced Scan Booster (Doc)  13 - z803,566
Advanced Torpedo   1946 - z334
Aluminium Rivets  197 - z40
Anti-Freeze  12 - z38
Assorted Gaskets  50 - z16
Ball Bearings  158 - z79
Ball Bearings (Doc)  6 - z672
Basic 20mm  2500 - z7
Basic 60mm  2103 - z30
Basic Afterburner  11 - z21,822
Basic Armor Exterior  19 - z29,133
Basic Drone Command Bay  13 - z46,444
Basic Energy Capacitor  13 - z15,109
Basic Filter  2 - z6,798
Basic Missile   2500 - z35
Basic Railgun  4 - z10,005
Basic Railgun (Doc)  99 - z30,286
Basic Rocket Launcher  1 - z7,288
Basic Salvage Collector  15 - z11,495
Basic Scan Booster  1 - z12,371
Basic Shield Generator  9 - z16,500
Basic Thruster  20 - z19,553
Basic Torpedo   2500 - z90
Basic Torpedo Launcher  11 - z10,257
Basic Torpedo Launcher (Doc)  37 - z48,346
Basic Turn Thrust  18 - z19,022
Basic Warp Drive Fuel (Doc)  11 - z15,538
Battery Array (Doc)  15 - z63,413
Candy Cane  668 - z1
Candy Corn  763 - z1
Carbon  136 - z1
Carbon Fiber  174 - z16
Chocolate Bars  11 - z1
Cleaning Chemicals  5 - z125
Colored Dye  518 - z21
Containment Unit  3 - z13,734
Disposables  6 - z7,498
Duct Work (Doc)  3 - z15,631
Fasteners  131 - z7
Generic Construction Platform  5 - z5,258,274
Generic Heavy Cannon  15 - z1,212
Generic Ion Beam  15 - z2,211
Generic Light Turret (Doc)  19 - z6,111
Generic Missile Launcher (Doc)  3 - z12,772
Generic Ore Harvester  11 - z4,844
Generic Pulse Laser  14 - z1,142
Generic Torpedo Launcher (Doc)  66 - z7,573
Gradeon Ore  66 - z9
Gummy Bears  15 - z1
Heavy Energy Charge  31 - z64,320
Heavy Mining Drone  14 - z90,932
Heavy Repair Drone  28 - z135,482
Heavy Salvage Drone  26 - z191,582
Hydraulic Assembly (Doc)  20 - z27,054
Hydrogen  268 - z3
Improved Afterburner  5 - z40,844
Improved Energy Generator  23 - z64,462
Improved Filter  8 - z6,751
Improved Rocket Launcher (Doc)  26 - z118,960
Improved Scan Emitter  16 - z37,480
Interior Lighting  996 - z198
Junk Part  195 - z14
Kitchen Appliances  994 - z914
Large Life Support Pack  2 - z28,850
Large Web Field  46 - z74,959
Liquid Coolant  193 - z29
Lubricant  153 - z9
Magnetic Quartz  29 - z3
Mechanical Belts  14 - z59
Medium Armor Repair  46 - z28,346
Medium Life Support Pack  30 - z15,467
Medium Mining Drone  17 - z10,517
Medium Salvage Drone  30 - z19,067
Medium Web Field  23 - z12,986
Metal Brackets  94 - z19
Metal Gears  41 - z23
Metal Valve  119 - z35
Micro Leech Drone  32 - z19,067
Misc Hardware (Doc)  4 - z8,740
Noodles  10 - z6,874
Nuts And Bolts  76 - z7
Office Furniture  516 - z760
Oxygen  227 - z1
Plastic Caps  140 - z64
Premium Missile Launcher (Doc)  44 - z1,702,030
Premium Railgun (Doc)  7 - z1,136,459
Protein Bar  2 - z5,328
Prototype 20mm  39 - z89
Prototype 60mm  27 - z135
Prototype Missile   623 - z331
Prototype Railgun (Doc)  76 - z6,372,604
Prototype Torpedo   33 - z694
Recon Scanner Drone  10 - z12,017
Reinforced Rubber  167 - z13
Rubber Tubing  65 - z39
Salt Crystal  129 - z3
Scrap Part  3711 - z35
Sensor Array (Doc)  21 - z25,415
Spaceframe (Doc)  4 - z64,136
Steelium Pipes  132 - z23
Thermal Controller  3 - z8,198
Thermal Insulation  152 - z27
Thruster Casing (Doc)  18 - z43,180
Titan Defense Drone  41 - z170,276
Titan Repair Drone  12 - z315,276
Water  262 - z1
Weapon Systems Package (Doc)  5 - z65,324
Wrapped Box  20 - z17


<Station University Skills>
Ship Shield Systems
Storage Manager
Beam Advanced Systems
Fabrication Accountant
Launcher Maintenance


<Station Missions>


<Station Ships>
RE-1 Integrator / Escort    (Recon)
EC-1 Support Frigate / Frigate    (Support)
EE-1 Mining Shuttle / Shuttle    (Excavation)
PCA-1 Pirate Destroyer / Destroyer    (Battle)
TF-1 Hexalon / Escort    (Transport)
BC-1 Alpharis Predator / Escort    (Battle)
