[s:30][c:yellow]Astrox Security Patrol[/c][/s]
Headquarters
Akweliile Kinastop
Law
[c:lime]Dock fee 100[/c]
Timestamp: 25283.74
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (90) x Prototype Missile 
 (202) x Prototype 60mm
Buy items for [c:lime]64,339 discount.[/c]
[c:red]SELL Order[/c] Market Production: (2) Items 
 (243) x Basic 60mm
 (489) x Advanced Missile
Buy items for [c:lime]85,203 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (3) Items 
 (325) x Prototype 20mm
 (253) x Basic Torpedo 
 (379) x Advanced Missile
Buy items for [c:lime]108,498 discount.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (173) x Wrapped Box
 (161) x Candy Cane
Fulfill order for [c:lime]700 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (100) x Ornament
 (109) x Wrapped Box
 (117) x Ornament
Fulfill order for [c:lime]2,678 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  231 - z7
Advanced 20mm  48 - z47
Advanced 60mm  61 - z68
Advanced Afterburner  31 - z85,525
Advanced Drone Command Bay  17 - z158,250
Advanced Energy Armor (Doc)  30 - z1,414,875
Advanced Filter  4 - z18,417
Advanced Heavy Cannon  32 - z61,223
Advanced Impact Armor  26 - z103,906
Advanced Light Turret  3 - z98,532
Advanced Light Turret (Doc)  13 - z484,086
Advanced Mass Reduction  36 - z101,114
Advanced Missile  163 - z336
Advanced Missile Launcher  11 - z77,258
Advanced Missile Launcher (Doc)  121 - z386,290
Advanced Plasma Cannon (Doc)  30 - z723,355
Advanced Pulse Laser  32 - z114,825
Advanced Railgun  14 - z132,645
Advanced Railgun (Doc)  137 - z349,378
Advanced Regulator  3 - z9,299
Advanced Rocket Launcher  36 - z105,392
Advanced Rocket Launcher (Doc)  23 - z479,798
Advanced Shield Generator  18 - z114,379
Advanced Skill Manual  6 - z629,473
Advanced Torpedo   51 - z362
Aged Wine  4 - z126
Aluminium Rivets (Doc)  29 - z315
Anti-Freeze  33 - z33
Assorted Gaskets (Doc)  31 - z125
Assorted Springs  364 - z72
Basic 20mm  40 - z20
Basic 20mm (Doc)  30 - z9,433
Basic 60mm  43 - z31
Basic Afterburner  34 - z15,381
Basic Charged Cell  79 - z85
Basic Energy Armor  38 - z21,477
Basic Energy Capacitor  22 - z19,996
Basic Filter  11 - z7,273
Basic Food Rations  3 - z88
Basic Ion Beam  31 - z7,048
Basic Light Turret  32 - z7,203
Basic Missile   184 - z96
Basic Missile Launcher  37 - z7,308
Basic Missile Launcher (Doc)  131 - z31,149
Basic Projectile Energy Mod  24 - z15,977
Basic Projectile Impact Mod  4 - z27,477
Basic Pulse Laser  16 - z5,733
Basic Railgun (Doc)  153 - z26,001
Basic Rocket Launcher (Doc)  146 - z38,467
Basic Sensor  178 - z104
Basic Sensor (Doc)  33 - z604
Basic Shield Generator  38 - z32,915
Basic Thruster  27 - z21,400
Basic Torpedo   45 - z166
Basic Turn Thrust  7 - z17,581
Basic Warp Drive (Doc)  18 - z5,634,375
Basic Warp Drive Fuel  328 - z1,839
Battery Core  43 - z95
Bottled Whiskey  3 - z156
Calcium  454 - z5
Candy Cane  4 - z2
Candy Corn  29 - z1
Capacitors  290 - z155
Carbon  253 - z2
Carbon Filter  11 - z40,857
Cheeseburger  5 - z31,853
Childrens Toys  2 - z252
Chocolate Bars  13 - z1
Cleaning Chemicals  12 - z100
Colored Dye  18 - z27
Containment Unit  18 - z14,076
Copperi Cables  376 - z356
Disposables  6 - z9,093
ECM Module Disruptor (Doc)  34 - z2,622,803
Eco Regulator  12 - z38,981
Elite Skill Manual  22 - z1,335,551
Entertainment Electronics  27 - z714
Fasteners  172 - z11
Gaming Devices  6 - z2,694
Generic Heavy Cannon  23 - z1,626
Generic Pulse Laser  33 - z2,578
Generic Railgun (Doc)  14 - z15,229
Generic Salvage Collector  38 - z3,476
Generic Torpedo Launcher (Doc)  23 - z12,109
Gourmet Food Rations  31 - z235
Gradeon Ore  184 - z14
Gummy Bears  28 - z1
Ham Sandwich  2 - z24,848
Heavy Armor Bomb  63 - z54,194
Heavy Armor Repair  67 - z92,093
Heavy Energy Charge  74 - z52,869
Heavy Shield Bomb  26 - z84,164
Hydrogen  58 - z2
Improved Drone Command Bay  32 - z79,125
Improved Energy Capacitor  6 - z65,471
Improved Explosive Armor  20 - z60,453
Improved Filter  9 - z16,281
Improved Heavy Laser  24 - z29,081
Improved Impact Armor (Doc)  17 - z455,438
Improved Light Turret  2 - z31,337
Improved Missile Launcher  12 - z17,492
Improved Ore Harvester  37 - z58,264
Improved Railgun  16 - z32,606
Improved Salvage Collector  20 - z39,154
Improved Targeting System  16 - z45,528
Improved Turn Thrust  27 - z35,163
Interior Lighting  27 - z207
Iron Coring  23 - z10
Junk Part  31 - z14
Kitchen Appliances  15 - z490
Large Defense Drone  11 - z83,906
Large Pump (Doc)  13 - z5,998
Large Repair Drone  28 - z92,906
Large Salvage Drone  16 - z102,906
Large Web Field  30 - z58,253
LED Lights  399 - z165
Light Energy Charge  63 - z7,614
Light Shield Bomb  17 - z10,432
Light Shield Charge  3 - z8,603
Liquid Coolant  252 - z24
