// PLAYER OPTIONS FILE FOR ASTROX IMPERIUM

//GRAPHICS OPTIONS
OPTION_ui_scale;<UI_SCALE>
OPTIONS_mouse_scroll_sensitivity;2
OPTION_cam_drag;3.194782
OPTION_vsync;1
OPTION_depth;True
OPTION_fog;True
OPTION_blur;True
OPTION_bloom;True
OPTION_exposure;False
OPTION_skybox;True
OPTION_particles;True
OPTION_space_traffic;True
OPTION_station_traffic;True
OPTIONS_ui_color_1;0.2330064,0.2330057,0.2091258,0.99
OPTIONS_ui_color_2;0.1912575,0.1912575,0.1912571,0.94
OPTIONS_ui_color_3;0.2238802,0.2147547,0.2,0.99
OPTIONS_ui_color_4;1.0,1.0,1.0,1.0
OPTIONS_ui_color_sensors;0.1,0.61,0.9,0.5
OPTIONS_open_panels;False
OPTIONS_open_panels_state;0,0,0,0,0,0,0,0,0,0
OPTIONS_galaxy_box;0,0,0
OPTIONS_tactical_box;0,0,0
OPTIONS_invert_mouse;False
OPTIONS_refinery_export_storage;False
OPTION_bloom_brightness;0.25
OPTIONS_3d_sound;0.0
OPTIONS_cam_fov;60
OPTIONS_target_panel_resize;0
OPTIONS_enable_controller_inputs;False
OPTIONS_market_popup;true
OPTIONS_skill_train_popup;true
OPTIONS_mission_accept_popup;true
OPTIONS_repair_complete_popup;true
OPTIONS_refinery_move_popup;true
OPTIONS_instant_skill_training;False
OPTIONS_autopilot_select;False
OPTIONS_engine_trail_time;2.5
OPTIONS_run_in_background;False
OPTIONS_tactical_override;False
OPTIONS_camlock_cinematic;True
OPTIONS_lock_station_buttons;False
OPTIONS_no_pilot_view_zoom;False
OPTIONS_mouse_steering_outside;False
OPTIONS_left_click_cam_drag;False
OPTIONS_camera_rotation_drift;5.0
OPTIONS_notify_box_size;1

//AUDIO OPTIONS
OPTION_music_vol;0.7
OPTION_soundfx_vol;0.7
OPTION_ui_vol;0.7
OPTION_sound_chat_vol;0.8
OPTION_sound_station_vol;0.8

// WORLD OPTIONS
WORLD_OPTIONS_star_recharge_rate;2.0
WORLD_OPTIONS_lifesupport_drain_rate;0.62
WORLD_OPTIONS_harvest_rate;0.73
WORLD_OPTIONS_chance_crate_item_drop;35
WORLD_OPTIONS_chance_module_takes_damage;12
WORLD_OPTIONS_repair_armor_modfier;1.35
WORLD_OPTIONS_repair_module_modfier;1.20
WORLD_OPTIONS_tax_rate;0.075
WORLD_OPTIONS_storage_lease_space;280.0
WORLD_OPTIONS_storage_lease_cost;1.0
WORLD_OPTIONS_fraction_drop_per_shot;0.001
WORLD_OPTIONS_fraction_drop_per_kill;0.050
WORLD_OPTIONS_stats_notify_timer;45.0
WORLD_OPTIONS_mission_gen_rate;0.75
WORLD_OPTIONS_mission_bonus_value;0.0042
WORLD_OPTIONS_mission_bonus_size;0.045
WORLD_OPTIONS_mission_pay_modifier;1.0
WORLD_OPTIONS_merc_death_faction_penalty;0.9
WORLD_OPTIONS_ship_slow_distance;300
WORLD_OPTIONS_death_penalty;0
WORLD_OPTIONS_game_speed;1.0
WORLD_OPTIONS_buyorder_profit_margin;0.15
WORLD_OPTIONS_sellorder_profit_margin;0.5
WORLD_OPTIONS_shipyard_price_rate;1.0
WORLD_OPTIONS_resource_respawn;0.0
WORLD_OPTIONS_autocam_rotate_timer;60.0
WORLD_OPTIONS_merc_loyalty_drain;0.5
WORLD_OPTIONS_merc_loyalty_bonus;0.5
WORLD_OPTIONS_merc_payroll_rate;1.0
