//;LOG DATA FILE (Astrox Imperium)
COMPLETED;Dialog;Transfer payment to ;23,953;84044.8589851856;Horizons;Gate of Alpharis;6h 25m 17s 
COMPLETED;Dialog;Transfer a legal document...;33,015;60301.1089850664;Legistron;Dogstar Prime;6h 0m 20s 
ABORTED;Dialog;Chat with ;-19,500;27519.310546875;Holosynth Industries;Rats Of Mortalis;5h 48m 52s 
ACCEPTED;Dialog;Transfer payment to Enfor...;-0;126331.701245546;Acrondia Hub;Temple Gates;5h 15m 50s 
ACCEPTED;Dialog;Transfer a legal document...;-0;126331.701245546;Acrondia Hub;Temple Gates;5h 15m 28s 
COMPLETED;Recover;Retrieve a light cache of...;17,660;126331.701245546;Acrondia Hub;Temple Gates;5h 12m 12s 
ACCEPTED;Recover;Retrieve a light cache of...;-4736.4;104319.618375063;Transporteers;Hunu;4h 39m 53s 
COMPLETED;Delivery;Dock at ValueStar in ;26,456;109185.918276787;ValueStar;Hunu;4h 33m 11s 
ACCEPTED;Delivery;Dock at ValueStar in Hunu...;-5347.45;77482.0618314743;Biomate University;Void Starcross;4h 30m 0s 
COMPLETED;Delivery;Deliver light container o...;14,243;71122.3076171875;Proctors Center;Void Starcross;4h 2m 29s 
ACCEPTED;Delivery;Deliver light container o...;-5241;51663.359375;Biomate University;Void Starcross;4h 0m 33s 
ACCEPTED;Dialog;Chat with Fabricator Xadn...;-0;56904.3562254906;Biomate University;Void Starcross;3h 58m 50s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;8,140;56599.37109375;Biomate University;Void Starcross;3h 54m 38s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;9,353;48459.366756916;Biomate University;Void Starcross;3h 52m 19s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,480;40729.9667570591;Biomate University;Void Starcross;3h 44m 49s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,480;33249.9667570591;Biomate University;Void Starcross;3h 40m 2s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,480;29066.3667571545;Biomate University;Void Starcross;3h 31m 19s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,480;32538.0306732655;Biomate University;Void Starcross;3h 19m 34s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,480;23579.8383891582;Biomate University;Void Starcross;3h 9m 36s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;7,932;24253.2592875957;Biomate University;Void Starcross;2h 41m 45s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;6,820;24416.6690776348;Biomate University;Void Starcross;2h 21m 8s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;6,776;21607.0172221661;Biomate University;Void Starcross;2h 7m 3s 
COMPLETED;Kill Pilot;( Tutorial 2 ) Destroy ta...;6,820;21710.3715922832;Biomate University;Void Starcross;1h 55m 52s 
COMPLETED;Harvest;( Tutorial 1 ) Harvest yo...;6,300;21915.1443346739;Biomate University;Void Starcross;1h 14m 56s 
