NPC;-PRICE;19;0;304154.9;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;32;-3;444592;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;-QTY;14;-4;407674.7;Transporteers;Hunu;6h 57m 24s ;25044.14
NPC;+STOCK;35;3;438982.9;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;29;3;301630.7;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;21;0;397437.3;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+STOCK;6;4;352971.3;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;BAL;2;0;373509.3;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;6;4;365512.2;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;39;4;433083.8;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;8;4;252675.7;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;32;3;284942.1;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;3;-3;349331.8;Biomate University;Void Starcross;22h 13m 8s ;79988.3
