NPC;-PRICE;42;0;311033.1;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;26;-2;215885.6;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;11;3;267651.9;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;30;4;209442.9;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;40;3;438067.1;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;39;4;290725.3;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;15;4;251528.7;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+QTY;32;2;207164;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;BAL;9;-2;278114.6;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;12;3;269607.3;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;35;3;201369.5;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;44;4;425873.8;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;42;3;282985.9;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+LOCAL;5;1;183838.4;Gemini Mining;Jala;21h 42m 0s ;78120.47
NPC;BAL;10;-2;274556.7;Biomate University;Void Starcross;22h 13m 8s ;79988.3
