NPC;+STOCK;6;4;167280;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;-QTY;20;-4;193733.9;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+LOCAL;5;1;65344.5;Gemini Mining;Jala;7h 15m 35s ;26135.61
NPC;+STOCK;8;3;235039.3;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;8;3;227479.7;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;14;4;263959.8;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;23;3;184681.2;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;5;3;234913.4;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;50;4;228532.6;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;12;4;226176.9;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+LOCAL;5;1;65344.5;Gemini Mining;Jala;16h 2m 31s ;57751.33
NPC;BAL;5;-3;220220.2;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;-QTY;31;-2;171595.9;ValueStar;Hunu;19h 42m 52s ;70972.37
NPC;+STOCK;9;4;213566.6;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;9;4;224625.8;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;18;4;255042;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;26;3;178525.5;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;8;3;231708.5;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;53;3;222354.6;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;5;-4;198253.4;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;23;-3;191595.6;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
