NPC;+STOCK;129;110;459.1815;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;-QTY;166;-79;453.4523;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;752;105;448.6926;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;315;149;445.0877;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;779;0;463.9749;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+STOCK;925;146;451.3373;Valuestar Hub;Jelumus;9h 35m 31s ;34531.46
NPC;+LOCAL;150;1170;120.445;Lacuna Bandits;Ballast Crow;10h 29m 1s ;37741.75
NPC;-PRICE;150;0;128.0608;Lacuna Bandits;Ballast Crow;14h 47m 2s ;53222.26
NPC;+LOCAL;150;1448;120.445;Tella's;Bitcola;15h 9m 48s ;54588.81
NPC;+QTY;408;93;444.266;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;+LOCAL;150;707;120.445;Lacuna Bandits;Ballast Crow;15h 46m 24s ;56784.17
NPC;+STOCK;765;118;435.0565;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;556;148;441.3469;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+PRICE;432;0;326.308;Transporteers;Hunu;21h 30m 39s ;77439.77
NPC;BAL;443;-113;433.9956;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
NPC;+STOCK;275;125;127.1042;Tella's;Bitcola;22h 36m 19s ;81379.42
