NPC;-PRICE;26;0;91116.23;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;6;-4;119897;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;18;4;141014.6;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;17;4;119602.9;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;26;4;125134.9;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;15;4;78050.52;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+QTY;8;2;119346.9;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
PLAYER;+QTY;0;1;0;Biomate University;Void Starcross;19h 30m 0s ;70200.98
NPC;+STOCK;18;4;135260.8;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;21;4;115092.2;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;11;3;115304.6;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;29;3;123165.3;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;18;3;73078.83;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;8;-3;122351.6;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
