NPC;-QTY;15;-3;393600.4;Transporteers;Hunu;6h 57m 24s ;25044.14
NPC;+STOCK;33;4;352966.9;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;46;4;451947.3;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;35;3;411456.3;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;35;4;439488.4;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;36;3;335458.3;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+QTY;50;4;449944.7;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;+STOCK;37;4;340092.7;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;53;3;446371.1;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;38;3;396479.4;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;39;4;427585.1;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;34;-3;353378.4;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;51;-2;434029.8;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
PLAYER;+QTY;35;1;353626.3;Biomate University;Void Starcross;22h 27m 32s ;80852.3
