NPC;-PRICE;392;0;19.89687;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;+STOCK;197;114;24.05197;Star Shepards Hub;Temple Gates;4h 47m 59s ;17279.98
NPC;+STOCK;196;129;25.16679;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;793;122;30.62137;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;794;130;14.84121;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;-QTY;116;-80;25.10356;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;-QTY;0;-95;26.05899;Transporteers Hub;Ambervellis Drea;15h 18m 9s ;55089.98
NPC;-QTY;0;-38;27.41735;Tella's;Bitcola;18h 3m 42s ;65022.39
NPC;+STOCK;141;134;19.45378;Xellon;Ele;18h 50m 39s ;67839.91
PLAYER;+QTY;811;18;30.71811;Starbase Corporate Center;Void Starcross;18h 59m 49s ;68389.38
NPC;+STOCK;527;127;19.12832;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;256;140;23.96523;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;933;122;29.85452;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;933;139;13.88931;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;147;131;17.62782;Rendo Labs;Entropy;21h 34m 29s ;77669.09
NPC;+STOCK;117;117;26.91507;Tella's;Bitcola;22h 36m 19s ;81379.42
