NPC;+STOCK;14;4;48360.8;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;+STOCK;24;3;55598.03;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;11;4;41762.4;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;26;3;69791.13;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;46;3;63184.27;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;8;4;47721.3;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;10;3;40618.37;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;24;0;77706.34;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+STOCK;27;3;55012.69;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;-QTY;22;-4;69893.95;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;+QTY;48;2;62945.5;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
PLAYER;+QTY;9;1;47447.93;Starbase Corporate Center;Void Starcross;18h 59m 54s ;68394.45
NPC;-QTY;35;-2;61939.79;ValueStar;Hunu;19h 42m 52s ;70972.37
NPC;+STOCK;27;3;53175.76;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;11;4;40289.59;Lammassu Financial;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;26;4;67738.91;StarGypsy Warehouse;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;51;3;59943.91;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;12;3;44150.39;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;13;3;38885.83;Proctors Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;23;-4;54282.45;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;47;-4;66449.48;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
