NPC;BAL;16;-10;51758.34;CoraVault;Lins;3h 0m 30s ;10830.27
NPC;-QTY;40;-11;53584.56;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+QTY;12;11;33542.03;Stinkfinger;Jonisae;5h 52m 31s ;21151.35
NPC;+STOCK;49;9;52944.11;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;-PRICE;12;0;34723.05;Daemon Ammunitions;Starfort Ramos;15h 13m 39s ;54819.5
NPC;+QTY;58;9;52859.98;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;-LOCAL;0;0;68022.88;Crystalis Broadcasting;Jermicus;17h 15m 50s ;62150.7
PLAYER;-QTY;8;4;34788.47;Daemon Ammunitions;Starfort Ramos;17h 19m 4s ;62344.62
NPC;-LOCAL;0;0;102909.9;Crystalis Broadcasting;Jermicus;18h 28m 24s ;66504.64
NPC;-LOCAL;3;3;55125;Crystalis Broadcasting;Jermicus;19h 4m 13s ;68653.3
NPC;-LOCAL;0;0;55491.79;Crystalis Broadcasting;Jermicus;19h 7m 21s ;68841.83
NPC;-LOCAL;0;0;82363.64;Crystalis Broadcasting;Jermicus;20h 3m 35s ;72215.7
NPC;+LOCAL;12;5;34013.74;Gemini Mining;Jala;20h 50m 44s ;75044.43
NPC;BAL;48;-10;55242.44;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;29;-8;55448.18;Astrox Security Patrol;Felishar;22h 13m 8s ;79988.3
