NPC;-PRICE;1;0;250497.3;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;12;-2;317923.9;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;22;4;330824.3;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;15;3;303082.6;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;27;4;468709.7;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;30;3;383774.6;Proctors Center;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;26;4;321268.4;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+QTY;19;4;302165.1;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;+STOCK;25;3;315410.9;Biomate University;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;23;4;287303.5;StarShepards Headquarters;Void Starcross;19h 47m 17s ;71237.8
NPC;+STOCK;30;3;457022.9;Starbase Corporate Center;Void Starcross;19h 47m 17s ;71237.8
NPC;BAL;21;-4;346389.5;Biomate University;Void Starcross;22h 13m 8s ;79988.3
NPC;BAL;20;-3;295666.1;StarShepards Headquarters;Void Starcross;22h 13m 8s ;79988.3
