NPC;-PRICE;689;0;86.32486;KIN AI;Xenilo Valley;4h 42m 34s ;16954.71
NPC;-QTY;735;-88;75.16547;StarShepards Headquarters;Void Starcross;5h 48m 34s ;20914.43
NPC;+STOCK;159;145;61.82175;Oro Omniplex Center;Merces Academy;7h 18m 7s ;26287.49
NPC;+STOCK;981;144;49.11537;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;881;146;73.23885;StarShepards Headquarters;Void Starcross;7h 47m 19s ;28039.67
NPC;+PRICE;31;0;70.4328;Valuestar Hub;Jelumus;8h 43m 42s ;31422.46
NPC;+STOCK;175;144;69.24995;Valuestar Hub;Jelumus;9h 35m 31s ;34531.46
NPC;+LOCAL;42;4;57.8137;CoraVault Hub;Pindoris;11h 34m 18s ;41658.76
NPC;+STOCK;1120;139;46.3105;Biomate University;Void Starcross;13h 56m 14s ;50174.25
NPC;+QTY;165;123;66.96548;Daemon Ammunitions;Starfort Ramos;15h 31m 43s ;55903.28
NPC;+QTY;972;91;72.81731;StarShepards Headquarters;Void Starcross;15h 31m 43s ;55903.28
NPC;BAL;866;-115;54.94619;Biomate University;Void Starcross;16h 10m 6s ;58206.41
NPC;+STOCK;299;143;83.83987;CoraVault;Lins;16h 37m 57s ;59877.96
